english,target,register,tags,note
I do not want to force anything.,Ich möchte nichts erzwingen.,neutral,boundaries,
I do not want to push this onto you.,Ich möchte dir das nicht aufdrängen.,neutral,boundaries,
I would like to understand what is happening.,"Ich würde gern verstehen, was gerade passiert.",neutral,communication,
I do not want to guess what is wrong.,"Ich möchte nicht raten müssen, was los ist.",neutral,communication,
"If something is wrong, I need you to tell me.","Wenn etwas nicht stimmt, musst du es mir sagen.",direct,boundaries;communication,
"I can be attentive, but I cannot read your mind.","Ich kann aufmerksam sein, aber ich kann deine Gedanken nicht lesen.",neutral,boundaries;relationship,
"I am here, but I will not force a conversation.","Ich bin da, aber ich werde kein Gespräch erzwingen.",neutral,relationship,
We do not have to solve everything right now.,Wir müssen jetzt nicht alles sofort lösen.,neutral,communication,
Let us clarify this calmly.,Lass uns das in Ruhe klären.,natural,communication,
"I believe there is love between us, but not enough safety yet.","Ich glaube, zwischen uns ist Liebe da, aber noch nicht genug Sicherheit.",emotional,relationship,
"I believe you, but I also need clarity.","Ich glaube dir, aber ich brauche auch Klarheit.",neutral,relationship,
This hurt me more than I expected.,"Das hat mich mehr verletzt, als ich erwartet hatte.",emotional,relationship,
I do not want to take all the blame.,Ich möchte nicht die ganze Schuld auf mich nehmen.,emotional,boundaries,
I can take responsibility for my part.,Ich kann Verantwortung für meinen Teil übernehmen.,neutral,relationship,
I do not want to return to the same role.,Ich möchte nicht in dieselbe Rolle zurückfallen.,emotional,boundaries,
"I need a clear frame, not a perfect solution.","Ich brauche einen klaren Rahmen, keine perfekte Lösung.",neutral,boundaries,
"If you need space, please say it clearly.","Wenn du Abstand brauchst, sag es bitte klar.",neutral,boundaries,
"If you cannot talk right now, you can still say that.","Wenn du gerade nicht sprechen kannst, kannst du auch das sagen.",neutral,communication,
I do not want to interpret silence as rejection.,Ich möchte Schweigen nicht automatisch als Ablehnung deuten.,neutral,communication,
I am trying not to assume the worst.,"Ich versuche, nicht vom Schlimmsten auszugehen.",neutral,thinking,
I may have misunderstood something.,Vielleicht habe ich etwas missverstanden.,neutral,communication,
Do not misunderstand me.,Versteh mich bitte nicht falsch.,natural,communication,
That is not what I meant.,Das habe ich nicht so gemeint.,natural,communication,
That changed the situation for me.,Das hat für mich die Lage verändert.,neutral,thinking,
I need to process this first.,Ich muss das erst verarbeiten.,neutral,emotion,
I am not cold; I am just trying to stay calm.,"Ich bin nicht kalt, ich versuche nur, ruhig zu bleiben.",emotional,relationship,
"I am serious, but that does not mean something is wrong.","Ich bin ernst, aber das heißt nicht, dass etwas nicht stimmt.",neutral,self-description,
"I am quiet, but I am not gone.","Ich bin still, aber ich bin nicht weg.",emotional,relationship,
I want to stay warm without losing myself.,"Ich möchte warm bleiben, ohne mich selbst zu verlieren.",emotional,boundaries,
I do not need an answer immediately.,Ich brauche nicht sofort eine Antwort.,neutral,communication,
I need honesty more than reassurance.,Ich brauche eher Ehrlichkeit als Beruhigung.,neutral,relationship,
"I want to understand, not win.","Ich möchte verstehen, nicht gewinnen.",neutral,communication,
This is too much for me right now.,Das ist mir gerade zu viel.,natural,boundaries,
I am afraid that we will fall back into the old pattern.,"Ich habe Angst, dass wir wieder in das alte Muster zurückfallen.",emotional,relationship,
I do not want to punish you with distance.,Ich möchte dich nicht mit Abstand bestrafen.,emotional,relationship,
I need distance to stay clear.,"Ich brauche Abstand, um klar zu bleiben.",neutral,boundaries,
I am not asking for big promises.,Ich verlange keine großen Versprechen.,neutral,relationship,
I am asking for a different way of handling conflict.,Ich wünsche mir einen anderen Umgang mit Konflikten.,neutral,relationship,
"If something hurts you, I want to know.","Wenn dich etwas verletzt, möchte ich es wissen.",neutral,relationship,
But I also need you to say it.,"Aber ich brauche auch, dass du es sagst.",direct,communication,
I cannot be responsible for what you do not say.,"Ich kann nicht für das verantwortlich sein, was du nicht sagst.",direct,boundaries,
"I am not giving up, but I am also not chasing.","Ich gebe nicht auf, aber ich laufe auch nicht hinterher.",emotional,boundaries,
I do not want us to decide this from a frozen state.,"Ich möchte nicht, dass wir das aus einem erstarrten Zustand heraus entscheiden.",emotional,relationship,
Let us not make a final decision while we are exhausted.,"Lass uns keine endgültige Entscheidung treffen, wenn wir erschöpft sind.",neutral,communication,
I can stay with you in silence.,Ich kann auch in der Stille bei dir bleiben.,emotional,relationship,
You do not have to perform for me.,Du musst für mich nichts leisten.,emotional,relationship,
I just want to know where I stand.,"Ich möchte nur wissen, woran ich bin.",natural,relationship,
This is not a small thing for me.,Das ist für mich keine Kleinigkeit.,neutral,relationship,
I am trying to stay fair.,"Ich versuche, fair zu bleiben.",neutral,communication,
I do not want to turn this into a fight.,Ich möchte daraus keinen Streit machen.,neutral,communication,
Let us slow down.,Lass uns langsamer machen.,natural,communication,
One step at a time.,Schritt für Schritt.,natural,planning,
