"id","lexeme_id","english","target","article","hint"
"w0001","de.lex.ich","I","ich","",""
"w0002","de.lex.du","you (singular informal)","du","",""
"w0003","de.lex.er","he","er","",""
"w0004","de.lex.sie.they","she","sie","",""
"w0005","de.lex.es","it","es","",""
"w0006","de.lex.wir","we","wir","",""
"w0007","de.lex.ihr.you","you (plural informal)","ihr","",""
"w0008","de.lex.sie.they","they","sie","",""
"w0009","de.lex.sie.they","you (formal)","Sie","",""
"w0010","de.lex.mich","me (accusative)","mich","",""
"w0011","de.lex.dich","you (accusative, sg.)","dich","",""
"w0012","de.lex.ihn","him (accusative)","ihn","",""
"w0013","de.lex.sie.her","her (accusative)","sie","",""
"w0014","de.lex.uns","us (accusative)","uns","",""
"w0015","de.lex.euch","you (accusative, pl.)","euch","",""
"w0016","de.lex.sie.them","them (accusative)","sie","",""
"w0017","de.lex.mir","to me (dative)","mir","",""
"w0018","de.lex.dir","to you (dative, sg.)","dir","",""
"w0019","de.lex.ihm","to him (dative)","ihm","",""
"w0020","de.lex.ihr.her","to her (dative)","ihr","",""
"w0021","de.lex.uns","to us (dative)","uns","",""
"w0022","de.lex.euch","to you (dative, pl.)","euch","",""
"w0023","de.lex.ihnen","to them (dative)","ihnen","",""
"w0024","de.lex.mich-selbst","myself","mich selbst","",""
"w0025","de.lex.dich-selbst","yourself","dich selbst","",""
"w0026","de.lex.sich-selbst.herself","himself / herself / itself","sich selbst","",""
"w0027","de.lex.uns-selbst","ourselves","uns selbst","",""
"w0028","de.lex.euch-selbst","yourselves","euch selbst","",""
"w0029","de.lex.sich-selbst.themselves","themselves","sich selbst","",""
"w0030","de.lex.jemand","someone","jemand","",""
"w0031","de.lex.niemand","nobody","niemand","",""
"w0032","de.lex.etwas","something","etwas","",""
"w0033","de.lex.nichts","nothing","nichts","",""
"w0034","de.lex.jeder-alle","everyone","jeder / alle","",""
"w0035","de.lex.alles","everything","alles","",""
"w0036","de.lex.beide","both","beide","",""
"w0037","de.lex.einander","each other","einander","",""
"w0038","de.lex.null","zero","null","",""
"w0039","de.lex.eins","one","eins","",""
"w0040","de.lex.zwei","two","zwei","",""
"w0041","de.lex.drei","three","drei","",""
"w0042","de.lex.vier","four","vier","",""
"w0043","de.lex.fuenf","five","fünf","",""
"w0044","de.lex.sechs","six","sechs","",""
"w0045","de.lex.sieben","seven","sieben","",""
"w0046","de.lex.acht","eight","acht","",""
"w0047","de.lex.neun","nine","neun","",""
"w0048","de.lex.zehn","ten","zehn","",""
"w0049","de.lex.elf","eleven","elf","",""
"w0050","de.lex.zwoelf","twelve","zwölf","",""
"w0051","de.lex.dreizehn","thirteen","dreizehn","",""
"w0052","de.lex.vierzehn","fourteen","vierzehn","",""
"w0053","de.lex.fuenfzehn","fifteen","fünfzehn","",""
"w0054","de.lex.zwanzig","twenty","zwanzig","",""
"w0055","de.lex.dreissig","thirty","dreißig","",""
"w0056","de.lex.vierzig","forty","vierzig","",""
"w0057","de.lex.fuenfzig","fifty","fünfzig","",""
"w0058","de.lex.sechzig","sixty","sechzig","",""
"w0059","de.lex.siebzig","seventy","siebzig","",""
"w0060","de.lex.achtzig","eighty","achtzig","",""
"w0061","de.lex.neunzig","ninety","neunzig","",""
"w0062","de.lex.hundert","hundred","hundert","",""
"w0063","de.lex.tausend","thousand","tausend","",""
"w0064","de.lex.eine-million","million","eine Million","",""
"w0065","de.lex.erst","first","erst-","",""
"w0066","de.lex.zweit","second (ordinal: 2nd)","zweit-","",""
"w0067","de.lex.dritt","third","dritt-","",""
"w0068","de.lex.viert","fourth","viert-","",""
"w0069","de.lex.fuenft","fifth","fünft-","",""
"w0070","de.lex.einmal","once","einmal","",""
"w0071","de.lex.zweimal","twice","zweimal","",""
"w0072","de.lex.halb","half","halb","",""
"w0073","de.lex.ein-viertel","a quarter","ein Viertel","",""
"w0074","de.lex.ein-drittel","a third","ein Drittel","",""
"w0075","de.lex.mann","man","Mann","der",""
"w0076","de.lex.frau","woman","Frau","die",""
"w0077","de.lex.kind","child","Kind","das",""
"w0078","de.lex.junge","boy","Junge","der",""
"w0079","de.lex.maedchen","girl","Mädchen","das",""
"w0080","de.lex.baby","baby","Baby","das",""
"w0081","de.lex.person","person","Person","die",""
"w0082","de.lex.erwachsener","adult (m)","Erwachsener","der",""
"w0083","de.lex.erwachsene","adult (f)","Erwachsene","die",""
"w0084","de.lex.teenager","teenager","Teenager","der",""
"w0085","de.lex.vater","father","Vater","der",""
"w0086","de.lex.mutter","mother","Mutter","die",""
"w0087","de.lex.sohn","son","Sohn","der",""
"w0088","de.lex.tochter","daughter","Tochter","die",""
"w0089","de.lex.bruder","brother","Bruder","der",""
"w0090","de.lex.schwester","sister","Schwester","die",""
"w0091","de.lex.ehemann","husband","Ehemann","der",""
"w0092","de.lex.ehefrau","wife","Ehefrau","die",""
"w0093","de.lex.grossvater","grandfather","Großvater","der",""
"w0094","de.lex.grossmutter","grandmother","Großmutter","die",""
"w0095","de.lex.enkel","grandson","Enkel","der",""
"w0096","de.lex.enkelin","granddaughter","Enkelin","die",""
"w0097","de.lex.onkel","uncle","Onkel","der",""
"w0098","de.lex.tante","aunt","Tante","die",""
"w0099","de.lex.cousin","cousin (m)","Cousin","der",""
"w0100","de.lex.cousine","cousin (f)","Cousine","die",""
"w0101","de.lex.neffe","nephew","Neffe","der",""
"w0102","de.lex.nichte","niece","Nichte","die",""
"w0103","de.lex.freund","friend (m)","Freund","der",""
"w0104","de.lex.freundin.friend","friend (f)","Freundin","die",""
"w0105","de.lex.nachbar.neighbor","neighbor (m)","Nachbar","der",""
"w0106","de.lex.nachbarin","neighbor (f)","Nachbarin","die",""
"w0107","de.lex.kollege","colleague (m)","Kollege","der",""
"w0108","de.lex.kollegin","colleague (f)","Kollegin","die",""
"w0109","de.lex.partner","partner","Partner","der",""
"w0110","de.lex.gast","guest","Gast","der",""
"w0111","de.lex.fremder","stranger (m)","Fremder","der",""
"w0112","de.lex.fremde","stranger (f)","Fremde","die",""
"w0113","de.lex.eltern","parents","Eltern","die",""
"w0114","de.lex.zwillinge","twins","Zwillinge","die",""
"w0115","de.lex.stiefvater","stepfather","Stiefvater","der",""
