"sentence_id","surface","occurrence","item_id"
"s004","kommt herein","1","w023"
"s011","fährt aus","1","w063"
"s012","kommt zurück","1","w071"
"s015","kommt an","1","w082"
"s031","kehrt zurück","1","w136"
"s033","kehrt zurück","1","w136"
"s038","stimmt zu","1","w152"
"s053","zieht an","1","w188"
"s065","kommt an","1","w082"
"s071","schreit auf","1","w224"
"s078","setzt sich auf","1","w242"
"s086","zieht heraus","1","w253"
"s089","legt zurück","1","w257"
"s099","geht vorbei","1","w281"
"s102","sieht nach","1","w289"
