"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.lex.es","it","es","","","s001","Es|es","function"
"w002","de.lex.sein","to be","sein","","","s001","ist|sind|sein","word"
"w003","de.lex.nacht","night","Nacht","die","","s001","Nacht","word"
"w004","de.lex.der-bestimmte-artikel","the","der bestimmte Artikel","","","s002","der|die|das|den|dem|Der|Die|Das|Den|Dem","function"
"w005","de.lex.nebel","fog","Nebel","der","","s002","Nebel","word"
"w006","de.lex.dick","thick","dick","","","s002","dick|Dick","word"
"w007","de.lex.ein","a / an","ein","","","s003","einen","function"
"w008","de.lex.mann","man","Mann","der","","s003","Mann","word"
"w009","de.lex.stehen","to stand","stehen","","","s003","steht|stehen","word"
"w010","de.lex.vor","in front of / before","vor","","","s003","vor|Vor","function"
"w011","de.lex.tuer","door","Tür","die","","s003","Tür","word"
"w012","de.lex.clara","Clara’s","Clara","","","s004","Claras","name"
"w013","de.lex.sehen","to see","sehen","","","s004","sieht|sehen","word"
"w014","de.lex.sie.her","she / they","sie","","","s005","sie|Sie","function"
"w015","de.lex.an","at / on","an","","","s005","an|am|An|Am","function"
"w016","de.lex.fenster","window","Fenster","das","","s005","Fenster","word"
"w017","de.lex.machen","to make / do","machen","","","s006","macht|machen","word"
"w018","de.lex.kein","no / not a","kein","","","s006","kein|keine|keinen|keinem|Kein|Keine","function"
"w019","de.lex.licht","light","Licht","das","","s006","Licht","word"
"w020","de.lex.klopfen","to knock","klopfen","","","s007","klopft|klopfen","word"
"w021","de.lex.niemand","nobody","niemand","","","s008","niemand|Niemand","function"
"w022","de.lex.kommen","to come","kommen","","","s008","kommt|kommen|komm","word"
"w023","de.lex.warten","to wait","warten","","","s009","wartet|warten","word"
"w024","de.lex.lange","long / for a long time","lange","","","s009","lange|Lange","word"
"w025","de.lex.dann","then","dann","","","s010","dann|Dann","function"
"w026","de.lex.gehen.go","to go","gehen","","","s010","geht|gehen","word"
"w027","de.lex.er","him","er","","","s010","ihn","function"
"w028","de.lex.weg.away","away","weg","","","s010","weg|Weg","function"
"w029","de.lex.etwas","something","etwas","","","s011","etwas|Etwas","function"
"w030","de.lex.liegen","to lie / be located","liegen","","","s011","liegt|liegen","word"
"w031","de.lex.auf.into","on","auf","","","s011","auf|Auf","function"
"w032","de.lex.der-bestimmte-artikel","the (dative)","der bestimmte Artikel","","","s011","dem","function"
"w033","de.lex.boden.floor","floor / ground","Boden","der","","s011","Boden","word"
"w034","de.lex.schluessel","key","Schlüssel","der","","s012","Schlüssel","word"
"w035","de.lex.aus.from","out of / from","aus","","","s013","aus|Aus","function"
"w036","de.lex.haus","house","Haus","das","","s013","Haus|hauses","word"
"w037","de.lex.nehmen","to take","nehmen","","","s014","nimmt|nehmen","word"
"w038","de.lex.kalt","cold","kalt","","","s015","kalt|Kalt","word"
"w039","de.lex.nummer.number-of-a-house","number","Nummer","die","","s016","Nummer","word"
"w040","de.lex.siebzehn","seventeen","siebzehn","","","s017","siebzehn","word"
"w041","de.lex.aber","but","aber","","","s018","aber|Aber","function"
"w042","de.lex.wohnen","to live","wohnen","","","s018","wohnt|wohnen","word"
"w043","de.lex.in","in / into","in","","","s018","in|im|ins|In|Im|Ins","function"
"w044","de.lex.neunzehn","nineteen","neunzehn","","","s018","neunzehn","word"
"w045","de.lex.jetzt","now","jetzt","","","s019","jetzt|Jetzt","function"
"w046","de.lex.offen","open","offen","","","s019","offen|Offen","word"
"w047","de.lex.zimmer","room","Zimmer","das","","s020","Zimmer","word"
"w048","de.lex.stuhl","chair","Stuhl","der","","s020","Stuhl","word"
"w049","de.lex.brief","letter","Brief","der","","s021","Brief","word"
"w050","de.lex.fuer","for","für","","","s022","für|Für","function"
"w051","de.lex.lesen.read","to read","lesen","","","s023","liest|lesen","word"
"w052","de.lex.ihr.her","her","ihr","","","s023","ihren","function"
"w053","de.lex.name","name","Name","der","","s023","Name|namen","word"
"w054","de.lex.hoeren","to hear","hören","","","s024","hört|hören","word"
"w055","de.lex.schritt","step","Schritt","der","","s024","Schritt|schritte","word"
"w056","de.lex.noch","still / another","noch","","","s025","noch|Noch","function"
"w057","de.lex.jemand","someone","jemand","","","s025","jemand|Jemand","function"
"w058","de.lex.durch","through","durch","","","s026","durch","function"
"w059","de.lex.heissen","to be called","heißen","","","s027","heißt|heißen","word"
"w060","de.lex.emil","Emil","Emil","","","s027","Emil","name"
"w061","de.lex.falk","Falk","Falk","","","s027","Falk","name"
"w062","de.lex.nachbar.neighbour","neighbour","Nachbar","der","","s028","Nachbar","word"
"w063","de.lex.und","and","und","","","s029","und|Und","function"
"w064","de.lex.suchen","to search","suchen","","","s029","sucht|suchen","word"
"w065","de.lex.gern","gladly / likes to","gern","","","s029","gern","function"
"w066","de.lex.seltsam","strange","seltsam","","","s029","seltsam|Seltsam|seltsame","word"
"w067","de.lex.fall","case","Fall","der","","s029","Fall|fälle","word"
"w068","de.lex.weggehen","to go away","weggehen","","","s010","geht weg|weggehen","word"
