word_id,english,target,article,plural,type,level,tags,hint,source_id,source
w001,smell,Geruch,der,Gerüche,noun,A2,senses,Geruch means smell or odor.,s001,Als Erstes ist da der Geruch von Blut und Kaffee.
w002,coffee machine,Kaffeemaschine,die,Kaffeemaschinen,noun,A1,objects,Compound noun: Kaffee + Maschine.,s002,"Die Kaffeemaschine steht drüben auf dem Tisch, und das Blut ist in meinen Schuhen."
w003,honest,ehrlich,,,adjective,A2,speech,Um ehrlich zu sein = to be honest.,s003,"Um ehrlich zu sein, es ist nicht nur Blut."
w004,older/younger one,Ältere,der,Älteren,noun,B1,people,Substantivized adjective.,s004,"Als der Ältere «vierzehn» gesagt hat, hab ich mir in die Hose gepisst."
w005,stool,Hocker,der,Hocker,noun,B1,objects,A backless stool.,s005,Ich hab die ganze Zeit schräg auf dem Hocker gehangen und mich nicht gerührt.
w006,dizzy; dizziness,schwindlig,,,adjective,A2,body,Mir ist schwindlig = I feel dizzy.,s006,Mir war schwindlig.
w007,fear,Angst,die,Ängste,noun,A2,emotion,vor Angst = from fear.,s007,"Ich hab versucht auszusehen, wie ich gedacht hab, dass Tschick wahrscheinlich aussieht, wenn einer «vierzehn» zu ihm sagt, und dann hab ich mir vor Angst in die Hose gepisst."
w008,hero,Held,der,Helden,noun,A2,people,"Weak noun: der Held, den Helden.",s008,"Maik Klingenberg, der Held."
w009,agitation; fuss,Aufregung,die,Aufregungen,noun,B1,emotion,Aufregung can mean excitement or agitation.,s009,"Dabei weiß ich gar nicht, warum jetzt die Aufregung."
w010,to end,enden,,,verb,A1,time,Regular verb: endet.,s010,"War doch die ganze Zeit klar, dass es so endet."
w011,certainty; safety,Sicherheit,die,Sicherheiten,noun,B1,abstract,mit Sicherheit = certainly.,s011,Tschick hat sich mit Sicherheit nicht in die Hose gepisst.
w012,anyway; at all,überhaupt,,,adverb,A2,particles,Used for emphasis in questions.,s012,Wo ist Tschick überhaupt?
w013,highway; motorway,Autobahn,die,Autobahnen,noun,A2,travel,Auto + Bahn; German motorway.,s013,"Auf der Autobahn hab ich ihn noch gesehen, wie er auf einem Bein ins Gebüsch gehüpft ist, aber ich schätze mal, sie haben ihn auch gekriegt."
w014,to come,kommen,,,verb,A1,movement,Strong verb pattern.,s014,Mit einem Bein kommt man nicht weit.
w015,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s015,Fragen kann ich die Polizisten natürlich nicht.
w016,to see; look,sehen,,,verb,A1,sight,"Strong verb: sieht, sah, gesehen.",s016,"Weil, wenn sie ihn nicht gesehen haben, ist es logisch besser, gar nicht damit anzufangen."
w017,maybe,vielleicht,,,adverb,A1,particles,Common uncertainty adverb.,s017,Vielleicht haben sie ihn ja nicht gesehen.
w018,certainty; safety,Sicherheit,die,Sicherheiten,noun,B1,abstract,mit Sicherheit = certainly.,s018,Und von mir erfahren sie’s mit Sicherheit nicht.
w019,to torture; torture,foltern,,,verb,B2,violence,foltern = to torture.,s019,Da können sie mich foltern.
w020,to torture; torture,foltern,,,verb,B2,violence,foltern = to torture.,s020,"Obwohl die deutsche Polizei, glaube ich, niemanden foltern darf."
w021,to see; look,sehen,,,verb,A1,sight,"Strong verb: sieht, sah, gesehen.",s021,Das dürfen die nur im Fernsehen und in der Türkei.
w022,highway; motorway,Autobahn,die,Autobahnen,noun,A2,travel,Auto + Bahn; German motorway.,s022,Aber vollgeschifft und blutig auf der Station der Autobahnpolizei sitzen und Fragen nach den Eltern beantworten ist auch nicht gerade der ganz große Bringer.
w023,agitation; fuss,Aufregung,die,Aufregungen,noun,B1,emotion,Aufregung can mean excitement or agitation.,s023,"Vielleicht wäre Foltern sogar ganz angenehm, dann hätte ich wenigstens einen Grund für meine Aufregung."
w024,to keep your mouth shut,Klappe halten,,,phrase,B1,colloquial,Colloquial fixed phrase.,s024,"Das Beste ist Klappe halten, hat Tschick gesagt."
w025,to see; look,sehen,,,verb,A1,sight,"Strong verb: sieht, sah, gesehen.",s025,Und das seh ich genauso.
w026,not important; all the same,egal,,,adjective,A2,emotion,Mir ist egal = I do not care.,s026,"Jetzt, wo eh alles egal ist."
w027,not important; all the same,egal,,,adjective,A2,emotion,Mir ist egal = I do not care.,s027,Und mir ist alles egal.
w028,almost everything,fast alles,,,phrase,A1,phrases,fast = almost.,s028,"Na ja, fast alles."
w029,not important; all the same,egal,,,adjective,A2,emotion,Mir ist egal = I do not care.,s029,Tatjana Cosic zum Beispiel ist mir natürlich nicht egal.
w030,to think,denken,,,verb,A1,mental,"Strong verb: denkt, dachte, gedacht.",s030,Obwohl ich jetzt schon ziemlich lange nicht mehr an sie gedacht habe.
w031,coffee machine,Kaffeemaschine,die,Kaffeemaschinen,noun,A1,objects,Compound noun: Kaffee + Maschine.,s031,"Aber wo ich auf diesem Hocker sitze und draußen die Autobahn vorbeirauscht und der ältere Polizist steht seit fünf Minuten an der Kaffeemaschine dahinten und füllt Wasser ein und kippt es wieder aus, drückt auf den Schalter und schaut das Gerät von unten an, während jeder Depp sehen kann, dass der Stecker vom Verlängerungskabel nicht drin ist, da muss ich wieder an Tatjana denken."
w032,strictly speaking,genau genommen,,,phrase,B1,phrases,Useful qualifying phrase.,s032,"Denn genau genommen wäre ich nicht hier, wenn es Tatjana nicht gäbe."
w033,although,obwohl,,,conjunction,A2,connectors,Subordinating conjunction; verb goes to the end.,s033,Obwohl sie mit der ganzen Sache nichts zu tun hat.
w034,unclear,unklar,,,adjective,A2,description,un- makes the opposite.,s034,"Ist das unklar, was ich da rede?"
w035,sorry,leidtun,,,verb,A2,phrases,tut mir leid = I am sorry.,s035,"Ja, tut mir leid."
w036,to try,versuchen,,,verb,A2,actions,Regular verb.,s036,Ich versuch’s später nochmal.
w037,anyway; at all,überhaupt,,,adverb,A2,particles,Used for emphasis in questions.,s037,Tatjana kommt in der ganzen Geschichte überhaupt nicht vor.
w038,to appear; occur,vorkommen,,,verb,B1,literature,Separable verb: kommt vor.,s038,Das schönste Mädchen der Welt kommt nicht vor.
w039,to appear; occur,vorkommen,,,verb,B1,literature,Separable verb: kommt vor.,s039,"Auf der ganzen Reise hab ich mir immer vorgestellt, dass sie uns sehen kann."
w040,cornfield,Kornfeld,das,Kornfelder,noun,B1,nature,Compound: Korn + Feld.,s040,Wie wir oben aus dem Kornfeld rausgucken.
w041,bundle,Bündel,das,Bündel,noun,B1,objects,Same singular and plural.,s041,Wie wir mit dem Bündel Schläuche auf dem Müllberg stehen wie die letzten Trottel . . .
w042,to appear; occur,vorkommen,,,verb,B1,literature,Separable verb: kommt vor.,s042,"Ich hab mir immer vorgestellt, Tatjana steht hinter uns und sieht, was wir sehen, und freut sich, wie wir uns freuen."
w043,to appear; occur,vorkommen,,,verb,B1,literature,Separable verb: kommt vor.,s043,"Aber jetzt bin ich froh, dass ich mir das nur vorgestellt hab."
w044,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s044,Der Polizist zieht ein grünes Papierhandtuch aus einem Handtuchspender und gibt es mir.
w045,to be supposed to,sollen,,,verb,A1,modal verbs,Modal verb: ich soll.,s045,Was soll ich damit?
w046,to wipe up,aufwischen,,,verb,B1,actions,Separable verb: wischt auf.,s046,Den Boden aufwischen?
w047,to touch; grasp,fassen,,,verb,B1,actions,fassen can mean grasp or touch.,s047,Er fasst mit zwei Fingern an seine Nase und sieht mich an.
w048,"oh, I see",Ach so,,,phrase,A1,phrases,Everyday reaction phrase.,s048,Ach so.
w049,to blow one’s nose,schnäuzen,,,verb,B2,body,sich die Nase schnäuzen.,s049,Nase schnäuzen.
w050,to blow one’s nose,schnäuzen,,,verb,B2,body,sich die Nase schnäuzen.,s050,"Ich schnäuze mir die Nase, er lächelt freundlich."
w051,to torture; torture,foltern,,,verb,B2,violence,foltern = to torture.,s051,Das mit der Folter kann ich mir wohl abschminken.
w052,tissue; handkerchief,Taschentuch,das,Taschentücher,noun,A2,objects,Compound: Tasche + Tuch.,s052,Aber wohin jetzt mit dem Taschentuch?
w053,searchingly,suchend,,,adjective,B1,actions,Participle used adjectivally.,s053,Ich schaue suchend auf dem Boden herum.
w054,linoleum,Linoleum,das,,noun,B2,materials,Flooring material.,s054,"Die ganze Station ist mit grauem Linoleum ausgelegt, genau das gleiche wie in den Gängen zu unserer Turnhalle."
w055,to smell,riechen,,,verb,A2,senses,"Strong verb: roch, gerochen.",s055,Es riecht auch ein bisschen so.
w056,linoleum,Linoleum,das,,noun,B2,materials,Flooring material.,s056,"Pisse, Schweiß und Linoleum."
w057,tracksuit,Trainingsanzug,der,Trainingsanzüge,noun,B1,clothing,Compound noun.,s057,"Ich sehe Wolkow, unseren Sportlehrer, im Trainingsanzug durch die Gänge federn, siebzig Jahre, durchtrainiert: Auf geht’s, Jungs! Hopp, hopp!"
w058,giggling,Gekicher,das,,noun,B2,sounds,Ge- nominalization.,s058,"Das Geräusch seiner schmatzenden Schritte auf dem Boden, fernes Gekicher aus der Mädchenumkleide und Wolkows Blick dorthin."
w059,to do gymnastics,turnen,,,verb,A2,sport,Regular verb.,s059,"Ich sehe die hohen Fenster, die Bänke, die Ringe an der Decke, an denen nie geturnt wurde."
w060,side entrance,Seiteneingang,der,Seiteneingänge,noun,B2,place,Compound noun.,s060,Ich sehe Natalie und Lena und Kimberley durch den Seiteneingang der Halle kommen.
w061,tracksuit,Trainingsanzug,der,Trainingsanzüge,noun,B1,clothing,Compound noun.,s061,Und Tatjana in ihrem grünen Trainingsanzug.
w062,reflection,Spiegelbild,das,Spiegelbilder,noun,B1,sight,Mirror image or reflection.,s062,"Ich sehe ihr verschwommenes Spiegelbild auf dem Hallenboden, die Glitzerhosen, die die Mädchen jetzt immer tragen, die Oberteile."
w063,to do gymnastics,turnen,,,verb,A2,sport,Regular verb.,s063,"Und dass neuerdings die Hälfte von ihnen in dicken Wollpullovern turnt, und mindestens drei haben immer ein Attest vom Arzt."
w064,eighth grade,achte Klasse,,,phrase,A2,school,Ordinal number + noun.,s064,"Hagecius-Gymnasium Berlin, achte Klasse."
w065,police officer,Polizist,der,Polizisten,noun,A2,people,"Weak noun: der Polizist, den Polizisten.",s065,"«Ich dachte, fünfzehn?», sage ich, und der Polizist schüttelt den Kopf."
w066,fourteen,vierzehn,,,adjective,A1,numbers,Number from vier + zehn.,s066,"«Nee, vierzehn. Vierzehn. Was ist mit dem Kaffee, Horst?»"
w067,broken,kaputt,,,adjective,A2,condition,Colloquial adjective.,s067,"«Kaffee ist kaputt», sagt Horst."
w068,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s068,Ich möchte meinen Anwalt sprechen.
w069,to say,sagen,,,verb,A1,speech,Regular verb.,s069,"Das wäre der Satz, den ich jetzt wahrscheinlich sagen müsste."
w070,to see; look,sehen,,,verb,A1,sight,"Strong verb: sieht, sah, gesehen.",s070,"Das ist der richtige Satz in der richtigen Situation, wie jeder aus dem Fernsehen weiß."
w071,lawyer,Anwalt,der,Anwälte,noun,B1,law,Anwalt = lawyer.,s071,Aber das sagt sich so leicht: Ich möchte meinen Anwalt sprechen.
w072,to laugh oneself to death,sich totlachen,,,verb,B2,colloquial,Reflexive colloquial verb.,s072,Würden die sich wahrscheinlich totlachen.
w073,idea; knowledge,Ahnung,die,Ahnungen,noun,A2,knowledge,keine Ahnung = no idea.,s073,"Das Problem ist: Ich habe keine Ahnung, was dieser Satz bedeutet."
