english,target,article,plural,type,register,tags,note,alternatives,article_prompt
decision,Entscheidung,die,Entscheidungen,noun,neutral,"abstract,communication,B1",,,TRUE
feeling,Gefühl,das,Gefühle,noun,neutral,"abstract,emotional,A2",,,TRUE
boundary,Grenze,die,Grenzen,noun,neutral,"abstract,communication,B1",,,TRUE
problem,Problem,das,Probleme,noun,neutral,"abstract,basics,A2",,,TRUE
solution,Lösung,die,Lösungen,noun,neutral,"abstract,communication,B1",,,TRUE
trust,Vertrauen,das,,noun,neutral,"abstract,emotional,B1",Usually uncountable.,,TRUE
responsibility,Verantwortung,die,Verantwortungen,noun,neutral,"abstract,work,B1",Usually used in singular.,,TRUE
clarity,Klarheit,die,,noun,neutral,"abstract,communication,B1",Usually uncountable.,,TRUE
safety,Sicherheit,die,,noun,neutral,"abstract,B1",Also means 'certainty' / 'security'.,,TRUE
fear,Angst,die,Ängste,noun,neutral,"abstract,emotional,A2",,,TRUE
intention,Absicht,die,Absichten,noun,neutral,"abstract,communication,B1",,,TRUE
situation,Situation,die,Situationen,noun,neutral,"abstract,basics,A2",,,TRUE
dynamic,Dynamik,die,Dynamiken,noun,neutral,"abstract,work,B2",,,TRUE
conversation,Gespräch,das,Gespräche,noun,neutral,"abstract,communication,A2",,,TRUE
conflict,Konflikt,der,Konflikte,noun,neutral,"abstract,communication,B1",,,TRUE
misunderstanding,Missverständnis,das,Missverständnisse,noun,neutral,"abstract,communication,B1",,,TRUE
pressure,Druck,der,Drücke,noun,neutral,"abstract,work,B1",'Unter Druck stehen' = to be under pressure.,,TRUE
expectation,Erwartung,die,Erwartungen,noun,neutral,"abstract,work,B1",,,TRUE
possibility,Möglichkeit,die,Möglichkeiten,noun,neutral,"abstract,communication,A2",,,TRUE
consequence,Konsequenz,die,Konsequenzen,noun,neutral,"abstract,work,B1",,,TRUE
result,Ergebnis,das,Ergebnisse,noun,neutral,"abstract,work,A2",,,TRUE
opinion,Meinung,die,Meinungen,noun,neutral,"abstract,communication,A2",,,TRUE
idea,Idee,die,Ideen,noun,neutral,"abstract,basics,A2",,,TRUE
question,Frage,die,Fragen,noun,neutral,"abstract,basics,A1",,,TRUE
answer,Antwort,die,Antworten,noun,neutral,"abstract,basics,A1",,,TRUE
reason,Grund,der,Gründe,noun,neutral,"abstract,communication,A2",,,TRUE
goal,Ziel,das,Ziele,noun,neutral,"abstract,work,A2",,,TRUE
plan,Plan,der,Pläne,noun,neutral,"abstract,work,A2",,,TRUE
task,Aufgabe,die,Aufgaben,noun,neutral,"abstract,work,A2",,,TRUE
challenge,Herausforderung,die,Herausforderungen,noun,neutral,"abstract,work,B1",,,TRUE
condition,Bedingung,die,Bedingungen,noun,neutral,"abstract,work,B1",,,TRUE
requirement,Anforderung,die,Anforderungen,noun,neutral,"abstract,work,B1",,,TRUE
rule,Regel,die,Regeln,noun,neutral,"abstract,basics,A2",,,TRUE
risk,Risiko,das,Risiken,noun,neutral,"abstract,work,B1",,,TRUE
priority,Priorität,die,Prioritäten,noun,neutral,"abstract,work,B1",,,TRUE
progress,Fortschritt,der,Fortschritte,noun,neutral,"abstract,work,B1",,,TRUE
change,Änderung,die,Änderungen,noun,neutral,"abstract,work,B1",,,TRUE
effort,Aufwand,der,Aufwände,noun,neutral,"abstract,work,B1",Also 'Aufwände' in plural; sometimes uncountable.,,TRUE
mistake,Fehler,der,Fehler,noun,neutral,"abstract,basics,A2",Plural same as singular.,,TRUE
experience,Erfahrung,die,Erfahrungen,noun,neutral,"abstract,work,B1",,,TRUE
success,Erfolg,der,Erfolge,noun,neutral,"abstract,work,A2",,,TRUE
failure,Misserfolg,der,Misserfolge,noun,neutral,"abstract,work,B1",,,TRUE
agreement,Einigung,die,Einigungen,noun,neutral,"abstract,work,B1",,,TRUE
disagreement,Meinungsverschiedenheit,die,Meinungsverschiedenheiten,noun,neutral,"abstract,communication,B2",,,TRUE
suggestion,Vorschlag,der,Vorschläge,noun,neutral,"abstract,communication,B1",,,TRUE
