"lexeme_id","english","target","article","pos","sense","level","rank","tags"
"it.lex.io","I","io","","","","","1","core-3000"
"it.lex.tu","you (singular)","tu","","","","","2","core-3000"
"it.lex.lui","he","lui","","","","","3","core-3000"
"it.lex.lei.she","she","lei","","","","","4","core-3000"
"it.lex.esso-essa","it","esso / essa","","","","","5","core-3000"
"it.lex.noi","we","noi","","","","","6","core-3000"
"it.lex.voi","you (plural)","voi","","","","","7","core-3000"
"it.lex.loro.they","they","loro","","","","","8","core-3000"
"it.lex.lei.you-formal","you (formal)","Lei","","","","","9","core-3000"
"it.lex.mi-me","me (accusative)","mi / me","","","","","10","core-3000"
"it.lex.ti-te","you (acc., sg.)","ti / te","","","","","11","core-3000"
"it.lex.lo-lui","him","lo / lui","","","","","12","core-3000"
"it.lex.la-lei","her","la / lei","","","","","13","core-3000"
"it.lex.ci-noi","us","ci / noi","","","","","14","core-3000"
"it.lex.vi-voi","you (acc., pl.)","vi / voi","","","","","15","core-3000"
"it.lex.li-le-loro","them","li / le / loro","","","","","16","core-3000"
"it.lex.mi","to me (dative)","mi","","","","","17","core-3000"
"it.lex.ti","to you (dat., sg.)","ti","","","","","18","core-3000"
"it.lex.gli","to him","gli","","","","","19","core-3000"
"it.lex.le","to her","le","","","","","20","core-3000"
"it.lex.ci","to us","ci","","","","","21","core-3000"
"it.lex.vi","to you (dat., pl.)","vi","","","","","22","core-3000"
"it.lex.loro-gli","to them","loro / gli","","","","","23","core-3000"
"it.lex.me-stesso-mi","myself","me stesso / mi","","","","","24","core-3000"
"it.lex.te-stesso-ti","yourself","te stesso / ti","","","","","25","core-3000"
"it.lex.se-stesso-si","himself / herself","se stesso / si","","","","","26","core-3000"
"it.lex.noi-stessi-ci","ourselves","noi stessi / ci","","","","","27","core-3000"
"it.lex.voi-stessi-vi","yourselves","voi stessi / vi","","","","","28","core-3000"
"it.lex.se-stessi-si","themselves","se stessi / si","","","","","29","core-3000"
"it.lex.qualcuno","someone","qualcuno","","","","","30","core-3000"
"it.lex.nessuno.nobody","nobody","nessuno","","","","","31","core-3000"
