english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
because I do not know,weil ich es nicht weiß,,,pattern,neutral,grammar;weil,,Verb goes to end after weil.,,A2,,
because it is important,weil es wichtig ist,,,pattern,neutral,grammar;weil,,,false,A2,,
because I need clarity,weil ich Klarheit brauche,die,,pattern,neutral,grammar;weil,,,false,A2,,
that I do not understand it,dass ich es nicht verstehe,,,pattern,neutral,grammar;dass,,Verb goes to end after dass.,,A2,,
that we should talk,dass wir sprechen sollten,,,pattern,neutral,grammar;dass;modal,,,false,A2,,
if you have time,wenn du Zeit hast,die,,pattern,neutral,grammar;wenn,,,false,A1,,
if something is wrong,wenn etwas nicht stimmt,,,pattern,neutral,grammar;wenn,,,false,A2,,
although I understand it,obwohl ich es verstehe,,,pattern,neutral,grammar;obwohl,,,false,A2,,
although it hurts,obwohl es weh tut,,,pattern,neutral,grammar;obwohl,,,false,A2,,
before I answer,bevor ich antworte,,,pattern,neutral,grammar;bevor,,,false,A2,,
after we talk,nachdem wir sprechen,,,pattern,neutral,grammar;nachdem,,,false,B1,,
so that it is clear,damit es klar ist,,,pattern,neutral,grammar;damit,,,false,B1,,
whether it works,ob es funktioniert,,,pattern,neutral,grammar;ob,,,false,A2,,
what happened,was passiert ist,,,pattern,neutral,grammar;question,,,false,A2,,
why it hurts,warum es weh tut,,,pattern,neutral,grammar;question,,,false,A2,,
how I should say it,wie ich es sagen soll,,,pattern,neutral,grammar;question;modal,,,false,A2,,
I have to go.,Ich muss gehen.,,,sentence,neutral,grammar;modal;müssen,,,false,A1,,
I can stay.,Ich kann bleiben.,,,sentence,neutral,grammar;modal;können,,,false,A1,,
I want to understand it.,Ich will es verstehen.,,,sentence,neutral,grammar;modal;wollen,,,false,A1,,
I would like to ask something.,Ich möchte etwas fragen.,,,sentence,polite,grammar;modal;möchten,,,false,A1,,
I should not react now.,Ich sollte jetzt nicht reagieren.,,,sentence,neutral,grammar;modal;sollten,,,false,A2,,
May I ask you something?,Darf ich dich etwas fragen?,,,sentence,neutral,grammar;modal;dürfen,,,false,A1,,
I am thinking about it.,Ich denke darüber nach.,,,sentence,neutral,grammar;preposition;nachdenken,,über + accusative; da-compound darüber,false,A2,,
I am waiting for you.,Ich warte auf dich.,,,sentence,neutral,grammar;preposition;warten,,auf + accusative,false,A1,,
I am talking about it.,Ich spreche darüber.,,,sentence,neutral,grammar;preposition;sprechen,,über + accusative; darüber,false,A2,,
I am afraid of it.,Ich habe Angst davor.,die,,sentence,neutral,grammar;preposition;angst,,vor + dative; davor,false,A2,,
I am looking forward to it.,Ich freue mich darauf.,,,sentence,neutral,grammar;preposition;freuen,,auf + accusative; darauf,false,A2,,
It depends on it.,Es hängt davon ab.,,,sentence,neutral,grammar;preposition;abhängen,,von + dative; davon,false,B1,,
I agree with you.,Ich stimme dir zu.,,,sentence,neutral,grammar;dative,,dative object,false,A2,,
I believe you.,Ich glaube dir.,,,sentence,neutral,grammar;dative,,dative object,false,A1,,
I understand you.,Ich verstehe dich.,,,sentence,neutral,grammar;accusative,,accusative object,false,A1,,
I miss you.,Du fehlst mir.,,,sentence,neutral,grammar;dative;relationship,,Literally: you are missing to me.,false,A2,,
I like that.,Das gefällt mir.,,,sentence,neutral,grammar;dative,,,false,A1,,
I feel good.,Mir geht es gut.,,,sentence,neutral,grammar;dative,,,false,A1,,
I am calling you.,Ich rufe dich an.,,,sentence,neutral,grammar;separable,,anrufen is separable,false,A1,,
I will come along.,Ich komme mit.,,,sentence,neutral,grammar;separable,,mitkommen is separable,false,A1,,
I will come back.,Ich komme zurück.,,,sentence,neutral,grammar;separable,,zurückkommen is separable,false,A1,,
I am starting now.,Ich fange jetzt an.,,,sentence,neutral,grammar;separable,,anfangen is separable,false,A1,,
I am stopping now.,Ich höre jetzt auf.,,,sentence,neutral,grammar;separable,,aufhören is separable,false,A1,,
I have misunderstood that.,Ich habe das missverstanden.,,,sentence,neutral,grammar;perfect,,Perfect tense with haben,false,A2,,
I came back late.,Ich bin spät zurückgekommen.,,,sentence,neutral,grammar;perfect,,Movement/change of location often uses sein.,false,A2,,
I would say that ...,"Ich würde sagen, dass ...",,,pattern,neutral,grammar;subjunctive,,Konjunktiv II polite/softening.,false,A2,,
I would rather not do that.,Das würde ich lieber nicht machen.,,,sentence,neutral,grammar;subjunctive,,,false,A2,,
