"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","The next day Watson comes to Baker Street at three.","Am nächsten Tag kommt Watson um drei Uhr in die Baker Street.","","","Am nächsten Tag kommt|Watson um drei Uhr|in die Baker Street.","de.wordorder.verb-second","A1.2"
"s002","2","1","Holmes is not there yet.","Holmes ist noch nicht da.","","","Holmes ist noch nicht da.","","A1.2"
"s003","3","1","Watson waits beside the fire.","Watson wartet neben dem Feuer.","","","Watson wartet neben dem Feuer.","","A1.2"
"s004","4","1","Near four o’clock a dirty stableman enters.","Kurz vor vier Uhr kommt ein schmutziger Stallknecht herein.","","","Kurz vor vier Uhr|kommt ein schmutziger Stallknecht herein.","de.sep.prefix-split","A1.2"
"s005","5","1","Watson needs a moment to recognise Holmes.","Watson braucht einen Moment, um Holmes zu erkennen.","","","Watson braucht einen Moment,|um Holmes zu erkennen.","de.um-zu","A1.2"
"s006","6","1","Holmes changes his clothes and begins to laugh.","Holmes wechselt seine Kleidung und beginnt zu lachen.","","","Holmes wechselt seine Kleidung|und beginnt zu lachen.","de.zu-infinitive","A1.2"
"s007","7","1","He has spent the morning near Irene’s house.","Er hat den Morgen in der Nähe von Irenes Haus verbracht.","","","Er hat den Morgen|in der Nähe von|Irenes Haus verbracht.","de.perfekt.haben","A1.2"
"s008","8","1","His disguise helped him speak with the stablemen.","Seine Verkleidung hat ihm geholfen, mit den Stallknechten zu sprechen.","","","Seine Verkleidung hat ihm geholfen,|mit den Stallknechten zu sprechen.","de.perfekt.haben","A1.2"
"s009","9","2","They know everything that happens in the street.","Sie wissen alles, was in der Straße passiert.","","","Sie wissen alles,|was in der Straße passiert.","de.relative.was","A1.2"
"s010","10","2","Irene lives quietly and sings at concerts.","Irene lebt ruhig und singt bei Konzerten.","","","Irene lebt ruhig|und singt bei Konzerten.","","A1.2"
"s011","11","2","Every day she drives out at five.","Jeden Tag fährt sie um fünf Uhr aus.","","","Jeden Tag fährt sie|um fünf Uhr aus.","de.sep.prefix-split","A1.2"
"s012","12","2","She returns at seven for dinner.","Um sieben kommt sie zum Abendessen zurück.","","","Um sieben kommt sie|zum Abendessen zurück.","de.sep.prefix-split","A1.2"
"s013","13","2","A lawyer named Godfrey Norton visits her often.","Ein Anwalt namens Godfrey Norton besucht sie oft.","","","Ein Anwalt namens Godfrey|Norton besucht sie oft.","","A1.2"
"s014","14","2","Holmes does not know their relationship.","Holmes kennt ihre Beziehung nicht.","","","Holmes kennt ihre Beziehung nicht.","","A1.2"
"s015","15","3","While Holmes watches the house, Norton arrives in a hurry.","Während Holmes das Haus beobachtet, kommt Norton sehr eilig an.","","","Während Holmes das Haus beobachtet,|kommt Norton sehr eilig an.","de.subordinate.waehrend","A1.2"
"s016","16","3","He stays inside for half an hour.","Er bleibt eine halbe Stunde im Haus.","","","Er bleibt eine halbe|Stunde im Haus.","","A1.2"
"s017","17","3","Then he runs back to his carriage.","Dann läuft er zu seiner Kutsche zurück.","","","Dann läuft er zu|seiner Kutsche zurück.","de.wordorder.verb-second","A1.2"
"s018","18","3","He orders the driver to go to a church.","Er befiehlt dem Fahrer, zu einer Kirche zu fahren.","","","Er befiehlt dem Fahrer,|zu einer Kirche zu fahren.","de.zu-infinitive","A1.2"
