"id","name","english","explanation","example_id","level"
"de.als-ob","Comparison with als ob","so tun, als ob ...","Als ob introduces an unreal comparison; the verb goes to the end.","","A1"
"de.indirect-question","Indirect question","Question word + verb at the end","In an indirect question, the question word opens the clause and the finite verb goes to the end.","","A1"
"de.modal.infinitive-final","Modal verb + infinitive at the end","The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","",""
"de.passive.werden","Passive with werden","werden is conjugated in second position, the past participle goes to the very end. Everything else sits between them.","werden is conjugated in second position, the past participle goes to the very end. Everything else sits between them.","",""
"de.perfekt.haben","de.perfekt.haben","","","","A1"
"de.reflexive.accusative","Reflexive verb with accusative sich","The verb needs sich to be complete. It is not translated in English, and it is not optional.","The verb needs sich to be complete. It is not translated in English, and it is not optional.","",""
"de.relative.was","Relative clause with was","alles, was ...","After alles or etwas, was can introduce a relative clause.","","A1"
"de.sep.prefix-split","Separable verb, prefix split off","In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","In a main clause the prefix detaches and travels to the end of the sentence, sometimes many words away from its verb.","",""
"de.subordinate.als","One past event with als","als sends the verb to the end","Use als for a single event in the past. The finite verb goes to the end.","","A1"
"de.subordinate.dass","Subordinate clause with dass","dass sends the finite verb to the end","A dass-clause reports a thought or statement. The conjugated verb moves to the end.","","A1"
"de.subordinate.waehrend","Time with während","während sends the verb to the end","Use während for two actions happening at the same time.","","A1"
"de.subordinate.weil","Reason with weil","weil sends the finite verb to the end","Use weil to give a reason. The conjugated verb goes to the end of the clause.","","A1"
"de.subordinate.wenn","Condition or repeated time with wenn","wenn sends the verb to the end","Use wenn for a condition or repeated event. The finite verb closes the clause.","","A1"
"de.um-zu","Purpose with um ... zu","um + object + zu + infinitive","Use um ... zu to say why someone does something. The infinitive closes the phrase.","","A1"
"de.wordorder.verb-second","Verb in second position","When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","",""
"de.zu-infinitive","Infinitive with zu","zu + infinitive after verbs such as bitten and versuchen","Many verbs introduce another action with zu + infinitive.","","A1"
