"lemma_group","target","english_variants","ids"
"de.noun.antwort","Antwort","answer | the response","de.noun.antwort.answer | de.noun.antwort.response"
"de.noun.bahnhof","Bahnhof","train station | station","de.noun.bahnhof.train-station | de.noun.bahnhof.station"
"de.noun.bauch","Bauch","stomach | belly","de.noun.bauch.stomach | de.noun.bauch.belly"
"de.noun.bewertung","Bewertung","review | rating","de.noun.bewertung.review | de.noun.bewertung.rating"
"de.noun.boden","Boden","floor | the bottom","de.noun.boden.floor | de.noun.boden.bottom"
"de.noun.bogen","Bogen","arch | bow (curve / weapon)","de.noun.bogen.arch | de.noun.bogen.bow-curve"
"de.noun.caf","Café","café | cafe","de.noun.caf.caf | de.noun.caf.cafe"
"de.noun.decke","Decke","ceiling | blanket","de.noun.decke.blanket | de.noun.decke.blanket-2"
"de.noun.eis","Eis","ice cream | ice","de.noun.eis.ice-cream | de.noun.eis.ice"
"de.noun.erinnerung","Erinnerung","memory | reminder","de.noun.erinnerung.memory | de.noun.erinnerung.reminder"
"de.noun.fahrrad","Fahrrad","bicycle | bike","de.noun.fahrrad.bicycle | de.noun.fahrrad.bike"
"de.noun.fehler","Fehler","bug | mistake","de.noun.fehler.bug | de.noun.fehler.mistake"
"de.noun.flugzeug","Flugzeug","plane | airplane","de.noun.flugzeug.plane | de.noun.flugzeug.airplane"
"de.noun.freizeit","Freizeit","free time | leisure","de.noun.freizeit.free-time | de.noun.freizeit.leisure"
"de.noun.freundin","Freundin","friend (f) | female friend","de.noun.freundin.friend | de.noun.freundin.female-friend"
"de.noun.gericht","Gericht","dish | courthouse","de.noun.gericht.dish | de.noun.gericht.courthouse"
"de.noun.gesundheit","Gesundheit","health | Bless you!","de.noun.gesundheit.health | de.noun.gesundheit.bless-you"
"de.noun.glueck","Glück","luck | happiness","de.noun.glueck.happiness | de.noun.glueck.happiness-2"
"de.noun.grenze","Grenze","border | the limit | boundary","de.noun.grenze.border | de.noun.grenze.limit | de.noun.grenze.boundary"
"de.noun.hafen","Hafen","harbor | harbour","de.noun.hafen.harbor | de.noun.hafen.harbour"
"de.noun.hass","Hass","hate | hatred","de.noun.hass.hate | de.noun.hass.hatred"
"de.noun.hose","Hose","pants | trousers","de.noun.hose.pants | de.noun.hose.trousers"
"de.noun.kanal","Kanal","channel | canal","de.noun.kanal.channel | de.noun.kanal.canal"
"de.noun.mauer","Mauer","wall (outer) | wall (freestanding / outdoor)","de.noun.mauer.wall | de.noun.mauer.outdoor"
"de.noun.muetze","Mütze","hat | the cap","de.noun.muetze.hat | de.noun.muetze.cap"
"de.noun.nachbar","Nachbar","neighbor (m) | neighbour","de.noun.nachbar.neighbor | de.noun.nachbar.neighbour"
"de.noun.nummer","Nummer","the number | number (of a house, phone)","de.noun.nummer.number | de.noun.nummer.number-of-a-house"
"de.noun.rechnung","Rechnung","bill | invoice","de.noun.rechnung.bill | de.noun.rechnung.invoice"
"de.noun.rezept","Rezept","recipe | prescription","de.noun.rezept.prescription | de.noun.rezept.prescription-2"
"de.noun.salat","Salat","salad | lettuce","de.noun.salat.lettuce | de.noun.salat.lettuce-2"
"de.noun.see","See","lake | sea (formal/poetic)","de.noun.see.lake | de.noun.see.poetic"
"de.noun.seite","Seite","page | the side","de.noun.seite.page | de.noun.seite.side"
"de.noun.strasse","Straße","street | road","de.noun.strasse.street | de.noun.strasse.road"
"de.noun.strom","Strom","current | stream / electric current","de.noun.strom.current | de.noun.strom.electric-current"
"de.noun.stunde","Stunde","hour | lesson","de.noun.stunde.hour | de.noun.stunde.lesson"
"de.noun.tasche","Tasche","bag | pocket","de.noun.tasche.bag | de.noun.tasche.pocket"
"de.noun.telefon","Telefon","phone | telephone","de.noun.telefon.phone | de.noun.telefon.telephone"
"de.noun.theater","Theater","theater | theatre","de.noun.theater.theater | de.noun.theater.theatre"
"de.noun.tor","Tor","gate | goal (in sports)","de.noun.tor.gate | de.noun.tor.goal"
"de.noun.uhr","Uhr","watch | clock","de.noun.uhr.clock | de.noun.uhr.clock-2"
"de.noun.wahl","Wahl","choice | election","de.noun.wahl.choice | de.noun.wahl.election"
"de.noun.weg","Weg","path | the way","de.noun.weg.path | de.noun.weg.way"
"de.noun.zwischenstopp","Zwischenstopp","stopover | layover","de.noun.zwischenstopp.stopover | de.noun.zwischenstopp.layover"
"de.phrase.angst-haben-vor","Angst haben vor","to be afraid of | to be afraid","de.phrase.angst-haben-vor.be-afraid-of | de.phrase.angst-haben-vor.be-afraid"
"de.phrase.auf-jeden-fall","Auf jeden Fall.","Definitely. | In any case.","de.phrase.auf-jeden-fall.definitely | de.phrase.auf-jeden-fall.in-any-case"
"de.phrase.das-kam-falsch-rueber","Das kam falsch rüber.","This came across wrong. | That came across wrong.","de.phrase.das-kam-falsch-rueber.this-came-across-wrong | de.phrase.das-kam-falsch-rueber.that-came-across-wrong"
"de.phrase.das-kommt-darauf-an","Das kommt darauf an.","That depends. | That depends. (phrase)","de.phrase.das-kommt-darauf-an.that-depends | de.phrase.das-kommt-darauf-an.that-depends-2"
"de.phrase.er-sollte","er sollte","he was supposed to | he should","de.phrase.er-sollte.he-was-supposed-to | de.phrase.er-sollte.he-should"
"de.phrase.es-tut-mir-leid","Es tut mir leid.","I'm sorry. | I am sorry.","de.phrase.es-tut-mir-leid.i-m-sorry | de.phrase.es-tut-mir-leid.i-am-sorry"
"de.phrase.guten-tag","Guten Tag!","Good afternoon! | hello / good day","de.phrase.guten-tag.good-afternoon | de.phrase.guten-tag.good-day"
"de.phrase.ich-bin-muede","Ich bin müde.","I'm tired. | I am tired.","de.phrase.ich-bin-muede.i-m-tired | de.phrase.ich-bin-muede.i-am-tired"
"de.phrase.ich-freue-mich-darauf","Ich freue mich darauf.","I'm looking forward to it. | I am looking forward to it.","de.phrase.ich-freue-mich-darauf.i-m-looking-forward-to-i | de.phrase.ich-freue-mich-darauf.i-am-looking-forward-to-"
"de.phrase.ich-habe-es-eilig","Ich habe es eilig.","I'm in a hurry. | I am in a hurry.","de.phrase.ich-habe-es-eilig.i-m-in-a-hurry | de.phrase.ich-habe-es-eilig.i-am-in-a-hurry"
"de.phrase.ich-habe-gegessen","ich habe gegessen","I have eaten (Perfekt) | I have eaten. (Perfekt)","de.phrase.ich-habe-gegessen.i-have-eaten | de.phrase.ich-habe-gegessen.i-have-eaten-2"
"de.phrase.ich-habe-hunger","Ich habe Hunger.","I'm hungry. | I am hungry.","de.phrase.ich-habe-hunger.i-m-hungry | de.phrase.ich-habe-hunger.i-am-hungry"
"de.phrase.ich-komme-aus-ungarn","Ich komme aus Ungarn.","I'm from Hungary. | I am from Hungary.","de.phrase.ich-komme-aus-ungarn.i-m-from-hungary | de.phrase.ich-komme-aus-ungarn.i-am-from-hungary"
"de.phrase.ich-sehe-das-anders","Ich sehe das anders.","I see this differently. | I see it differently.","de.phrase.ich-sehe-das-anders.i-see-this-differently | de.phrase.ich-sehe-das-anders.i-see-it-differently"
"de.phrase.ich-sollte","ich sollte","I was supposed to | I should (ought to)","de.phrase.ich-sollte.i-was-supposed-to | de.phrase.ich-sollte.i-should"
"de.phrase.ich-trug","ich trug","I carried | I wore","de.phrase.ich-trug.i-carried | de.phrase.ich-trug.i-wore"
"de.phrase.ich-verstehe-nicht","Ich verstehe nicht.","I don't understand. | I do not understand.","de.phrase.ich-verstehe-nicht.i-don-t-understand | de.phrase.ich-verstehe-nicht.i-do-not-understand"
"de.phrase.ich-will-mir-da-nicht-zu-viele-gedanken-machen","Ich will mir da nicht zu viele Gedanken machen.","I do not want to overthink this. | I do not want to overthink it.","de.phrase.ich-will-mir-da-nicht-zu-viele-gedanken-machen.i-do-not-want-to-overthi | de.phrase.ich-will-mir-da-nicht-zu-viele-gedanken-machen.i-do-not-want-to-overthi-2"
"de.phrase.kommst-du","Kommst du?","Are you coming? | Are you coming? (yes/no question)","de.phrase.kommst-du.are-you-coming | de.phrase.kommst-du.are-you-coming-yes"
"de.phrase.mir-geht-es-gut-danke","Mir geht es gut, danke.","I'm fine, thank you. | I am fine, thanks.","de.phrase.mir-geht-es-gut-danke.i-m-fine | de.phrase.mir-geht-es-gut-danke.i-am-fine"
"de.phrase.schritt-fuer-schritt","Schritt für Schritt","step by step | One step at a time.","de.phrase.schritt-fuer-schritt.step-by-step | de.phrase.schritt-fuer-schritt.one-step-at-a-time"
"de.phrase.sich-freuen-auf","sich freuen auf","to look forward to | to be looking forward to","de.phrase.sich-freuen-auf.look-forward-to | de.phrase.sich-freuen-auf.be-looking-forward-to"
"de.phrase.sich-selbst","sich selbst","himself / herself / itself | themselves","de.phrase.sich-selbst.herself | de.phrase.sich-selbst.themselves"
"de.phrase.sich-vorstellen","sich vorstellen","to imagine | to introduce oneself","de.phrase.sich-vorstellen.imagine | de.phrase.sich-vorstellen.introduce-oneself"
