"english","target","article","hint"
"person","Person","die",""
"man","Mann","der",""
"woman","Frau","die",""
"child","Kind","das",""
"friend","Freund","der",""
"female friend","Freundin","die",""
"family","Familie","die",""
"house","Haus","das",""
"apartment","Wohnung","die",""
"room","Zimmer","das",""
"door","Tür","die",""
"window","Fenster","das",""
"table","Tisch","der",""
"chair","Stuhl","der",""
"bed","Bett","das",""
"city","Stadt","die",""
"street","Straße","die",""
"station","Bahnhof","der",""
"airport","Flughafen","der",""
"train","Zug","der",""
"car","Auto","das",""
"bike","Fahrrad","das",""
"ticket","Fahrkarte","die",""
"money","Geld","das",""
"card","Karte","die",""
"bill","Rechnung","die",""
"food","Essen","das",""
"water","Wasser","das",""
"coffee","Kaffee","der",""
"beer","Bier","das",""
"wine","Wein","der",""
"bread","Brot","das",""
"breakfast","Frühstück","das",""
"lunch","Mittagessen","das",""
"dinner","Abendessen","das",""
"day","Tag","der",""
"week","Woche","die",""
"month","Monat","der",""
"year","Jahr","das",""
"time","Zeit","die",""
"moment","Moment","der",""
"question","Frage","die",""
"answer","Antwort","die",""
"problem","Problem","das",""
"solution","Lösung","die",""
"idea","Idee","die",""
"thought","Gedanke","der",""
"feeling","Gefühl","das",""
"fear","Angst","die",""
"love","Liebe","die",""
"trust","Vertrauen","das",""
"clarity","Klarheit","die",""
"safety","Sicherheit","die",""
"boundary","Grenze","die",""
"decision","Entscheidung","die",""
"responsibility","Verantwortung","die",""
"truth","Wahrheit","die",""
"conversation","Gespräch","das",""
"conflict","Konflikt","der",""
"mistake","Fehler","der",""
"reason","Grund","der",""
"situation","Situation","die",""
"state / condition","Zustand","der",""
"direction","Richtung","die",""
"plan","Plan","der",""
"work","Arbeit","die",""
"task","Aufgabe","die",""
"project","Projekt","das",""
"model","Modell","das",""
"parameter","Parameter","der",""
"view","Ansicht","die",""
"export","Export","der",""
"structure","Struktur","die",""
"system","System","das",""
"process","Prozess","der",""
"quality","Qualität","die",""
"risk","Risiko","das",""
"change","Änderung","die",""
"date / appointment","Termin","der",""
"deadline","Frist","die",""
"message","Nachricht","die",""
"email","E-Mail","die",""
"file","Datei","die",""
"folder","Ordner","der",""
"phone","Telefon","das",""
"computer","Computer","der",""
"app","App","die",""
"language","Sprache","die",""
"word","Wort","das",""
"sentence","Satz","der",""
"expression","Ausdruck","der",""
"example","Beispiel","das",""
"level","Niveau","das",""
"article","Artikel","der",""
"plural","Plural","der",""
"grammar","Grammatik","die",""
"I do not want to overthink this.","Ich will mir da nicht zu viele Gedanken machen.","",""
"I do not want to force anything.","Ich möchte nichts erzwingen.","",""
"That hurt me.","Das hat mich verletzt.","",""
"I need clarity.","Ich brauche Klarheit.","",""
"I am not blaming you.","Ich mache dir keinen Vorwurf.","",""
"Do not misunderstand me.","Versteh mich nicht falsch.","",""
"This came across wrong.","Das kam falsch rüber.","",""
"That does not work for me.","Das funktioniert für mich so nicht.","",""
"I need a moment.","Ich brauche einen Moment.","",""
"I am trying to stay calm.","Ich versuche, ruhig zu bleiben.","",""
"Let us clarify this calmly.","Lass uns das in Ruhe klären.","",""
"This is too much for me right now.","Das ist mir gerade zu viel.","",""
"I want to understand you.","Ich möchte dich verstehen.","",""
"I cannot read your mind.","Ich kann deine Gedanken nicht lesen.","",""
"I do not want to chase.","Ich möchte nicht hinterherrennen.","",""
"I care about you.","Du bist mir wichtig.","",""
"I want to be honest.","Ich möchte ehrlich sein.","",""
"That depends.","Das kommt darauf an.","",""
"This is not about winning.","Es geht nicht ums Gewinnen.","",""
"We are on the same side.","Wir stehen auf derselben Seite.","",""
"I see this differently.","Ich sehe das anders.","",""
"I partly agree.","Ich stimme dir teilweise zu.","",""
"I am not convinced yet.","Ich bin noch nicht überzeugt.","",""
"This is probably the cleaner solution.","Das ist wahrscheinlich die sauberere Lösung.","",""
"Let us not overcomplicate it.","Lass es uns nicht verkomplizieren.","",""
"This needs a robust solution.","Das braucht eine robuste Lösung.","",""
"I would start with the structure.","Ich würde mit der Struktur anfangen.","",""
"That is not the root cause.","Das ist nicht die eigentliche Ursache.","",""
"This should not break the existing version.","Das sollte die bestehende Version nicht kaputtmachen.","",""
"We should keep it backward-compatible.","Wir sollten es abwärtskompatibel halten.","",""
"hello / good day","Guten Tag","",""
"goodbye","Auf Wiedersehen","",""
"please","bitte","",""
"thank you","danke","",""
"you are welcome","gern geschehen","",""
"excuse me / sorry","Entschuldigung","",""
"yes","ja","",""
