"source_chapter","source_start","source_end","course_chapter","scene","coverage_note"
"CH01","Project Gutenberg #1661 lines 56–502","Watson returns to Baker Street and Holmes deduces his recent life.","ch01","1-3","Narrative event retained in the A1 adaptation"
"CH01","Project Gutenberg #1661 lines 56–502","Holmes explains observation and shows the anonymous letter.","ch01","4-5","Narrative event retained in the A1 adaptation"
"CH01","Project Gutenberg #1661 lines 56–502","The Bohemian paper and German wording reveal the visitor’s origin.","ch01","6-7","Narrative event retained in the A1 adaptation"
"CH01","Project Gutenberg #1661 lines 56–502","The masked visitor reveals himself as the King of Bohemia.","ch01","8-9","Narrative event retained in the A1 adaptation"
"CH01","Project Gutenberg #1661 lines 56–502","The king explains Irene Adler, the photograph and the royal engagement.","ch01","10-11","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","Holmes investigates Briony Lodge in disguise.","ch02","1-2","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","Godfrey Norton and Irene race to Saint Monica.","ch02","3-4","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","Holmes becomes the unexpected wedding witness.","ch02","5-6","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","Holmes gives Watson the fire-alarm plan.","ch02","7-8","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","The staged street fight brings Holmes inside.","ch02","9-10","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","The false fire reveals the photograph’s hiding place.","ch02","11-12","Narrative event retained in the A1 adaptation"
"CH02","Project Gutenberg #1661 lines 505–941","A disguised Irene follows Holmes to Baker Street.","ch02","13-14","Narrative event retained in the A1 adaptation"
"CH03","Project Gutenberg #1661 lines 944–1098","Holmes, Watson and the king return to Briony Lodge.","ch03","1-2","Narrative event retained in the A1 adaptation"
"CH03","Project Gutenberg #1661 lines 944–1098","Irene has left England with Godfrey Norton.","ch03","3-4","Narrative event retained in the A1 adaptation"
"CH03","Project Gutenberg #1661 lines 944–1098","Her letter explains how she discovered Holmes.","ch03","5-6","Narrative event retained in the A1 adaptation"
"CH03","Project Gutenberg #1661 lines 944–1098","She keeps the original for protection and promises peace.","ch03","7-8","Narrative event retained in the A1 adaptation"
"CH03","Project Gutenberg #1661 lines 944–1098","Holmes asks for Irene’s portrait and names her the woman.","ch03","9-10","Narrative event retained in the A1 adaptation"
