id,lexeme_id,english,target,article,hint,source_id,forms,kind
w0001,de.lex.ich,I,ich,,,s001,Ich|ich|mir|Mir,function
w0002,de.private.bohemia.ext.surface.uebernachtete,spent the night; stayed overnight,übernachtete,,,s001,übernachtete,word
w0003,de.lex.in,in / into,in,,,s001,in|ins|im,function
w0004,de.lex.der-bestimmte-artikel,the (definite article),der bestimmte Artikel,,,s001,der|den|Das|die|das|Die|dem|Der|des|DIE,function
w0005,de.lex.baker,Baker,Baker,,,s001,Baker,name
w0006,de.lex.street,Street,Street,,,s001,Street,name
w0007,de.lex.und,and,und,,,s001,und|Und,function
w0008,de.lex.wir,we,wir,,,s001,wir|Wir,word
w0009,de.private.bohemia.ext.surface.sassen,sat; were sitting,saßen,,,s001,saßen,word
w0010,de.lex.am,at the,am,,,s001,am,function
w0011,de.lex.naechsten,next,nächsten,,,s001,nächsten,function
w0012,de.lex.morgen.morning,morning,Morgen,der,,s001,Morgen|morgen,word
w0013,de.lex.gerade,just / right now / straight,gerade,,,s001,gerade,word
w0014,de.lex.bei,at / by (Dativ),bei,,,s001,bei,word
w0015,de.private.bohemia.ext.surface.toast,toast,Toast,,,s001,Toast,name
w0016,de.lex.kaffee,coffee,Kaffee,der,,s001,Kaffee,word
w0017,de.lex.als,when (past),als,,,s001,als,word
w0018,de.lex.koenig,king,König,der,,s001,König|Königs,word
w0019,de.lex.von,from (Dativ),von,,,s001,von,word
w0020,de.lex.boehmen,Bohemia,Böhmen,,,s001,Böhmen,name
w0021,de.lex.zimmer,room,Zimmer,das,,s001,Zimmer,word
w0022,de.private.bohemia.ext.stuermen,rushed / stormed,stürmen,,,s001,stürmte,word
w0023,de.lex.sie.her,she / they / her (depending on context),sie,,,s002,Sie|sie|Ihnen,function
w0024,de.lex.haben,to have,haben,,,s002,haben|habe|hat|hatte|Habe,word
w0025,de.lex.es,it / she (for a neuter noun),es,,,s002,es,function
w0026,de.lex.also,so/therefore,also,,,s002,also,word
w0027,de.lex.wirklich.really,really,wirklich,,,s002,wirklich,word
w0028,de.private.bohemia.ext.rufen,called / cried,rufen,,,s002,rief,word
w0029,de.lex.er,he,er,,,s002,er|ihm|ihn|Er,word
w0030,de.private.bohemia.ext.indem,by / while doing,indem,,,s002,indem,function
w0031,de.lex.holmes,Holmes,Holmes,,,s002,Holmes|HOLMES,name
w0032,de.lex.schulter,shoulder,Schulter,die,,s002,Schultern,word
w0033,de.private.bohemia.ext.surface.packte,grabbed; seized,packte,,,s002,packte,word
w0034,de.private.bohemia.ext.surface.gespannt,eagerly; tense,gespannt,,,s002,gespannt,word
w0035,de.lex.gesicht,the face,Gesicht,das,,s002,Gesicht,word
w0036,de.lex.sehen,to see,sehen,,,s002,sah|sehen|gesehen,word
w0037,de.lex.noch,still / another / yet,noch,,,s003,Noch|noch,function
w0038,de.lex.nicht,not,nicht,,,s003,nicht,function
w0039,de.lex.aber,but,aber,,,s004,Aber,function
w0040,de.lex.hoffnung,hope,Hoffnung,die,,s004,Hoffnung,word
w0041,de.lex.dann,then,dann,,,s006,Dann|dann,function
w0042,de.lex.kommen,to come,kommen,,,s006,kommen,word
w0043,de.lex.koennen,can / to be able,können,,,s007,kann|könnte,word
w0044,de.lex.kaum,hardly,kaum,,,s007,kaum,word
w0045,de.lex.erwarten,to expect,erwarten,,,s007,erwarten,word
w0046,de.private.bohemia.ext.surface.aufzubrechen,to set out; depart,aufzubrechen,,,s007,aufzubrechen,word
w0047,de.lex.brauchen,to need,brauchen,,,s008,brauchen,word
w0048,de.lex.ein,a / an; one,ein,,,s008,eine|ein|Einen|einen|einem|einer,function
w0049,de.lex.kutsche,carriage,Kutsche,die,,s008,Kutsche,word
w0050,de.lex.nein,no,nein,,,s009,Nein,word
w0051,de.lex.mein,my,mein,,,s009,mein|Meine|Mein|MEIN|meine|meinem|meiner,function
w0052,de.private.bohemia.ext.brougham,brougham carriage,Brougham,der,,s009,Brougham,word
w0053,de.lex.stehen,to stand,stehen,,,s009,steht|stehe,word
w0054,de.lex.draussen,outside,draußen,,,s009,draußen,word
w0055,de.private.bohemia.ext.vereinfachen,simplifies / simplified,vereinfachen,,,s010,vereinfacht,word
w0056,de.lex.natuerlich,Of course!,Natürlich!,,,s010,natürlich,word
w0057,de.lex.sache,the thing,Sache,die,,s010,Sache,word
w0058,de.private.bohemia.ext.gehen,went,gehen,,,s011,gingen,word
w0059,de.private.bohemia.ext.surface.hinunter,downstairs; down,hinunter,,,s011,hinunter,word
w0060,de.lex.macht,power,Macht,die,,s011,machten,word
w0061,de.lex.uns,to us (dative),uns,,,s011,uns|unserem,word
w0062,de.lex.weit,wide,weit,,,s011,weiteres|weiter,word
w0063,de.private.bohemia.ext.mal,time / occasion,Mal,das,,s011,Mal,word
w0064,de.lex.auf.into,on / onto / into,auf,,,s011,auf,function
w0065,de.lex.weg.away,away,weg,,,s011,Weg,function
w0066,de.lex.zu.too,to,zu,,,s011,zur|zum,word
w0067,de.lex.briony,Briony,Briony,,,s011,Briony,name
w0068,de.lex.lodge,Lodge,Lodge,,,s011,Lodge,name
w0069,de.lex.irene,Irene,Irene,,,s012,Irene|IRENE|Irenes,name
w0070,de.lex.adler,eagle,Adler,der,,s012,Adler|ADLER,word
w0071,de.private.bohemia.ext.surface.geheiratet,married,geheiratet,,,s012,geheiratet|Geheiratet,word
w0072,de.private.bohemia.ext.bemerken,remarked / noticed,bemerken,,,s012,bemerkte,word
w0073,de.lex.wann,When?,Wann?,,,s014,Wann,word
w0074,de.lex.gestern,yesterday,gestern,,,s015,Gestern,word
w0075,de.lex.wen,Whom? (accusative),Wen?,,,s016,wen,word
w0076,de.lex.englisch,English,englisch,,,s017,englischen,word
w0077,de.private.bohemia.ext.rechtsanwalt,lawyer / solicitor,Rechtsanwalt,der,,s017,Rechtsanwalt,word
w0078,de.lex.namens,named / by the name of,namens,,,s017,namens,word
w0079,de.lex.norton,Norton,Norton,,,s017,Norton|NORTON,name
w0080,de.lex.unmoeglich,impossible,unmöglich,,,s018,unmöglich,word
w0081,de.lex.lieben,to love,lieben,,,s018,lieben|liebt,word
w0082,de.lex.wollen,to want,wollen,,,s019,will|wollten,word
w0083,de.private.bohemia.ext.doch,but / after all / indeed,doch,,,s019,doch|Doch,function
w0084,de.lex.sehr,very,sehr,,,s019,sehr,word
w0085,de.lex.hoffen,to hope,hoffen,,,s019,hoffen,word
w0086,de.lex.dass,that (subordinating conjunction),dass,,,s019,daß,function
w0087,de.private.bohemia.ext.weshalb,why / for which reason,weshalb,,,s020,weshalb,function
w0088,de.lex.weil,because (subord.),weil,,,s021,Weil,word
w0089,de.private.bohemia.ext.surface.eure,Your; your,Eure,,,s021,Eure,word
w0090,de.private.bohemia.ext.majestaet,Majesty,Majestät,die,,s021,Majestät,word
w0091,de.private.bohemia.ext.surface.jeglicher,any; every,jeglicher,,,s021,jeglicher,word
w0092,de.lex.furcht,fear,Furcht,die,,s021,Furcht,word
w0093,de.lex.vor,before / in front of / from,vor,,,s021,vor,function
w0094,de.lex.zukunft,future,Zukunft,die,,s021,zukünftiger|Zukunft,word
w0095,de.private.bohemia.ext.surface.belaestigung,annoyance; harassment,Belästigung,,,s021,Belästigung,word
w0096,de.private.bohemia.ext.surface.befreien,free; release,befreien,,,s021,befreien,word
w0097,de.lex.werden,to become,werden,,,s021,würde|werden|geworden|wird,word
w0098,de.lex.wenn,if / when,wenn,,,s022,Wenn|wenn,word
w0099,de.private.bohemia.ext.dame,lady,Dame,die,,s022,Dame,word
w0100,de.lex.ihr.her,her,ihr,,,s022,ihren|ihr|ihrer|Ihre|Ihrer|Ihr|ihrem|ihre,function
w0101,de.private.bohemia.ext.surface.gatten,husband; spouse,Gatten,,,s022,Gatten,word
w0102,de.lex.mehr,more / anymore,mehr,,,s022,mehr,function
w0103,de.lex.geben,to give,geben,,,s023,gibt|geben|geb,word
w0104,de.lex.auch,also / too,auch,,,s023,auch|Auch,function
w0105,de.lex.kein,no / not any,kein,,,s023,keinen,function
w0106,de.lex.grund,reason,Grund,der,,s023,Grund,word
w0107,de.lex.fuer,for,für,,,s023,für,function
w0108,de.private.bohemia.ext.surface.euer,Your; your,Euer,,,s023,Euer,word
w0109,de.lex.absichtlich,on purpose,absichtlich,,,s023,Absichten,word
w0110,de.lex.zu.at,to / at,zu,,,s023,zu,function
w0111,de.private.bohemia.ext.surface.sabotieren,sabotage; undermine,sabotieren,,,s023,sabotieren,word
w0112,de.lex.sein,to be,sein,,,s024,ist|wäre|gewesen|war|sind|waren|sein|Ist|seinem,word
w0113,de.lex.wahr,TRUE,wahr,,,s024,wahr,word
w0114,de.lex.trotzdem.even-so,even so,trotzdem,,,s025,trotzdem,word
w0115,de.private.bohemia.ext.ach,ah / oh,ach,,,s025,Ach|ach,function
w0116,de.lex.wuenschen,to wish,wünschen,,,s026,wünschte|wünschen,word
w0117,de.private.bohemia.ext.surface.ebenbuertigem,equal in rank; of equal standing,ebenbürtigem,,,s026,ebenbürtigem,word
w0118,de.private.bohemia.ext.stehen,stood,stehen,,,s026,Stand|stand|standen,word
w0119,de.lex.welche,Which? (f),Welche?,,,s027,Welch|welche,word
w0120,de.lex.koenigin,queen,Königin,die,,s027,Königin,word
w0121,de.private.bohemia.ext.haben,would have / had (subjunctive),haben,,,s027,hätte|hatten|Hätte,word
w0122,de.private.bohemia.ext.surface.abgegeben,made; would have made,abgegeben,,,s027,abgegeben,word
w0123,de.private.bohemia.ext.surface.verfiel,fell into; lapsed into,verfiel,,,s028,verfiel,word
w0124,de.private.bohemia.ext.surface.truebsinniges,gloomy; melancholy,trübsinniges,,,s028,trübsinniges,word
w0125,de.private.bohemia.ext.schweigen,be silent,schweigen,,,s028,Schweigen,word
w0126,de.lex.bis,until,bis,,,s028,bis|Bis,word
w0127,de.private.bohemia.ext.surface.eintreffen,arrival,Eintreffen,,,s028,Eintreffen,word
