"english","target"
"[dürfen] I am allowed to","ich darf"
"[dürfen] you are allowed to (sg.)","du darfst"
"[dürfen] he / she / it is allowed to","er/sie/es darf"
"[dürfen] we are allowed to","wir dürfen"
"[dürfen] you are allowed to (pl.)","ihr dürft"
"[dürfen] they are allowed to","sie dürfen"
"[dürfen] I am not allowed to","ich darf nicht"
"[können] I can","ich kann"
"[können] you can (sg.)","du kannst"
"[können] he / she / it can","er/sie/es kann"
"[können] we can","wir können"
"[können] you can (pl.)","ihr könnt"
"[können] they can","sie können"
"[müssen] I must / have to","ich muss"
"[müssen] you must (sg.)","du musst"
"[müssen] he / she / it must","er/sie/es muss"
"[müssen] we must","wir müssen"
"[müssen] you must (pl.)","ihr müsst"
"[müssen] they must","sie müssen"
"[wollen] I want to","ich will"
"[wollen] you want to (sg.)","du willst"
"[wollen] he / she / it wants to","er/sie/es will"
"[wollen] we want to","wir wollen"
"[wollen] you want to (pl.)","ihr wollt"
"[wollen] they want to","sie wollen"
"[sollen] I am supposed to","ich soll"
"[sollen] you are supposed to (sg.)","du sollst"
"[sollen] he / she / it is supposed to","er/sie/es soll"
"[sollen] we are supposed to","wir sollen"
"[sollen] they are supposed to","sie sollen"
"[wissen] I know (a fact)","ich weiß"
"[wissen] you know (a fact) (sg.)","du weißt"
"[wissen] he / she knows (a fact)","er/sie weiß"
"[wissen] we know","wir wissen"
"[wissen] they know","sie wissen"
"[Modal – sentence] The German police are not allowed to torture anyone.","Die deutsche Polizei darf niemanden foltern."
"[Modal – sentence] That is only allowed on TV and in Turkey.","Das dürfen die nur im Fernsehen und in der Türkei."
"[Modal – sentence] Obviously I can't ask the police officers.","Fragen kann ich die Polizisten natürlich nicht."
"[Modal – sentence] You can't get far on one leg.","Mit einem Bein kommt man nicht weit."
"[Modal – sentence] I want to say something.","Ich will etwas sagen."
"[Modal – sentence] Am I supposed to confess my name?","Soll ich meinen Namen gestehen?"
"[Modal – sentence] I must have a word with you.","Ich muss mal mit dir reden."
"[Modal – sentence] I can't explain it to myself.","Ich kann es mir nicht erklären."
"[Modal – sentence] We actually wanted to go to Wallachia.","Wir wollten eigentlich in die Walachei."
"[Modal – sentence] It's supposedly somehow deep.","Es soll wohl irgendwie tiefsinnig sein."
"[Modal – infinitive at end] She can see us.","Sie kann uns sehen."
"[Modal – infinitive at end] You don't have to answer.","Du musst nicht antworten."
"[Modal – infinitive at end] What am I supposed to say?","Was soll ich sagen?"
"[Modal – infinitive at end] They should have called the doctor immediately.","Sie hätten sofort den Arzt rufen müssen."
"[Modal – infinitive at end] You don't have to know everything.","Du musst nicht alles wissen."
"[Konj. II] I would be","ich wäre"
"[Konj. II] you would be (sg.)","du wärst"
"[Konj. II] he / she would be","er/sie wäre"
"[Konj. II] we would be","wir wären"
"[Konj. II] they would be","sie wären"
"[Konj. II] I would have","ich hätte"
"[Konj. II] you would have (sg.)","du hättest"
"[Konj. II] he / she would have","er/sie hätte"
"[Konj. II] we would have","wir hätten"
"[Konj. II] they would have","sie hätten"
"[Konj. II] I would","ich würde"
"[Konj. II] you would (sg.)","du würdest"
"[Konj. II] he / she would","er/sie würde"
"[Konj. II] we would","wir würden"
"[Konj. II] they would","sie würden"
"[Konj. II] I could","ich könnte"
"[Konj. II] you could (sg.)","du könntest"
"[Konj. II] he / she could","er/sie könnte"
"[Konj. II] we could","wir könnten"
"[Konj. II] they could","sie könnten"
"[Konj. II] I would have to","ich müsste"
"[Konj. II] you would have to (sg.)","du müsstest"
"[Konj. II] he / she would have to","er/sie müsste"
"[Konj. II] we would have to","wir müssten"
"[Konj. II] I was supposed to","ich sollte"
"[Konj. II] he / she was supposed to","er/sie sollte"
"[Konj. II] I was allowed to","ich dürfte"
"[Konj. II] he / she was allowed to","er/sie dürfte"
"[Konj. II – sentence] That's probably the sentence I should be saying right now.","Das wäre der Satz, den ich jetzt wahrscheinlich sagen müsste."
"[Konj. II – sentence] Torture might actually be quite pleasant.","Vielleicht wäre Foltern sogar ganz angenehm."
"[Konj. II – sentence] At least then I'd have a reason to be worked up.","Dann hätte ich wenigstens einen Grund für meine Aufregung."
"[Konj. II – sentence] They would probably laugh themselves to death.","Würden die sich wahrscheinlich totlachen."
"[Konj. II – sentence] If I had to see this in a film, I'd definitely feel sick.","Wenn ich das im Film sehen müsste, würde mir mit Sicherheit übel."
"[Konj. II – sentence] If someone walked around in a coat like that, I'd find it stupid.","Wenn jemand mit so einem Kittel rumlaufen würde, würde ich das albern finden."
"[Konj. II – sentence] I'd love to stay in this hospital for another year.","Ich würde am liebsten noch ein Jahr in diesem Krankenhaus bleiben."
"[Konj. II – sentence] They should not have relied on what you said.","Die hätten sich nicht auf deine Angaben verlassen dürfen."
"[Konj. II – sentence] They should have called the doctor immediately.","Die hätten sofort den Arzt rufen müssen."
"[Konj. II – sentence] I would tell you. But you wouldn't believe me.","Ich würd's Ihnen sagen. Aber Sie würden's eh nicht glauben."
"[Konj. II – sentence] That would be a bit more interesting.","Das wäre etwas interessanter."
"[Konj. II – sentence] Could you explain that?","Könntest du das erklären?"
"[Konj. II – sentence] He couldn't have known that.","Das hätte er nicht wissen können."
"[Perfekt – haben] to say → said","sagen → hat gesagt"
"[Perfekt – haben] to see → seen","sehen → hat gesehen"
"[Perfekt – haben] to think → thought","denken → hat gedacht"
"[Perfekt – haben] to hang (tr.) → hung","hängen → hat gehangen"
"[Perfekt – haben] to scratch → scratched","kratzen → hat gekratzt"
"[Perfekt – haben] to imagine → imagined","sich vorstellen → hat sich vorgestellt"
"[Perfekt – haben] to try → tried","versuchen → hat versucht"
"[Perfekt – haben] to find → found","finden → hat gefunden"
"[Perfekt – haben] to ask → asked","fragen → hat gefragt"
"[Perfekt – haben] to get / receive → got","kriegen → hat gekriegt"
"[Perfekt – haben] to hear → heard","hören → hat gehört"
"[Perfekt – haben] to move / stir → moved","sich rühren → hat sich gerührt"
"[Perfekt – haben] to mean → meant","bedeuten → hat bedeutet"
"[Perfekt – haben] to know → knew","wissen → hat gewusst"
"[Perfekt – sein] to hop → hopped","hüpfen → ist gehüpft"
"[Perfekt – sein] to fall → fell","fallen → ist gefallen"
"[Perfekt – sein] to come → came","kommen → ist gekommen"
"[Perfekt – sein] to go → went","gehen → ist gegangen"
"[Perfekt – sein] to arrive → arrived","ankommen → ist angekommen"
"[Perfekt – sein] to wake up → woke up","aufwachen → ist aufgewacht"
"[Perfekt – sein] to become / get → became","werden → ist geworden"
"[Perfekt – sein] to turn out → turned out","sich herausstellen → hat sich herausgestellt"
"[Perfekt – sein] to disappear → disappeared","verschwinden → ist verschwunden"
"[Perfekt – sein] to sit down → sat down","sich setzen → hat sich gesetzt"
"[Perfekt – sentence] When the older one said «fourteen», I pissed myself.","Als der Ältere «vierzehn» gesagt hat, hab ich mir in die Hose gepisst."
