"english","target","article","hint","source"
"the girl","Mädchen","das","Grammatically neuter (-chen words are always das).","Once upon a time there was a little girl."
"poor","arm","","Hook: arm (poor as a church mouse has thin arms — silly but sticks).","The girl was so poor that she had no little room anymore."
"devout / pious","fromm","","Fairy-tale staple word.","But the girl was good and devout."
"the bread","Brot","das","Hook: bread → Brot.","She had only her clothes and a piece of bread."
"the piece","Stück","das","Ein Stück Brot, ein Stück Kuchen.","She had only her clothes and a piece of bread."
"the field","Feld","das","Hook: field → Feld.","She went out into the open field."
"to meet / encounter","begegnen","","Takes the DATIVE: ich begegne ihm.","There a poor man met her."
"the hunger","Hunger","der","Hook: hunger → Hunger. Hunger haben = to be hungry.","The man said: I am so hungry."
"to give","geben","","Hook: give → geben. gibt – gab – gegeben.","The girl gave him the whole piece of bread."
"to bless","segnen","","Hook: sign — blessing with the sign of the cross.","She said: May God bless it for you."
"to cry (tears)","weinen","","Not to shout — to weep. Wein (wine) sounds the same; tears in the wine.","Then a child came and cried."
"the head","Kopf","der","","The child said: My head is so cold."
"the cap","Mütze","die","","So the girl gave it her cap."
"the jacket","Jacke","die","Hook: jacket → Jacke.","Another child had no jacket and was freezing."
"to freeze / be cold","frieren","","Hook: freeze → frieren. friert – fror – gefroren.","Another child had no jacket and was freezing."
"the skirt","Rock","der","False friend: der Rock = skirt, not rock music.","A third child asked for her skirt."
"to ask for","bitten um","","bittet – bat – gebeten; um + accusative.","A third child asked for her skirt."
"the forest","Wald","der","Hook: wald in 'Waldorf'. Think wild wood.","At last she came into a forest."
"dark","dunkel","","","It had already become dark."
"the shirt","Hemd","das","","One more child asked for a shirt."
"the night","Nacht","die","Hook: night → Nacht.","The good girl thought: The night is dark, nobody sees you."
"nobody","niemand","","jemand = somebody, niemand = nobody.","The good girl thought: The night is dark, nobody sees you."
"the star","Stern","der","Hook: star → Stern (stern of a ship also shines at night — image hook).","Suddenly the stars fell from the sky."
"to fall","fallen","","Hook: fall → fallen. fällt – fiel – gefallen.","Suddenly the stars fell from the sky."
"the sky / heaven","Himmel","der","One German word for both sky and heaven.","Suddenly the stars fell from the sky."
"the taler (old coin)","Taler","der","The word 'dollar' comes from Taler.","The stars were nothing but hard, shiny talers."
"to gather / collect","sammeln","","Think 'assemble' — bringing together.","She gathered the talers into it."
"rich","reich","","Hook: rich → reich.","And she was rich for the rest of her life."
"the life","Leben","das","Hook: live → leben.","And she was rich for the rest of her life."
"the linen","Leinen","das","Hook: linen → Leinen.","The shirt was made of the finest linen."
