"english","target","hint","explanation","level"
"Children may ride here for free.","Kinder dürfen hier kostenlos mitfahren.","Modal verb: main infinitive goes last.","Mondatváza:
`Pozíció 1 + dürfen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („dürfen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „dürfen” (dürfen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"We can carry the table together.","Wir können den Tisch zusammen tragen.","Modal verb: main infinitive goes last.","Mondatváza:
`Pozíció 1 + können (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („können”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „können” (können); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"Tomorrow everyone has to get up earlier.","Morgen müssen alle früher aufstehen.","Modal verb: main infinitive goes last.","Mondatváza:
`Pozíció 1 + müssen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
A mondat első helyét a kiemelt körülmény („Morgen …”) foglalja el; emiatt az alany a ragozott ige után következik. A német főmondatban a ragozott ige ettől még a második mondatrész marad. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „müssen” (müssen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"My friends want to go to the seaside in summer.","Meine Freunde wollen im Sommer ans Meer fahren.","Modal verb: main infinitive goes last.","Mondatváza:
`Pozíció 1 + wollen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („wollen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
„ans Meer” = „an das Meer”: irányt fejez ki, ezért az an itt Akkusativval áll.

Gyors igeelemzés:
Ragozott ige: „wollen” (wollen); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"You are supposed to write to your mother today.","Du sollst deiner Mutter heute noch schreiben.","Modal verb: external expectation or advice.","Mondatváza:
`Pozíció 1 + sollst (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („sollst”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „sollst” (sollen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
"Many children do not like mushrooms.","Viele Kinder mögen keine Pilze.","Stem vowel changes in singular forms.","Mondatváza:
`Pozíció 1 + mögen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („mögen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A középmezőben a már ismert/rövid elemek többnyire előrébb, a hosszabb vagy új információt hordozó elemek később állnak; a legszorosabban az igéhez tartozó elem gyakran közvetlenül a mondatzáró ige előtt jelenik meg.

Szavak és vonzatok:
A mondatban nincs különleges esetvonzat a fő szerkezeti szabályon túl; a névelők és melléknévi végződések az adott főnév neméhez, számához és esetéhez igazodnak.

Gyors igeelemzés:
Ragozott ige: „mögen” (mögen); hozzávetőleges helye: 3. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"We would like to sit by the window.","Wir möchten am Fenster sitzen.","Polite wish: möchten + infinitive.","Mondatváza:
`Pozíció 1 + möchten (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („möchten”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
„am Fenster” = „an dem Fenster”: helyet jelöl, ezért Dativ. A „möchten” udvarias kívánságot fejez ki; formailag a mögen Konjunktiv II alakja, de önálló udvarias módbeli igeként tanuljuk.

Gyors igeelemzés:
Ragozott ige: „möchten” (möchten); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"I am allowed to drive my father's car today.","Ich darf heute das Auto meines Vaters fahren.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + darf (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („darf”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek.

Szavak és vonzatok:
„meines Vaters” Genitiv: azt fejezi ki, hogy az autó az apához tartozik.

Gyors igeelemzés:
Ragozott ige: „darf” (dürfen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A1"
"You may take a piece of cake.","Du darfst dir ein Stück Kuchen nehmen.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + ragozott módosító ige (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („az állítmány”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
A rövid névmási elem korán jelenik meg a középmezőben; a németben a névmások általában megelőzik a teljes főnévi szerkezeteket.

Szavak és vonzatok:
A „dir” Dativus commodi: magadnak veszel; az „ein Stück Kuchen” a közvetlen tárgy.

Gyors igeelemzés:
A mondat ragozott igéjét a tagmondati szerkezet alapján kell azonosítani; főmondatban V2, alárendelt tagmondatban rendszerint mondatvégi helyzetű.","A1"
"We may work from home tomorrow.","Wir dürfen morgen von zu Hause arbeiten.","Modal form: infinitive goes last.","Mondatváza:
`Pozíció 1 + dürfen (V2) + középmező + infinitív / mondatzáró igei rész`

Szórend – miért így:
Semleges főmondati kezdés: az alany áll az első helyen, a ragozott ige („dürfen”) pedig a második mondatrészben. A módbeli segédige ragozódik, a jelentéshordozó főige infinitív alakban a mondat végére kerül; ez hozza létre a német mondatkeretet.

A középmező logikája:
Az időhatározó általában elöl vagy a középmező elején áll, mert keretet ad az eseménynek. A hely- vagy irányhatározó rendszerint a tárgyak/idő után, de a mondatzáró igei rész előtt helyezkedik el.

Szavak és vonzatok:
„von zu Hause” rögzült kifejezés: otthonról/otthonról dolgozva.

Gyors igeelemzés:
Ragozott ige: „dürfen” (dürfen); hozzávetőleges helye: 2. mondatrész/szó. A teljes mondat jelentéshordozó lezárását a mondat végi igei elem vagy igekötő adja, ha van ilyen.","A2"
