"id","name","english","explanation","example_id","level"
"de.accusative_object","Accusative object","direct object","The accusative marks many direct objects.","s004","A2"
"de.comparative","Comparative adjective","more or -er","The comparative marks a higher degree.","s026","A2"
"de.contraction","Preposition-article contraction","contracted preposition and article","Forms such as im, am, ins, vom and zum combine a preposition with an article.","s016","A2"
"de.coordination","Coordinated clauses or phrases","coordination with and/but/or","Connect equal elements with und, aber, oder or doch.","s009","A2"
"de.copular","Copular clause","linking verb sein or werden","Sein and werden connect the subject to a description or identity.","s017","A2"
"de.dative_object","Dative object","recipient or affected person","The dative often marks the recipient or person affected.","s042","A2"
"de.fronting","Object or phrase in first position","fronted object","An object may be placed first for emphasis; the verb remains second.","s010","B1"
"de.idiom","Fixed idiom","idiomatic expression","The whole expression has a conventional meaning that is not fully literal.","s027","B1"
"de.impersonal_es","Impersonal es","impersonal it","Es can fill the subject position in general statements or evaluations.","s038","A2"
"de.indirect_question","Indirect question","embedded question","Question words introduce subordinate clauses with the verb at the end.","s022","B1"
"de.indirect_yesno","Indirect yes-no question","whether-clause","Ob introduces an indirect yes-no question with the verb at the end.","s040","B1"
"de.infinitive_zu","Infinitive with zu","to plus infinitive","Many verbs and expressions are followed by zu and an infinitive.","s003","A2"
"de.inversion","Fronted element and inversion","fronted element before the verb","When another element comes first, the finite verb still stays second and the subject follows.","s002","A2"
"de.konjunktiv_ii","Konjunktiv II","would or hypothetical form","Use würde or special forms such as könnte and wäre for imagined or unlikely situations.","s008","B1"
"de.modal_infinitive","Modal verb plus infinitive","can, must, should plus verb","The modal verb is finite and the main infinitive stands at the end.","s012","A2"
"de.name_phrase","Multi-word name","personal name","A multi-word proper name functions as one reference.","s045","A2"
"de.negation","Negation with nicht or kein","negating a clause or noun","Use nicht for clauses and qualities, and kein for indefinite nouns.","s002","A2"
"de.ohne_zu","Ohne zu plus infinitive","without doing","Use ohne zu when the subject of both clauses is the same.","s029","B1"
"de.passive_perfect","Perfect passive","has been done","Use sein plus worden and a past participle for a completed passive event.","s031","B1"
"de.past_simple","Narrative preterite","simple past narration","Common narrative verbs such as war, hatte, sagte and sah often appear in the preterite.","s030","A2"
"de.prepositional_phrase","Prepositional phrase","preposition plus noun phrase","A preposition introduces information about place, time, cause or relation.","s010","A2"
"de.reflexive","Reflexive verb","verb with sich","The reflexive pronoun refers back to the subject.","s005","A2"
"de.separable_verb","Separable verb","prefix separated in a main clause","In a main clause, the separable prefix moves to the end.","s001","A2"
"de.subordinate_bevor","Clause with bevor","before","Bevor introduces an earlier action and sends the verb to the end.","s046","A2"
"de.subordinate_dass","Clause with dass","that-clause","Dass introduces a subordinate clause and sends the finite verb to the end.","s019","A2"
"de.subordinate_waehrend","Clause with während","while","Während introduces simultaneous action and sends the verb to the end.","s001","B1"
"de.temporal_als","Past-time clause with als","when for one past event","Als introduces a single event or period in the past; the verb goes to the end.","s032","A2"
"de.verb_second","Verb in second position","finite verb in second position","In main clauses, the finite verb normally occupies the second field.","s007","A2"
