"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1. Blut und Kaffee","First, Maik notices the smell of blood and coffee.","Zuerst riecht Maik Blut und Kaffee.","","","Zuerst|riecht Maik|Blut und Kaffee","de.verb_second|de.coordination","A2"
"s002","2","1. Blut und Kaffee","The coffee machine stands across the room.","Die Kaffeemaschine steht auf der anderen Seite.","","","Die Kaffeemaschine|steht|auf der anderen Seite","de.verb_second|de.prepositional_phrase","A2"
"s003","3","1. Blut und Kaffee","There is blood inside his shoes.","In seinen Schuhen ist Blut.","","","In seinen Schuhen|ist|Blut","de.inversion|de.prepositional_phrase","A2"
"s004","4","1. Blut und Kaffee","It is not only blood, however.","Aber es ist nicht nur Blut.","","","Aber|es ist|nicht nur Blut","de.coordination|de.negation","A2"
"s005","5","1. Blut und Kaffee","When the older officer said fourteen, Maik panicked.","Als der ältere Polizist vierzehn sagte, bekam Maik Angst.","","","Als der ältere Polizist vierzehn sagte|bekam Maik|Angst","de.temporal_als|de.past_simple","A2"
"s006","6","1. Blut und Kaffee","He had even wet his trousers from fear.","Vor Angst hatte er sich sogar in die Hose gemacht.","","The fixed expression means that fear made him lose bladder control.","Vor Angst|hatte er sich sogar|in die Hose gemacht","de.pluperfect|de.prepositional_phrase","B1"
"s007","7","1. Blut und Kaffee","He sat crookedly on a stool and stayed still.","Er saß schief auf einem Hocker und bewegte sich nicht.","","","Er saß schief|auf einem Hocker|und bewegte sich nicht","de.past_simple|de.coordination|de.reflexive","A2"
"s008","8","1. Blut und Kaffee","Everything was spinning around him.","Ihm war sehr schwindlig.","","","Ihm|war|sehr schwindlig","de.dative_experiencer|de.past_simple","A2"
"s009","9","2. Tschick fehlt","Maik tries to look as calm as Tschick.","Maik versucht, so ruhig wie Tschick auszusehen.","","","Maik versucht|so ruhig wie Tschick|auszusehen","de.infinitive_zu|de.comparison_wie","A2"
"s010","10","2. Tschick fehlt","But he feels like a ridiculous hero.","Doch er fühlt sich wie ein lächerlicher Held.","","","Doch|er fühlt sich|wie ein lächerlicher Held","de.reflexive|de.comparison_wie","A2"
"s011","11","2. Tschick fehlt","He always knew the trip would end badly.","Er wusste immer, dass die Reise schlecht enden würde.","","","Er wusste immer|dass die Reise|schlecht enden würde","de.subordinate_dass|de.konjunktiv_ii","A2"
"s012","12","2. Tschick fehlt","Tschick certainly did not panic like this.","Tschick hatte sicher nicht so viel Angst.","","","Tschick|hatte sicher nicht|so viel Angst","de.past_simple|de.negation","A2"
"s013","13","2. Tschick fehlt","Maik wonders where Tschick is now.","Maik fragt sich, wo Tschick jetzt ist.","","","Maik fragt sich|wo Tschick|jetzt ist","de.reflexive|de.indirect_question","A2"
"s014","14","3. An der Autobahn","He last saw him beside the motorway.","Zuletzt sah er ihn an der Autobahn.","","","Zuletzt|sah er ihn|an der Autobahn","de.inversion|de.past_simple","A2"
"s015","15","3. An der Autobahn","Tschick hopped into the bushes on one leg.","Tschick hüpfte auf einem Bein ins Gebüsch.","","","Tschick hüpfte|auf einem Bein|ins Gebüsch","de.past_simple|de.contraction","A2"
"s016","16","3. An der Autobahn","Maik assumes the police caught him too.","Maik vermutet, dass die Polizei ihn auch gefangen hat.","","","Maik vermutet|dass die Polizei|ihn auch gefangen hat","de.subordinate_dass|de.perfect","A2"
"s017","17","3. An der Autobahn","A person cannot get far on one leg.","Mit einem Bein kommt man nicht weit.","","","Mit einem Bein|kommt man|nicht weit","de.inversion|de.impersonal_man|de.negation","A2"
"s018","18","4. Schweigen","Maik cannot ask the officers about Tschick.","Maik kann die Polizisten nicht nach Tschick fragen.","","","Maik kann|die Polizisten|nicht nach Tschick fragen","de.modal_infinitive|de.negation","A2"
"s019","19","4. Schweigen","Perhaps they did not notice him.","Vielleicht haben sie ihn nicht gesehen.","","","Vielleicht|haben sie ihn|nicht gesehen","de.inversion|de.perfect|de.negation","A2"
"s020","20","4. Schweigen","Then Maik should not mention his friend.","Dann sollte Maik seinen Freund nicht erwähnen.","","","Dann|sollte Maik|seinen Freund nicht erwähnen","de.inversion|de.modal_infinitive|de.negation","A2"
"s021","21","4. Schweigen","Even torture would not make him talk.","Sogar Folter würde ihn nicht zum Reden bringen.","","","Sogar Folter|würde ihn nicht|zum Reden bringen","de.konjunktiv_ii|de.negation|de.contraction","A2"
"s022","22","4. Schweigen","He remembers that German police may not torture people.","Er erinnert sich, dass deutsche Polizisten niemanden foltern dürfen.","","","Er erinnert sich|dass deutsche Polizisten|niemanden foltern dürfen","de.reflexive|de.subordinate_dass|de.modal_infinitive","A2"
"s023","23","4. Schweigen","Tschick had advised him to keep quiet.","Tschick hatte ihm geraten, die Klappe zu halten.","","The colloquial phrase means to say nothing.","Tschick hatte ihm geraten|die Klappe|zu halten","de.pluperfect|de.infinitive_zu","B1"
"s024","24","4. Schweigen","Maik agrees because almost everything feels unimportant.","Maik stimmt zu, weil ihm fast alles egal ist.","","","Maik stimmt zu|weil ihm|fast alles egal ist","de.separable_verb|de.subordinate_weil|de.dative_experiencer","A2"
"s025","25","5. Tatjana","One person is definitely not unimportant to him.","Eine Person ist ihm bestimmt nicht egal.","","","Eine Person|ist ihm|bestimmt nicht egal","de.dative_experiencer|de.negation","A2"
"s026","26","5. Tatjana","Her name is Tatjana Cosic.","Sie heißt Tatjana Cosic.","","","Sie heißt|Tatjana Cosic","de.verb_second|de.name_phrase","A2"
"s027","27","5. Tatjana","Sitting there, he suddenly thinks of her.","Auf dem Hocker denkt er plötzlich an sie.","","","Auf dem Hocker|denkt er plötzlich|an sie","de.inversion|de.prepositional_phrase","A2"
"s028","28","5. Tatjana","The older officer struggles with the coffee machine.","Der ältere Polizist kämpft mit der Kaffeemaschine.","","","Der ältere Polizist|kämpft|mit der Kaffeemaschine","de.verb_second|de.prepositional_phrase","A2"
"s029","29","5. Tatjana","He fills it with water and empties it again.","Er füllt Wasser ein und gießt es wieder aus.","","","Er füllt Wasser ein|und|gießt es wieder aus","de.separable_verb|de.coordination","A2"
"s030","30","5. Tatjana","He does not notice the loose plug.","Den losen Stecker bemerkt er nicht.","","","Den losen Stecker|bemerkt er|nicht","de.inversion|de.negation","A2"
"s031","31","5. Tatjana","Maik thinks the whole adventure began because of Tatjana.","Maik denkt, dass das ganze Abenteuer wegen Tatjana begann.","","","Maik denkt|dass das ganze Abenteuer|wegen Tatjana begann","de.subordinate_dass|de.past_simple","A2"
"s032","32","5. Tatjana","Yet she did not actually take part.","Dabei war sie gar nicht wirklich dabei.","","","Dabei|war sie|gar nicht wirklich dabei","de.inversion|de.negation","A2"
"s033","33","6. Bilder der Reise","Tatjana is the most beautiful girl in Maik’s world.","Für Maik ist Tatjana das schönste Mädchen der Welt.","","","Für Maik|ist Tatjana|das schönste Mädchen der Welt","de.inversion|de.superlative","A2"
"s034","34","6. Bilder der Reise","During the journey, he imagined her watching them.","Auf der Reise stellte er sich ihre Blicke vor.","","","Auf der Reise|stellte er sich|ihre Blicke vor","de.inversion|de.reflexive|de.separable_verb","A2"
"s035","35","6. Bilder der Reise","In his imagination, she saw them in a cornfield.","In seiner Vorstellung sah sie sie im Kornfeld.","","","In seiner Vorstellung|sah sie sie|im Kornfeld","de.inversion|de.past_simple|de.contraction","A2"
"s036","36","6. Bilder der Reise","She also saw them on a rubbish hill.","Sie sah sie auch auf einem Müllberg.","","","Sie sah sie auch|auf einem Müllberg","de.past_simple|de.prepositional_phrase","A2"
"s037","37","6. Bilder der Reise","There they stood foolishly with a bundle of hoses.","Dort standen sie dumm mit einem Bündel Schläuche.","","","Dort|standen sie dumm|mit einem Bündel Schläuche","de.inversion|de.past_simple","A2"
"s038","38","6. Bilder der Reise","Maik imagined that she shared their joy.","Maik stellte sich vor, dass sie ihre Freude teilte.","","","Maik stellte sich vor|dass sie|ihre Freude teilte","de.separable_verb|de.reflexive|de.subordinate_dass","A2"
"s039","39","6. Bilder der Reise","Now he is glad she saw none of it.","Jetzt ist er froh, dass sie nichts davon sah.","","","Jetzt|ist er froh|dass sie nichts davon sah","de.inversion|de.subordinate_dass|de.negation","A2"
"s040","40","7. Das Taschentuch","The officer gives Maik a green paper towel.","Der Polizist gibt Maik ein grünes Papiertuch.","","","Der Polizist|gibt Maik|ein grünes Papiertuch","de.dative_object|de.verb_second","A2"
"s041","41","7. Das Taschentuch","Maik first thinks he should wipe the floor.","Maik denkt zuerst, er soll den Boden wischen.","","","Maik denkt zuerst|er soll|den Boden wischen","de.modal_infinitive|de.reported_thought","A2"
"s042","42","7. Das Taschentuch","Then the officer points to his own nose.","Dann zeigt der Polizist auf seine Nase.","","","Dann|zeigt der Polizist|auf seine Nase","de.inversion|de.prepositional_phrase","A2"
"s043","43","7. Das Taschentuch","Maik finally understands and blows his nose.","Maik versteht endlich und putzt sich die Nase.","","","Maik versteht endlich|und|putzt sich die Nase","de.coordination|de.reflexive","A2"
"s044","44","7. Das Taschentuch","The officer smiles kindly at him.","Der Polizist lächelt ihn freundlich an.","","","Der Polizist|lächelt ihn|freundlich an","de.separable_verb|de.accusative_object","A2"
"s045","45","7. Das Taschentuch","So torture now seems rather unlikely.","Folter wirkt jetzt also ziemlich unwahrscheinlich.","","","Folter|wirkt jetzt also|ziemlich unwahrscheinlich","de.verb_second|de.adverb_position","A2"
"s046","46","8. Erinnerung an die Schule","The grey floor reminds Maik of his school gym.","Der graue Boden erinnert Maik an die Turnhalle.","","","Der graue Boden|erinnert Maik|an die Turnhalle","de.accusative_object|de.prepositional_phrase","A2"
"s047","47","8. Erinnerung an die Schule","The station smells of urine, sweat and linoleum.","Die Station riecht nach Urin, Schweiß und Linoleum.","","","Die Station|riecht nach|Urin, Schweiß und Linoleum","de.prepositional_verb|de.coordination","A2"
"s048","48","8. Erinnerung an die Schule","He pictures his old sports teacher Wolkow.","Er sieht seinen alten Sportlehrer Wolkow vor sich.","","","Er sieht|seinen alten Sportlehrer Wolkow|vor sich","de.reflexive_phrase|de.accusative_object","A2"
"s049","49","8. Erinnerung an die Schule","Wolkow calls the boys to move faster.","Wolkow treibt die Jungen laut an.","","","Wolkow|treibt die Jungen|laut an","de.separable_verb|de.accusative_object","A2"
"s050","50","8. Erinnerung an die Schule","Maik remembers the girls entering the gym.","Maik erinnert sich an die Mädchen in der Halle.","","","Maik erinnert sich|an die Mädchen|in der Halle","de.reflexive|de.prepositional_phrase","A2"
"s051","51","8. Erinnerung an die Schule","Tatjana wears a green tracksuit.","Tatjana trägt einen grünen Trainingsanzug.","","","Tatjana|trägt|einen grünen Trainingsanzug","de.verb_second|de.accusative_object","A2"
