"id","lexeme_id","english","target","article","hint"
"w0001","de.lex.erschrecken","to frighten / to be startled","erschrecken","","Hook: shriek. Schreck and shriek share sound and mood: fright and scream belong together."
"w0002","de.lex.schrecken","fright / terror","Schrecken","der","Hook: shriek. Same hook: terror comes with a shriek."
"w0003","de.lex.spazieren","to stroll","spazieren","","Hook: space / pace. From Latin spatium (space): walking through space. Pace helps by sound."
"w0004","de.lex.wasser","water","Wasser","das","Hook: water. Sound shift: t→ss."
"w0005","de.lex.essen.eat","to eat","essen","","Hook: eat. Sound shift: t→ss."
"w0006","de.lex.besser","better","besser","","Hook: better. Sound shift: t→ss."
"w0007","de.lex.strasse.street","street","Straße","die","Hook: street. Sound shift: t→ß."
"w0008","de.lex.fuss","foot","Fuß","der","Hook: foot. Sound shift: t→ß."
"w0009","de.lex.gross","big / great","groß","","Hook: great. Sound shift: t→ß."
"w0010","de.lex.weiss","white","weiß","","Hook: white. Sound shift: t→ß."
"w0011","de.lex.heiss","hot","heiß","","Hook: hot. Sound shift: t→ß."
"w0012","de.lex.was.what","what","was","","Hook: what. Sound shift: t→s."
"w0013","de.lex.das","that","das","","Hook: that. th→d and t→s: that → das."
"w0014","de.lex.es","it","es","","Hook: it. Sound shift: t→s."
"w0015","de.lex.aus.from","out / from","aus","","Hook: out. Sound shift: t→s."
"w0016","de.lex.lassen","to let","lassen","","Hook: let. Sound shift: t→ss."
"w0017","de.lex.vergessen","to forget","vergessen","","Hook: forget. Sound shift: t→ss."
"w0018","de.lex.muessen","must","müssen","","Hook: must. Sound shift: t→ss."
"w0019","de.lex.nuss","nut","Nuss","die","Hook: nut. Sound shift: t→ss."
"w0020","de.lex.zehn","ten","zehn","","Hook: ten. Sound shift: t→z."
"w0021","de.lex.zwei","two","zwei","","Hook: two. Sound shift: t→z."
"w0022","de.lex.zunge","tongue","Zunge","die","Hook: tongue. Sound shift: t→z."
"w0023","de.lex.zahn","tooth","Zahn","der","Hook: tooth. Sound shift: t→z."
"w0024","de.lex.zu.too","to","zu","","Hook: to. Sound shift: t→z."
"w0025","de.lex.zeit","time","Zeit","die","Hook: tide. English tide once meant time: Yuletide."
"w0026","de.lex.herz","heart","Herz","das","Hook: heart. t→z at word end: heart → Herz."
"w0027","de.lex.salz","salt","Salz","das","Hook: salt. Sound shift: t→z."
"w0028","de.lex.sitzen","to sit","sitzen","","Hook: sit. Sound shift: t→tz."
"w0029","de.lex.setzen","to set / to place","setzen","","Hook: set. Sound shift: t→tz."
"w0030","de.lex.netz","net","Netz","das","Hook: net. Sound shift: t→tz."
"w0031","de.lex.katze","cat","Katze","die","Hook: cat. Sound shift: t→tz."
"w0032","de.lex.witz","joke","Witz","der","Hook: wit. English wit = cleverness."
"w0033","de.lex.hitze","heat","Hitze","die","Hook: heat. Sound shift: t→tz."
"w0034","de.lex.schwitzen","to sweat","schwitzen","","Hook: sweat. Sound shift: t→tz."
"w0035","de.lex.zehe","toe","Zehe","die","Hook: toe. Sound shift: t→z."
"w0036","de.lex.zimmer","room","Zimmer","das","Hook: timber. Sound shift: t→z."
"w0037","de.lex.apfel","apple","Apfel","der","Hook: apple. Sound shift: p→pf."
"w0038","de.lex.pfeffer","pepper","Pfeffer","der","Hook: pepper. Sound shift: p→pf."
"w0039","de.lex.pfanne","pan","Pfanne","die","Hook: pan. Sound shift: p→pf."
"w0040","de.lex.pflanze","plant","Pflanze","die","Hook: plant. Sound shift: p→pf."
"w0041","de.lex.pfad","path","Pfad","der","Hook: path. Sound shift: p→pf."
"w0042","de.lex.pfund","pound","Pfund","das","Hook: pound. Sound shift: p→pf."
"w0043","de.lex.helfen","to help","helfen","","Hook: help. Sound shift: p→f."
"w0044","de.lex.schiff","ship","Schiff","das","Hook: ship. Sound shift: p→ff."
"w0045","de.lex.schlaf","sleep (noun)","Schlaf","der","Hook: sleep. Sound shift: p→f."
"w0046","de.lex.schlafen","to sleep","schlafen","","Hook: sleep. Sound shift: p→f."
"w0047","de.lex.tief","deep","tief","","Hook: deep. Sound shift: p→f."
"w0048","de.lex.offen","open","offen","","Hook: open. Sound shift: p→ff."
"w0049","de.lex.oeffnen","to open","öffnen","","Hook: open. Sound shift: p→ff."
"w0050","de.lex.hoffen","to hope","hoffen","","Hook: hope. Sound shift: p→ff."
