english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
hello / good day,Guten Tag,,,phrase,neutral,a1;survival;greeting,,Hallo|Guten Morgen|Guten Abend,false,A1,,
goodbye,Auf Wiedersehen,,,phrase,neutral,a1;survival;greeting,,Tschüss|Bis später,false,A1,,
please,bitte,,,phrase,neutral,a1;politeness,,,false,A1,,
thank you,danke,,,phrase,neutral,a1;politeness,,Vielen Dank|Danke schön,false,A1,,
you are welcome,gern geschehen,,,phrase,neutral,a1;politeness,,Bitte schön|Kein Problem,false,A1,,
excuse me / sorry,Entschuldigung,,,phrase,neutral,a1;politeness,,Tut mir leid,false,A1,,
yes,ja,,,phrase,neutral,a1;basic,,,false,A1,,
no,nein,,,phrase,neutral,a1;basic,,,false,A1,,
maybe,vielleicht,,,phrase,neutral,a1;basic,,,false,A1,,
I do not understand.,Ich verstehe nicht.,,,sentence,neutral,a1;survival,,,false,A1,,
"Could you repeat that, please?",Könnten Sie das bitte wiederholen?,,,sentence,formal,a1;survival,,Kannst du das bitte wiederholen?,false,A2,,
Do you speak English?,Sprechen Sie Englisch?,,,sentence,formal,a1;survival,,Sprichst du Englisch?,false,A1,,
I speak a little German.,Ich spreche ein bisschen Deutsch.,,,sentence,neutral,a1;survival,,,false,A1,,
I am learning German.,Ich lerne Deutsch.,,,sentence,neutral,a1;survival,,,false,A1,,
I am from Hungary.,Ich komme aus Ungarn.,,,sentence,neutral,a1;intro,,,false,A1,,
My name is Oliver.,Ich heiße Oliver.,,,sentence,neutral,a1;intro,,,false,A1,,
Nice to meet you.,Freut mich.,,,phrase,neutral,a1;intro,,Sehr erfreut,false,A1,,
How are you?,Wie geht es Ihnen?,,,sentence,formal,a1;smalltalk,,Wie geht es dir?,false,A1,,
"I am fine, thanks.","Mir geht es gut, danke.",,,sentence,neutral,a1;smalltalk,,,false,A1,,
Where is the station?,Wo ist der Bahnhof?,,,sentence,neutral,a1;travel,,,false,A1,,
Where is the toilet?,Wo ist die Toilette?,,,sentence,neutral,a1;travel,,,false,A1,,
Where is the exit?,Wo ist der Ausgang?,,,sentence,neutral,a1;travel,,,false,A1,,
Where is the entrance?,Wo ist der Eingang?,,,sentence,neutral,a1;travel,,,false,A1,,
I am looking for this address.,Ich suche diese Adresse.,,,sentence,neutral,a1;travel,,,false,A1,,
Can you help me?,Können Sie mir helfen?,,,sentence,formal,a1;survival,,Kannst du mir helfen?,false,A1,,
How much does it cost?,Wie viel kostet das?,,,sentence,neutral,a1;shopping,,,false,A1,,
Can I pay by card?,Kann ich mit Karte zahlen?,,,sentence,neutral,a1;shopping,,,false,A1,,
Can I pay in cash?,Kann ich bar zahlen?,,,sentence,neutral,a1;shopping,,,false,A1,,
I would like a coffee.,Ich hätte gern einen Kaffee.,,,sentence,neutral,a1;food,,Ich möchte einen Kaffee.,false,A1,,
I would like a beer.,Ich hätte gern ein Bier.,,,sentence,neutral,a1;food,,,false,A1,,
"A table for two, please.","Einen Tisch für zwei, bitte.",,,phrase,neutral,a1;restaurant,,,false,A1,,
"The bill, please.","Die Rechnung, bitte.",,,phrase,neutral,a1;restaurant,,,false,A1,,
Is this free?,Ist das frei?,,,sentence,neutral,a1;restaurant;travel,,,false,A1,,
I have a reservation.,Ich habe eine Reservierung.,,,sentence,neutral,a1;hotel;restaurant,,,false,A1,,
I need a ticket.,Ich brauche eine Fahrkarte.,,,sentence,neutral,a1;travel,,,false,A1,,
"One ticket to Berlin, please.","Eine Fahrkarte nach Berlin, bitte.",,,phrase,neutral,a1;travel,,,false,A1,,
When does the train leave?,Wann fährt der Zug ab?,,,sentence,neutral,a1;travel,,,false,A1,,
When does it arrive?,Wann kommt er an?,,,sentence,neutral,a1;travel,,,false,A1,,
I am lost.,Ich habe mich verlaufen.,,,sentence,neutral,a1;travel,,,false,A2,,
I need a doctor.,Ich brauche einen Arzt.,,,sentence,neutral,a1;emergency,,Ich brauche eine Ärztin.,false,A1,,
I do not feel well.,Mir geht es nicht gut.,,,sentence,neutral,a1;health,,,false,A1,,
It hurts here.,Es tut hier weh.,,,sentence,neutral,a1;health,,,false,A1,,
I am allergic to this.,Ich bin dagegen allergisch.,,,sentence,neutral,a1;health,,,false,A2,,
I need water.,Ich brauche Wasser.,,,sentence,neutral,a1;food;health,,,false,A1,,
left,links,,,word,neutral,a1;directions,,,false,A1,,
right,rechts,,,word,neutral,a1;directions,,,false,A1,,
straight ahead,geradeaus,,,word,neutral,a1;directions,,,false,A1,,
nearby,in der Nähe,,,phrase,neutral,a1;directions,,,false,A1,,
today,heute,,,word,neutral,a1;time,,,false,A1,,
tomorrow,morgen,,,word,neutral,a1;time,,,false,A1,,
yesterday,gestern,,,word,neutral,a1;time,,,false,A1,,
now,jetzt,,,word,neutral,a1;time,,,false,A1,,
later,später,,,word,neutral,a1;time,,,false,A1,,
I am in a hurry.,Ich habe es eilig.,,,sentence,neutral,a1;time,,,false,A2,,
I have time.,Ich habe Zeit.,,,sentence,neutral,a1;time,,,false,A1,,
No problem.,Kein Problem.,,,phrase,neutral,a1;reaction,,,false,A1,,
That is okay.,Das ist in Ordnung.,,,phrase,neutral,a1;reaction,,,false,A1,,
I am sorry.,Es tut mir leid.,,,sentence,neutral,a1;politeness,,,false,A1,,
