"lexeme_id","english","target","article","pos","level"
"de.adj.komisch","strange","komisch","","adjective","A2"
"de.article.der","the","der","","article","A2"
"de.article.ein","a/an","ein","","article","A2"
"de.conjunction.waehrend","while","waehrend","","conjunction","B1"
"de.name.maik","Maik","Maik","","name","A2"
"de.noun.arzt","doctor","Arzt","der","noun","A2"
"de.noun.mund","mouth","Mund","der","noun","A2"
"de.verb.aufwachen","wake up","aufwachen","","verb","A2"
"de.verb.bewegen","move","bewegen","","verb","B1"
"de.adj.klar","clear","klar","","adjective","A2"
"de.adverb.zuerst","first","zuerst","","adverb","A2"
"de.determiner.kein","no/not a","kein","","determiner","A2"
"de.noun.wort","word","Wort","das","noun","A2"
"de.verb.herauskommen","come out","herauskommen","","verb","A2"
"de.adverb.dann","then","dann","","adverb","A2"
"de.particlepreposition.zu","to","zu","","particle/preposition","A2"
"de.verb.beginnen","begin","beginnen","","verb","B1"
"de.verb.schreien","shout","schreien","","verb","B1"
"de.adj.klein","small","klein","","adjective","A2"
"de.noun.frau","woman","Frau","die","noun","A2"
"de.pronoun.er","he/him","er","","pronoun","A2"
"de.verb.anschreien","shout at","anschreien","","verb","B1"
"de.noun.polizist","police officer","Polizist","der","noun","A2"
"de.noun.uniform","uniform","Uniform","die","noun","A2"
"de.preposition.in","in/into","in","","preposition","A2"
"de.verb.sich_einmischen","interfere or join in","sich einmischen","","verb","B1"
"de.verb.zurechtweisen","reprimand","zurechtweisen","","verb","B1"
"de.adj.weiss","white","weiß","","adjective","A2"
"de.noun.kittel","coat","Kittel","der","noun","A2"
"de.verb.erkennen","recognize","erkennen","","verb","B1"
"de.adverb.auch","also","auch","","adverb","A2"
"de.adverb.so","so/such","so","","adverb","A2"
"de.adverb.trotzdem","nevertheless","trotzdem","","adverb","A2"
"de.noun.baecker","baker","Bäcker","der","noun","A2"
"de.verb.koennen","can","können","","verb","A2"
"de.verb.tragen","wear/carry","tragen","","verb","A2"
"de.conjunction.aber","but","aber","","conjunction","A2"
"de.noun.mann","man","Mann","der","noun","A2"
"de.noun.metalltaschenlampe","metal flashlight","Metalltaschenlampe","die","noun","B1"
"de.verb.haben","have","haben","","verb","A2"
"de.noun.stethoskop","stethoscope","Stethoskop","das","noun","B1"
"de.noun.tasche","pocket/bag","Tasche","die","noun","A2"
"de.possessive.sein","his/its","sein","","possessive","A2"
"de.prepositionparticle.an","at/on","an","","preposition/particle","A2"
"de.verb.haengen","hang","hängen","","verb","B1"
"de.noun.broetchen","bread rolls","Brötchen","das","noun","A2"
"de.verb.abhoeren","listen to","abhören","","verb","B1"
"de.verb.werden","become/will","werden","","verb","A2"
"de.adj.wuetend","angry","wütend","","adjective","A2"
"de.adverb.also","therefore/so","also","","adverb","A2"
"de.verb.muessen","must","müssen","","verb","A2"
"de.verb.sein","be","sein","","verb","A2"
"de.conjunction.und","and","und","","conjunction","A2"
"de.noun.kopf","head","Kopf","der","noun","A2"
"de.prepositionparticle.auf","on/up","auf","","preposition/particle","A2"
"de.verb.bruellen","yell","brüllen","","verb","B1"
"de.verb.zeigen","show/point","zeigen","","verb","A2"
"de.noun.bein","leg","Bein","das","noun","A2"
"de.noun.decke","blanket/ceiling","Decke","die","noun","A2"
"de.preposition.unter","under/among","unter","","preposition","A2"
"de.verb.suchen","search","suchen","","verb","A2"
"de.adj.blutig","bloody","blutig","","adjective","A2"
"de.adj.nackt","naked","nackt","","adjective","A2"
"de.adj.nass","wet","nass","","adjective","A2"
"de.adverb.mehr","more","mehr","","adverb","A2"
"de.conjunction.oder","or","oder","","conjunction","A2"
"de.particle.nicht","not","nicht","","particle","A2"
"de.pronoun.sie","she/her/they/them","sie","","pronoun","A2"
"de.adj.gelb","yellow","gelb","","adjective","A2"
"de.noun.ruecken","back","Rücken","der","noun","A2"
"de.noun.zimmerdecke","ceiling","Zimmerdecke","die","noun","A2"
"de.verb.liegen","lie/is located","liegen","","verb","A2"
"de.adj.dunkel","dark","dunkel","","adjective","A2"
"de.adj.gross","large","groß","","adjective","A2"
"de.noun.fenster","window","Fenster","das","noun","A2"
"de.noun.seite","side","Seite","die","noun","A2"
"de.adj.ander","other","ander","","adjective","A2"
"de.noun.plastikvorhang","plastic curtain","Plastikvorhang","der","noun","B1"
"de.conjunction.dass","that","dass","","conjunction","A2"
"de.noun.krankenhaus","hospital","Krankenhaus","das","noun","A2"
"de.verb.merken","realize","merken","","verb","B1"
"de.adverb.ebenfalls","also","ebenfalls","","adverb","A2"
"de.article.die","the","die","","article","A2"
"de.noun.hand","hand","Hand","die","noun","A2"
"de.noun.schreibblock","notepad","Schreibblock","der","noun","B1"
"de.verb.halten","hold/keep","halten","","verb","A2"
"de.adverb.sich","sich","sich","","adverb","A2"
"de.questiondeterminer.welcher","which","welcher","","question determiner","A2"
"de.verb.fragen","ask","fragen","","verb","A2"
"de.name.berlin","Berlin","Berlin","","name","A2"
"de.verb.wissen","know","wissen","","verb","A2"
"de.pronoun.niemand","nobody","niemand","","pronoun","A2"
"de.verb.beachten","pay attention to","beachten","","verb","B1"
"de.article.das","the","das","","article","A2"
"de.noun.geschrei","shouting","Geschrei","das","noun","B1"
"de.verb.moegen","like","mögen","","verb","A2"
"de.adverb.lauter","louder","lauter","","adverb","A2"
"de.verb.zurueckschreien","shout back","zurückschreien","","verb","B1"
"de.adverb.jetzt","now","jetzt","","adverb","A2"
"de.adverb.klar","clear","klar","","adverb","A2"
"de.phrase.das_sagen_haben","be in charge","das Sagen haben","","phrase","B1"
"de.adj.erschoepft","exhausted","erschöpft","","adjective","A2"
"de.adj.geschuetzt","protected","geschützt","","adjective","A2"
"de.adj.gluecklich","happy","glücklich","","adjective","A2"
"de.adj.seltsam","strange","seltsam","","adjective","A2"
"de.verb.fuehlen","feel","fühlen","","verb","A2"
"de.prepositionconjunction.ohne","without","ohne","","preposition/conjunction","A2"
"de.verb.einschlafen","fall asleep","einschlafen","","verb","A2"
"de.verb.sagen","say","sagen","","verb","A2"
"de.adverb.spaeter","later","spaeter","","adverb","A2"
"de.determiner.dieser","this","dieser","","determiner","A2"
"de.name.valium","Valium","Valium","das","name","B1"
"de.noun.glueck","happiness/luck","Glück","das","noun","A2"
"de.verb.erfahren","learn","erfahren","","verb","B1"
"de.verb.heissen","be called","heißen","","verb","B1"
"de.noun.medikament","medicine","Medikament","das","noun","A2"
"de.noun.spritze","injections","Spritze","die","noun","B1"
"de.preposition.mit","with","mit","","preposition","A2"
"de.verb.geben","give","geben","","verb","A2"
"de.adverb.wieder","again","wieder","","adverb","A2"
"de.conjunctionpreposition.als","when/as/than","als","","conjunction/preposition","A2"
"de.noun.sonne","sun","Sonne","die","noun","A2"
"de.verb.hereinscheinen","shine in","hereinscheinen","","verb","B1"
"de.noun.fusssohle","soles of feet","Fußsohle","die","noun","B1"
"de.verb.kratzen","scratch","kratzen","","verb","B1"
"de.noun.krankenschwester","nurse","Krankenschwester","die","noun","A2"
"de.preposition.neben","beside","neben","","preposition","A2"
"de.verb.stehen","stand","stehen","","verb","A2"
"de.adverb.da","da","da","","adverb","A2"
"de.adverb.diesmal","this time","diesmal","","adverb","A2"
"de.adj.unangenehm","unpleasant","unangenehm","","adjective","A2"
"de.noun.kratzen","scratching","Kratzen","das","noun","B1"
"de.verb.sich_anfuehlen","feel","sich anfühlen","","verb","A2"
"de.adj.wach","awake","wach","","adjective","A2"
"de.adverb.geht","geht","geht","","adverb","A2"
"de.pronoun.es","it","es","","pronoun","A2"
"de.questioncomparisonword.wie","how/like","wie","","question/comparison word","A2"
"de.adj.laut","loud","laut","","adjective","A2"
"de.adj.schwach","weak","schwach","","adjective","A2"
"de.adverb.nur","only","nur","","adverb","A2"
"de.verb.herausbringen","produce or get out","herausbringen","","verb","B1"
"de.conjunction.ob","whether","ob","","conjunction","B1"
"de.noun.name","name","Name","der","noun","A2"
"de.verb.kennen","know","kennen","","verb","B1"
"de.adj.verrueckt","crazy","verrückt","","adjective","A2"
"de.preposition.fuer","for","fuer","","preposition","A2"
"de.noun.auge","eyes","Auge","das","noun","A2"
"de.verb.leuchten","shine","leuchten","","verb","B1"
"de.noun.augenlid","eyelids","Augenlid","das","noun","B1"
"de.verb.hochziehen","pull up","hochziehen","","verb","A2"
"de.adj.albern","silly","albern","","adjective","A2"
"de.adj.mehrere","several","mehrere","","adjective","A2"
"de.verb.ueberlegen","consider","überlegen","","verb","B1"
"de.adverb.manchmal","sometimes","manchmal","","adverb","A2"
"de.name.attila_der_hunnenkoenig","Attila the Hun king","Attila der Hunnenkönig","","name","A2"
"de.noun.vater","father","Vater","der","noun","A2"
"de.verb.nennen","call","nennen","","verb","B1"
"de.adverb.weitere","more","weitere","","adverb","A2"
"de.conjunction.bevor","before","bevor","","conjunction","A2"
"de.noun.medizin","medicine","Medizin","die","noun","A2"
"de.verb.antworten","answer","antworten","","verb","A2"
"de.verb.bestellen","order","bestellen","","verb","B1"
