"english","target","hint","level"
"Maja is a young bee.","Maja ist eine junge Biene.","Hooks: young → jung, bee → Biene.","A2"
"She was born in a big beehive.","Sie wurde in einem großen Bienenstock geboren.","Passive with werden: wurde geboren = was born.","A2"
"There was great unrest in the hive that day.","An diesem Tag herrschte große Unruhe im Stock.","herrschen = to reign/prevail; Unruhe = un + Ruhe (rest).","B1"
"Half the bee nation wanted to leave the city.","Das halbe Bienenvolk wollte die Stadt verlassen.","verlassen = to leave (a place); no preposition.","B1"
"An old bee took care of little Maja.","Eine alte Biene kümmerte sich um die kleine Maja.","sich kümmern um + accusative = to take care of.","B1"
"Her name was Kassandra.","Sie hieß Kassandra.","heißen: hieß in the past.","A2"
"Kassandra was Maja's first teacher.","Kassandra war Majas erste Lehrerin.","Female teacher: Lehrer + in.","A2"
"She showed Maja the world of the bees.","Sie zeigte Maja die Welt der Bienen.","zeigen + dative person + accusative thing.","A2"
"A bee must collect honey and be diligent.","Eine Biene muss Honig sammeln und fleißig sein.","Hook: honey → Honig. Modal muss + infinitives at the end.","A2"
"Maja learned to fly on the first morning.","Maja lernte am ersten Morgen fliegen.","Hooks: morning → Morgen, fly → fliegen.","A2"
"Her wings carried her into the warm air.","Ihre Flügel trugen sie in die warme Luft.","Hook: wing → Flügel (think flight). trugen: Präteritum of tragen.","B1"
"The sun was shining, and the world was wide.","Die Sonne schien, und die Welt war weit.","Hooks: sun → Sonne, world → Welt, wide → weit.","A2"
"Maja saw the flowers and the green meadows.","Maja sah die Blumen und die grünen Wiesen.","Hook: bloom → Blume. die Wiese = meadow.","A2"
"Everything smelled sweet and new.","Alles roch süß und neu.","roch: Präteritum of riechen. Hooks: sweet → süß, new → neu.","A2"
"Kassandra warned her about the enemies of the bees.","Kassandra warnte sie vor den Feinden der Bienen.","warnen vor + dative. Hook: fiend → Feind.","B1"
"Fear the hornets most of all, she said.","Fürchte die Hornissen am meisten, sagte sie.","Imperative fürchte! Hook: hornet → Hornisse.","B1"
"The hornets are the strongest robbers.","Die Hornissen sind die stärksten Räuber.","Hook: robber → Räuber. Superlative: stärkst-.","A2"
"Maja listened, but her heart wanted something else.","Maja hörte zu, aber ihr Herz wollte etwas anderes.","zuhören: separable — hörte … zu. Hook: heart → Herz.","B1"
"She did not want to carry honey her whole life.","Sie wollte nicht ihr ganzes Leben lang Honig tragen.","das ganze Leben lang = one's whole life long.","B1"
"She wanted to see the big wide world.","Sie wollte die große weite Welt sehen.","Fixed phrase: die große weite Welt.","A2"
"So Maja did not fly back to the hive.","So flog Maja nicht zum Stock zurück.","zurückfliegen: separable — flog … zurück.","A2"
"She flew over gardens and shining waters.","Sie flog über Gärten und glänzende Wasser.","Hooks: garden → Garten, water → Wasser.","A2"
"Freedom made her happy and a little afraid.","Die Freiheit machte sie glücklich und ein wenig ängstlich.","Hook: free → frei; -heit builds the noun.","B1"
"In the evening she was tired from flying.","Am Abend war sie müde vom Fliegen.","vom Fliegen: verb used as a noun (das Fliegen).","A2"
"She slept in a big blue flower.","Sie schlief in einer großen blauen Blume.","schlief: Präteritum of schlafen. Hooks: sleep → schlafen, blue → blau.","A2"
"The night was cool, but the flower was soft.","Die Nacht war kühl, aber die Blume war weich.","Hooks: night → Nacht, cool → kühl.","A2"
"In the morning the sun woke her.","Am Morgen weckte sie die Sonne.","wecken = to wake someone. Watch the word order: subject after verb.","B1"
"A drop of dew was hanging on a leaf.","Ein Tropfen Tau hing an einem Blatt.","Hook: dew → Tau (sound). hing: Präteritum of hängen.","B1"
"Maja drank and washed her face.","Maja trank und wusch sich das Gesicht.","trank, wusch: Präteritum of trinken, waschen.","A2"
"The world is beautiful, she thought.","Die Welt ist schön, dachte sie.","dachte: Präteritum of denken. Hook: think → denken.","A2"
"I want to know everything, she said to herself.","Ich will alles wissen, sagte sie zu sich selbst.","wissen = to know facts (not kennen).","A2"
"Every day brought a new adventure.","Jeder Tag brachte ein neues Abenteuer.","brachte: Präteritum of bringen. Hook: bring → bringen.","A2"
"But sometimes she thought of old Kassandra.","Aber manchmal dachte sie an die alte Kassandra.","denken an + accusative = to think of.","B1"
"Home stays in the heart, even far away.","Die Heimat bleibt im Herzen, auch in der Ferne.","die Heimat: home(land) — a very German word.","B1"
"Maja was small, but she was brave.","Maja war klein, aber sie war mutig.","Hook: mood → Mut; mutig = full of courage.","A2"
"Her story was only just beginning.","Ihre Geschichte fing gerade erst an.","anfangen: separable — fing … an. gerade erst = only just.","B1"
