"english","target"
"The first thing is the smell of blood and coffee.","Als Erstes ist da der Geruch von Blut und Kaffee."
"The coffee machine is over there on the table, and the blood is in my shoes.","Die Kaffeemaschine steht drüben auf dem Tisch, und das Blut ist in meinen Schuhen."
"To be honest, it's not just blood.","Um ehrlich zu sein, es ist nicht nur Blut."
"When the older one said «fourteen», I pissed myself.","Als der Ältere «vierzehn» gesagt hat, hab ich mir in die Hose gepisst."
"I'd been sitting crooked on the stool the whole time and hadn't moved.","Ich hab die ganze Zeit schräg auf dem Hocker gehangen und mich nicht gerührt."
"I was dizzy.","Mir war schwindlig."
"I tried to look the way I imagined Tschick probably looks when someone says «fourteen» to him, and then I pissed myself out of fear.","Ich hab versucht auszusehen, wie ich gedacht hab, dass Tschick wahrscheinlich aussieht, wenn einer «vierzehn» zu ihm sagt, und dann hab ich mir vor Angst in die Hose gepisst."
"Maik Klingenberg, the hero.","Maik Klingenberg, der Held."
"And I don't even know what all the fuss is about.","Dabei weiß ich gar nicht, warum jetzt die Aufregung."
"It was always obvious it would end this way.","War doch die ganze Zeit klar, dass es so endet."
"Tschick definitely didn't piss himself.","Tschick hat sich mit Sicherheit nicht in die Hose gepisst."
"Where is Tschick anyway?","Wo ist Tschick überhaupt?"
"On the motorway I still saw him hopping into the bushes on one leg, but I'm guessing they got him too.","Auf der Autobahn hab ich ihn noch gesehen, wie er auf einem Bein ins Gebüsch gehüpft ist, aber ich schätze mal, sie haben ihn auch gekriegt."
"You can't get far on one leg.","Mit einem Bein kommt man nicht weit."
"Obviously I can't ask the police officers.","Fragen kann ich die Polizisten natürlich nicht."
"Because if they didn't see him, it's logically better not to bring it up at all.","Weil, wenn sie ihn nicht gesehen haben, ist es logisch besser, gar nicht damit anzufangen."
"Maybe they didn't see him.","Vielleicht haben sie ihn ja nicht gesehen."
"And they definitely won't find out from me.","Und von mir erfahren sie's mit Sicherheit nicht."
"They can torture me for all I care.","Da können sie mich foltern."
"Although the German police, I think, aren't allowed to torture anyone.","Obwohl die deutsche Polizei, glaube ich, niemanden foltern darf."
"That's only allowed on TV and in Turkey.","Das dürfen die nur im Fernsehen und in der Türkei."
"But sitting here covered in piss and blood at the motorway police station answering questions about my parents isn't exactly the greatest thing either.","Aber vollgeschifft und blutig auf der Station der Autobahnpolizei sitzen und Fragen nach den Eltern beantworten ist auch nicht gerade der ganz große Bringer."
"Torture might actually be quite pleasant – at least then I'd have a reason to be worked up.","Vielleicht wäre Foltern sogar ganz angenehm, dann hätte ich wenigstens einen Grund für meine Aufregung."
"The best thing is to keep your mouth shut, Tschick said.","Das Beste ist Klappe halten, hat Tschick gesagt."
"And I totally agree.","Und das seh ich genauso."
"Now that nothing matters anyway.","Jetzt, wo eh alles egal ist."
"And I don't care about anything.","Und mir ist alles egal."
"Well, almost anything.","Na ja, fast alles."
"Tatjana Cosic, for example, obviously I care about.","Tatjana Cosic zum Beispiel ist mir natürlich nicht egal."
"Even though I haven't thought about her for quite a while now.","Obwohl ich jetzt schon ziemlich lange nicht mehr an sie gedacht habe."
"But sitting here on this stool with the motorway rushing past outside and the older police officer standing at the coffee machine over there for the last five minutes, filling it with water and pouring it out again, pressing the button and looking at the machine from underneath, while any idiot can see the extension cord isn't plugged in – that's when I have to think of Tatjana again.","Aber wo ich auf diesem Hocker sitze und draußen die Autobahn vorbeirauscht und der ältere Polizist steht seit fünf Minuten an der Kaffeemaschine dahinten und füllt Wasser ein und kippt es wieder aus, drückt auf den Schalter und schaut das Gerät von unten an, während jeder Depp sehen kann, dass der Stecker vom Verlängerungskabel nicht drin ist, da muss ich wieder an Tatjana denken."
"Because strictly speaking, I wouldn't be here if it weren't for Tatjana.","Denn genau genommen wäre ich nicht hier, wenn es Tatjana nicht gäbe."
"Even though she has nothing to do with the whole thing.","Obwohl sie mit der ganzen Sache nichts zu tun hat."
"Is what I'm saying confusing?","Ist das unklar, was ich da rede?"
"Yeah, sorry.","Ja, tut mir leid."
"I'll try again later.","Ich versuch's später nochmal."
"Tatjana doesn't appear in the whole story at all.","Tatjana kommt in der ganzen Geschichte überhaupt nicht vor."
"The most beautiful girl in the world doesn't appear.","Das schönste Mädchen der Welt kommt nicht vor."
"The whole trip I kept imagining she could see us.","Auf der ganzen Reise hab ich mir immer vorgestellt, dass sie uns sehen kann."
"Looking out from the top of a cornfield.","Wie wir oben aus dem Kornfeld rausgucken."
"Standing on the rubbish heap with a bundle of hoses like total idiots...","Wie wir mit dem Bündel Schläuche auf dem Müllberg stehen wie die letzten Trottel..."
"I always imagined Tatjana standing behind us, seeing what we saw, sharing our joy.","Ich hab mir immer vorgestellt, Tatjana steht hinter uns und sieht, was wir sehen, und freut sich, wie wir uns freuen."
"But now I'm glad I only imagined it.","Aber jetzt bin ich froh, dass ich mir das nur vorgestellt hab."
"The police officer pulls a green paper towel from a dispenser and hands it to me.","Der Polizist zieht ein grünes Papierhandtuch aus einem Handtuchspender und gibt es mir."
"What am I supposed to do with it?","Was soll ich damit?"
"Wipe the floor?","Den Boden aufwischen?"
