english,target,article,plural,type,level,tags,hint,alternatives,article_prompt,source_id,source
may / be allowed to,dürfen,,,modal,A1,grammar;modal,Modal verb: infinitive goes to the end.,,,,
can / be able to,können,,,modal,A1,grammar;modal,Modal verb: infinitive goes to the end.,,,,
must / have to,müssen,,,modal,A1,grammar;modal,Modal verb: infinitive goes to the end.,,,,
want to,wollen,,,modal,A1,grammar;modal,Modal verb: infinitive goes to the end.,,,,
should / be supposed to,sollen,,,modal,A2,grammar;modal,Modal verb: infinitive goes to the end.,,,,
like,mögen,,,modal,A1,grammar;modal,Stem vowel changes in singular forms.,,,,
would like,möchten,,,modal,A1,grammar;modal;polite,Polite wish form of mögen.,,,,
I may / am allowed to,ich darf,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you may / are allowed to,du darfst,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
we may / are allowed to,wir dürfen,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you all may / are allowed to,ihr dürft,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
I can,ich kann,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you can,du kannst,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
we can,wir können,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you all can,ihr könnt,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
I must,ich muss,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you must,du musst,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
we must,wir müssen,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you all must,ihr müsst,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
I want,ich will,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you want,du willst,,,grammar_form,A1,grammar;modal;present,Modal form: main infinitive goes last.,,,,
we want,wir wollen,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you all want,ihr wollt,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
I should / am supposed to,ich soll,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you should / are supposed to,du sollst,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
we should / are supposed to,wir sollen,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
you all should / are supposed to,ihr sollt,,,grammar_form,A2,grammar;modal;present,Modal form: main infinitive goes last.,,,,
must not / not be allowed to,nicht dürfen,,,phrase,A2,grammar;modal;negation,Prohibition: this means must not.,,,,
do not have to,nicht müssen,,,phrase,A2,grammar;modal;negation,No obligation: not the same as prohibition.,,,,
am I supposed to,soll ich,,,grammar_form,A2,grammar;modal;question,Question order: modal before the subject.,,,,
you do not have to,du musst nicht,,,grammar_form,A2,grammar;modal;negation,Means no obligation.,,,,
I wanted to,ich wollte,,,grammar_form,A2,grammar;modal;past,Präteritum of wollen.,,,,
I would be,ich wäre,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
you would be,du wärst,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
we would be,wir wären,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
I would have,ich hätte,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
you would have,du hättest,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
we would have,wir hätten,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
I would,ich würde,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
you would,du würdest,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
we would,wir würden,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
I could,ich könnte,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
I would have to,ich müsste,,,grammar_form,B1,grammar;konjunktiv2,Konjunktiv II for hypothetical or polite meaning.,,,,
