"english","target","hint","level"
"both ... and ...","sowohl ... als auch ...","","A2"
"either ... or ...","entweder ... oder ...","","A2"
"neither ... nor ...","weder ... noch ...","","A2"
"not only ... but also ...","nicht nur ... sondern auch ...","","A2"
"He gets up early.","Er steht früh auf.","","A2"
"She calls her mother.","Sie ruft ihre Mutter an.","","A2"
"We arrive at seven.","Wir kommen um sieben Uhr an.","","A2"
"Turn off the light!","Mach das Licht aus!","","A2"
"She tries on the dress.","Sie probiert das Kleid an.","","A2"
"He fills in the form.","Er füllt das Formular aus.","","A2"
"I write down the word.","Ich schreibe das Wort auf.","","A2"
"They pick me up.","Sie holen mich ab.","","A2"
"Clean up your room!","Räum dein Zimmer auf!","","A2"
"He looks the word up.","Er schlägt das Wort nach.","","A2"
"I feel sick.","Ich fühle mich krank.","","A2"
"She hurries.","Sie beeilt sich.","","A2"
"He sits down.","Er setzt sich.","","A2"
"I remember him.","Ich erinnere mich an ihn.","","A2"
"He apologizes.","Er entschuldigt sich.","","A2"
"They fall in love.","Sie verlieben sich.","","A2"
"How are you?","Wie geht es Ihnen? / Wie geht's?","","B1"
"I'm fine, thank you.","Mir geht es gut, danke.","","A2"
"Not so well.","Nicht so gut.","","A2"
"So so.","Es geht so.","","A2"
"You're welcome.","Bitte sehr. / Gern geschehen.","","A2"
"I'm sorry.","Es tut mir leid.","","A2"
"Happy birthday!","Alles Gute zum Geburtstag!","","A2"
"Happy New Year!","Frohes Neues Jahr!","","A2"
"What's your name?","Wie heißen Sie? / Wie heißt du?","","B1"
"My name is...","Ich heiße... / Mein Name ist...","","A2"
"Where are you from?","Woher kommen Sie?","","A2"
"I'm from Hungary.","Ich komme aus Ungarn.","","A2"
"I live in Berlin.","Ich wohne in Berlin.","","A2"
"Nice to meet you.","Schön, Sie kennenzulernen.","","A2"
"Do you speak German?","Sprechen Sie Deutsch?","","A2"
"I don't understand.","Ich verstehe nicht.","","A2"
"Could you repeat that?","Könnten Sie das wiederholen?","","A2"
"Could you speak more slowly?","Könnten Sie langsamer sprechen?","","A2"
"What does that mean?","Was bedeutet das?","","A2"
"How do you say... in German?","Wie sagt man... auf Deutsch?","","A2"
"Can you help me?","Können Sie mir helfen?","","A2"
"How much does it cost?","Was kostet das?","","A2"
"Where is the toilet?","Wo ist die Toilette?","","A2"
"The bill, please.","Die Rechnung, bitte.","","A2"
"It was delicious!","Es war köstlich!","","A2"
"Turn left.","Biegen Sie links ab.","","A2"
"Turn right.","Biegen Sie rechts ab.","","A2"
"Go straight ahead.","Gehen Sie geradeaus.","","A2"
"It's sunny.","Es ist sonnig.","","A2"
"It's cold.","Es ist kalt.","","A2"
"I think that...","Ich denke, dass...","","A2"
"In my opinion...","Meiner Meinung nach...","","A2"
"I agree.","Ich stimme zu.","","A2"
"I disagree.","Ich bin anderer Meinung.","","A2"
"I'm not sure.","Ich bin nicht sicher.","","A2"
"Definitely.","Auf jeden Fall.","","A2"
"That's great!","Das ist toll!","","A2"
"I like it.","Es gefällt mir.","","A2"
"I don't like it.","Es gefällt mir nicht.","","A2"
"I'm happy.","Ich bin glücklich.","","A2"
"I'm tired.","Ich bin müde.","","A2"
"I'm hungry.","Ich habe Hunger.","","A2"
"I'm thirsty.","Ich habe Durst.","","A2"
"I'm in a hurry.","Ich habe es eilig.","","A2"
"I have time.","Ich habe Zeit.","","A2"
"Let's go!","Gehen wir! / Lass uns gehen!","","A2"
"What happened?","Was ist passiert?","","A2"
"Are you ready?","Bist du fertig?","","A2"
"How was your day?","Wie war dein Tag?","","A2"
"Not my cup of tea.","Nicht mein Ding.","","A2"
"That makes sense.","Das macht Sinn.","","A2"
"It doesn't matter.","Es ist egal.","","A2"
"What a coincidence!","Was für ein Zufall!","","A2"
"I see.","Ich verstehe. / Ach so.","","A2"
"I'll think about it.","Ich werde darüber nachdenken.","","A2"
"That's a good idea.","Das ist eine gute Idee.","","A2"
"You're right.","Sie haben recht.","","A2"
"One moment, please.","Einen Moment, bitte.","","A2"
"Don't give up!","Gib nicht auf!","","A2"
"You can do it!","Du schaffst das!","","A2"
"Would you help me?","Würdest du mir helfen?","","A2"
"If I were rich...","Wenn ich reich wäre...","","A2"
"If I had more time...","Wenn ich mehr Zeit hätte...","","A2"
"I wish I could fly.","Ich wünschte, ich könnte fliegen.","","A2"
"I would travel if I had money.","Ich würde reisen, wenn ich Geld hätte.","","B1"
"Could you help me, please?","Könntest du mir bitte helfen?","","A2"
"That would be great.","Das wäre toll.","","A2"
"It would be better to...","Es wäre besser,...","","A2"
"I would prefer...","Ich würde lieber...","","A2"
"What would you do?","Was würdest du tun?","","A2"
"I should have said that.","Ich hätte das sagen sollen.","","A2"
"He could have come.","Er hätte kommen können.","","A2"
"We should have left earlier.","Wir hätten früher abfahren sollen.","","A2"
"If only I had known...","Wenn ich das nur gewusst hätte...","","A2"
"Would you mind if I...?","Würde es Ihnen etwas ausmachen, wenn ich...?","","B1"
"I'd appreciate it if you could...","Ich wäre dankbar, wenn Sie...","","A2"
"to break a leg!","Hals- und Beinbruch!","","A2"
"What are your hobbies?","Was sind deine Hobbys?","","A2"
"I like reading.","Ich lese gerne.","","A2"
"I love cooking.","Ich liebe es zu kochen.","","A2"
"I go jogging every morning.","Ich gehe jeden Morgen joggen.","","A2"
"Let's eat!","Essen wir! / Lass uns essen!","","A2"
"Let's start!","Fangen wir an!","","A2"
"Where have you been?","Wo warst du?","","A2"
"I was at the office.","Ich war im Büro.","","A2"
"I had a lot to do.","Ich hatte viel zu tun.","","A2"
"Did you have a good day?","Hattest du einen guten Tag?","","A2"
"It was exhausting.","Es war anstrengend.","","A2"
"What are your plans for the evening?","Was hast du heute Abend vor?","","A2"
"I'm staying home.","Ich bleibe zu Hause.","","A2"
"Would you like to join us?","Möchtest du mitkommen?","","A2"
"Unfortunately I can't.","Leider kann ich nicht.","","A2"
"Maybe next time.","Vielleicht beim nächsten Mal.","","A2"
"Do you have this in a larger size?","Haben Sie das in einer größeren Größe?","","B1"
"I'd like to try this on.","Ich möchte das anprobieren.","","A2"
"It fits perfectly.","Es passt perfekt.","","A2"
"It's a bit too tight.","Es ist etwas zu eng.","","A2"
"I'll take it.","Ich nehme es.","","A2"
"Can I pay by card?","Kann ich mit Karte zahlen?","","A2"
"I'd like to return this.","Ich möchte das zurückgeben.","","A2"
"A table for two, please.","Einen Tisch für zwei Personen, bitte.","","A2"
"What do you recommend?","Was empfehlen Sie?","","A2"
"I'm a vegetarian.","Ich bin Vegetarier/Vegetarierin.","","A2"
"Does this contain gluten?","Enthält das Gluten?","","A2"
"Excuse me, where is the station?","Entschuldigung, wo ist der Bahnhof?","","A2"
"It's about 10 minutes on foot.","Es ist ungefähr 10 Minuten zu Fuß.","","B1"
"Take the first street on the left.","Nehmen Sie die erste Straße links.","","A2"
"Is it far from here?","Ist es weit von hier?","","A2"
"Which line do I take?","Welche Linie nehme ich?","","A2"
"You need to change at the central station.","Sie müssen am Hauptbahnhof umsteigen.","","A2"
"I have a reservation.","Ich habe eine Reservierung.","","A2"
"Is breakfast included?","Ist das Frühstück inbegriffen?","","A2"
"What time is check-out?","Um wie viel Uhr ist der Check-out?","","B1"
"Where does it hurt?","Wo tut es weh?","","A2"
"It hurts here.","Hier tut es weh.","","A2"
"I need a prescription.","Ich brauche ein Rezept.","","A2"
"Are you taking any medication?","Nehmen Sie Medikamente?","","A2"
"Do you have any allergies?","Haben Sie Allergien?","","A2"
"When does the shift start?","Wann beginnt die Schicht?","","A2"
"I need to take a day off.","Ich muss einen Tag freinehmen.","","A2"
"The project is on track.","Das Projekt liegt im Zeitplan.","","A2"
"We missed the deadline.","Wir haben die Frist verpasst.","","A2"
"Can you send me the report?","Kannst du mir den Bericht schicken?","","A2"
"I'll get back to you on that.","Ich werde mich diesbezüglich bei dir melden.","","B1"
"I can't hear you very well.","Ich kann Sie nicht sehr gut hören.","","B1"
"My battery is almost dead.","Mein Akku ist fast leer.","","A2"
"Have you tried turning it off and on?","Hast du versucht, es aus- und einzuschalten?","","B1"
"Can you recommend something?","Können Sie etwas empfehlen?","","A2"
"I'm afraid I don't know.","Das weiß ich leider nicht.","","A2"
"Could you write that down?","Könnten Sie das aufschreiben?","","A2"
"What time does the shop close?","Wann schließt der Laden?","","A2"
"Is this seat taken?","Ist dieser Platz besetzt?","","A2"
"How long have you been learning German?","Wie lange lernst du schon Deutsch?","","A2"
