english,target
I am not allowed to / I must not,ich darf nicht
you are allowed to (sg.),du darfst
he / she is allowed to,er/sie darf
we are allowed to,wir dürfen
I can,ich kann
you can (sg.),du kannst
he / she can,er/sie kann
we can,wir können
I must / have to,ich muss
you must (sg.),du musst
he / she must,er/sie muss
we must,wir müssen
I want to,ich will
you want to (sg.),du willst
he / she wants to,er/sie will
we want to,wir wollen
I am supposed to,ich soll
you are supposed to (sg.),du sollst
he / she is supposed to,er/sie soll
I know (a fact),ich weiß
you know (sg.),du weißt
he / she knows,er/sie weiß
I would be (Konj. II of sein),ich wäre
you would be (sg.),du wärst
he / she would be,er/sie wäre
we would be,wir wären
I would have (Konj. II of haben),ich hätte
you would have (sg.),du hättest
he / she would have,er/sie hätte
we would have,wir hätten
I would (Konj. II helper),ich würde
you would (sg.),du würdest
they would,sie würden
I could (Konj. II of können),ich könnte
I would have to (Konj. II of müssen),ich müsste
I was supposed to (Konj. II of sollen),ich sollte
I was allowed to (Konj. II of dürfen),ich dürfte
to say - he said (Prät.),sagen - er hat gesagt / er sagte
to see - I saw (Prät.),sehen - ich sah
to come - came (Prät.),kommen - kam
to sit - sat (Prät.),sitzen - saß
to hang / be suspended - hung (Prät.),hängen - hing
to know - knew (Prät.),wissen - wusste
to fall - fell (Prät.),fallen - fiel
to get / become - became (Prät.),werden - wurde
to see - seen (Partizip II),sehen - gesehen
to come - come (Partizip II),kommen - gekommen
to fall - fallen (Partizip II),fallen - gefallen
"to hop - hopped (Partizip II, sein)",hüpfen - ist gehüpft
to hang - hung (Partizip II),hängen - gehangen
to move / stir - moved (Partizip II),sich rühren - sich gerührt
to think of - thought of (Partizip II),denken - gedacht
to imagine - imagined (Partizip II),sich vorstellen - sich vorgestellt
to piss oneself (Partizip II),sich einpissen - sich eingepisst
to find out - found out (Partizip II),herausfinden - herausgefunden
to turn out (Partizip II),sich herausstellen - sich herausgestellt
to start / begin,anfangen
to bring along,mitbringen
to come along,mitkommen
to wake up,aufwachen
to get up,aufstehen
to clean up,aufräumen
to imagine,sich vorstellen
to turn out / emerge,sich herausstellen
to find out,herausfinden
to look at,angucken / ansehen
to reprimand / put right,zurechtweisen
to interfere / step in,sich einmischen
to come out / exit,rauskommen
to write down,aufschreiben
to switch off / turn off,ausmachen
to pick up / collect,abholen
to scratch around,herumkratzen
to feel around,herumtasten
to look around,herumschauen
to walk around,herumlaufen
to fall sideways / tip over,seitlich runterfallen
to fall asleep,einschlafen
to piss oneself,sich einpissen
to laugh oneself to death,sich totlachen
to move / stir (intr.),sich rühren
to imagine,sich vorstellen
to scratch oneself,sich kratzen
to feel (well/bad),sich fühlen
to turn out,sich herausstellen
to be mistaken / be wrong,sich irren
to calm down,sich beruhigen
keep your mouth shut,Klappe halten
it's all the same to me / I don't care,mir ist alles egal
that's not the greatest thing / not exactly ideal,nicht gerade der große Bringer
to make a fool of oneself,sich zum Obst machen
what's done is done,"was passiert ist, ist passiert"
to be slow on the uptake,einer steht auf der Leitung
why doesn't he just say it straight?,warum redet er nicht Klartext?
to have no idea / be clueless,keine Ahnung haben
of course / obviously,natürlich
for all I care (threat),da können sie mich...
that's for sure / definitely,mit Sicherheit
for that alone / just for that reason,allein deshalb
not exactly,nicht gerade
I've got it now / understood,ich hab's begriffen
good grief / for heaven's sake,Himmel
how on earth / where on earth,wo bin ich denn hier?
I bet...,"ich wette,..."
to crack up laughing,sich kaputtlachen
in the end / after all,schließlich
something like that / sort of,so was Ähnliches
to be in charge / to have the say,das Sagen haben
under us / between ourselves,unter uns
only out of interest / just asking,nur interessehalber
to believe everything,jemandem alles glauben
as grown-ups do,wie erwachsene Menschen
I feel dizzy (lit. to me is dizzy),mir ist / mir war schwindlig
I feel sick (lit. to me becomes ill),mir wird übel
I feel cold / I am cold,mir ist kalt
there's a bang / it crashes,es knallt
it takes [time],es dauert
it smells (of something),es riecht (nach)
one / you (general subject),man
you can't get far on one leg,mit einem Bein kommt man nicht weit
it hurts (lit. to me it does),das tut weh / mir tut es weh
I would like to / I'd prefer to,ich würde am liebsten...
as if / as though,als ob / als wär(e)
at least,wenigstens / zumindest
although / even though,obwohl
while / whereas,während
before,bevor
until,bis
since / for (duration),seit
actually / in fact,eigentlich
after all / the thing is,nämlich
maybe / perhaps,vielleicht
above all / especially,vor allem
basically / essentially,im Grunde
to put it simply / in short,im Grunde genommen
by the way / incidentally,übrigens
as far as I know / I think,glaube ich
seriously / really,ehrlich gesagt
otherwise / if not,sonst
probably / presumably,wahrscheinlich
the whole time,die ganze Zeit
for five minutes now,seit fünf Minuten
the next time,das nächste Mal
for a brief moment,für einen kurzen Moment
after a while,nach einer Weile
every day,jeden Tag
a few days ago,vor ein paar Tagen
later on / afterwards,später
in the end / finally,zum Schluss
the duty of confidentiality,die Schweigepflicht
the duty of supervision,die Aufsichtspflicht
criminal responsibility (age of),strafmündig sein
blood loss,der Blutverlust
external force / third-party involvement,die Fremdeinwirkung
the attending physician,der behandelnde Arzt
the motorway police station,die Station der Autobahnpolizei
the paper towel dispenser,der Handtuchspender
student nurse / trainee nurse,die Schwesternschülerin
the plastic torso (model),der menschliche Oberkörper aus Plastik
the green cardboard folder,der grüne Pappordner
