english,target,register,tags,note,level
the person,die Person,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the person.,Das ist die Person.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the person (plural),die Personen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the man,der Mann,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the man.,Das ist der Mann.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the man (plural),die Männer,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the woman,die Frau,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the woman.,Das ist die Frau.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the woman (plural),die Frauen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the child,das Kind,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the child.,Das ist das Kind.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the child (plural),die Kinder,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the friend,der Freund,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the friend.,Das ist der Freund.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the friend (plural),die Freunde,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the female friend,die Freundin,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the female friend.,Das ist die Freundin.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the female friend (plural),die Freundinnen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the family,die Familie,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the family.,Das ist die Familie.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the family (plural),die Familien,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the house,das Haus,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the house.,Das ist das Haus.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the house (plural),die Häuser,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the apartment,die Wohnung,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the apartment.,Das ist die Wohnung.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the apartment (plural),die Wohnungen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the room,das Zimmer,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the room.,Das ist das Zimmer.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the room (plural),die Zimmer,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the door,die Tür,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the door.,Das ist die Tür.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the door (plural),die Türen,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the window,das Fenster,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
This is the window.,Das ist das Fenster.,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Generated sentence from noun card.,A1
the window (plural),die Fenster,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Plural practice from noun deck.,A1
the table,der Tisch,neutral,core;noun;source:german_nouns_articles_core;sentence_builder,Article practice from noun deck.,A1
