"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.adj.komisch","strange","komisch","","","s001","komisch","word"
"w002","de.article.der","the","der","","grammar word","s001","dem|Den|den|Der|der","function"
"w003","de.article.ein","a/an","ein","","grammar word","s001","Ein|ein|Eine|eine|einem|einen|einer","function"
"w004","de.conjunction.waehrend","while","waehrend","","grammar word","s001","während","function"
"w005","de.name.maik","Maik","Maik","","","s001","Maik|Maiks","name"
"w006","de.noun.arzt","doctor","Arzt","der","","s001","Arzt","word"
"w007","de.noun.mund","mouth","Mund","der","","s001","Mund","word"
"w008","de.verb.aufwachen","wake up","aufwachen","","","s001","aufwacht|wacht ... auf","phrase"
"w009","de.verb.bewegen","move","bewegen","","","s001","bewegt|bewegte","word"
"w010","de.adj.klar","clear","klar","","","s002","klaren","word"
"w011","de.adverb.zuerst","first","zuerst","","grammar word","s002","Zuerst|zuerst","function"
"w012","de.determiner.kein","no/not a","kein","","grammar word","s002","Kein|kein|keine|keinen","function"
"w013","de.noun.wort","word","Wort","das","","s002","Wort|Wörter","word"
"w014","de.verb.herauskommen","come out","herauskommen","","","s002","kommen ... heraus","phrase"
"w015","de.adverb.dann","then","dann","","grammar word","s003","Dann|dann","function"
"w016","de.particlepreposition.zu","to","zu","","grammar word","s003","zu","function"
"w017","de.verb.beginnen","begin","beginnen","","","s003","begann|beginnt","word"
"w018","de.verb.schreien","shout","schreien","","","s003","schreien","word"
"w019","de.adj.klein","small","klein","","","s004","kleine","word"
"w020","de.noun.frau","woman","Frau","die","","s004","Frau|Frauen","word"
"w021","de.pronoun.er","he/him","er","","grammar word","s004","Er|er|Ihm|ihm|ihn","function"
"w022","de.verb.anschreien","shout at","anschreien","","","s004","schreit ... an","phrase"
"w023","de.noun.polizist","police officer","Polizist","der","","s005","Polizist|Polizisten","word"
"w024","de.noun.uniform","uniform","Uniform","die","","s005","Uniform","word"
"w025","de.preposition.in","in/into","in","","grammar word","s005","In|in","function"
"w026","de.verb.sich_einmischen","interfere or join in","sich einmischen","","","s005","mischt sich ... ein","phrase"
"w027","de.verb.zurechtweisen","reprimand","zurechtweisen","","","s006","weist ... zurecht","phrase"
"w028","de.adj.weiss","white","weiß","","","s007","weißen|weißer","word"
"w029","de.noun.kittel","coat","Kittel","der","","s007","Kittel","word"
"w030","de.verb.erkennen","recognize","erkennen","","","s007","erkennt","word"
"w031","de.adverb.auch","also","auch","","grammar word","s008","Auch|auch","function"
"w032","de.adverb.so","so/such","so","","grammar word","s008","so","function"
"w033","de.adverb.trotzdem","nevertheless","trotzdem","","grammar word","s008","Trotzdem","function"
"w034","de.noun.baecker","baker","Bäcker","der","","s008","Bäcker","word"
"w035","de.verb.koennen","can","können","","","s008","kann|können|könnte","word"
"w036","de.verb.tragen","wear/carry","tragen","","","s008","tragen|trägt","word"
"w037","de.conjunction.aber","but","aber","","grammar word","s009","Aber|aber","function"
"w038","de.noun.mann","man","Mann","der","","s009","Mann","word"
"w039","de.noun.metalltaschenlampe","metal flashlight","Metalltaschenlampe","die","","s009","Metalltaschenlampe","word"
"w040","de.verb.haben","have","haben","","","s009","habe|haben|hat|hatte|hätten","word"
"w041","de.noun.stethoskop","stethoscope","Stethoskop","das","","s010","Stethoskop","word"
"w042","de.noun.tasche","pocket/bag","Tasche","die","","s010","Tasche","word"
"w043","de.possessive.sein","his/its","sein","","grammar word","s010","Sein|sein|Seine|seine|seinem|seinen|seiner","function"
"w044","de.prepositionparticle.an","at/on","an","","grammar word","s010","an","function"
"w045","de.verb.haengen","hang","hängen","","","s010","hängt","word"
"w046","de.noun.broetchen","bread rolls","Brötchen","das","","s011","Brötchen","word"
"w047","de.verb.abhoeren","listen to","abhören","","","s011","abhören","word"
"w048","de.verb.werden","become/will","werden","","","s011","werde|werden|wird|worden|wurde|würde|würden","word"
"w049","de.adj.wuetend","angry","wütend","","","s012","wütende","word"
"w050","de.adverb.also","therefore/so","also","","grammar word","s012","Also|also","function"
"w051","de.verb.muessen","must","müssen","","","s012","muss|müssen","word"
"w052","de.verb.sein","be","sein","","","s012","gewesen|ist|sei|seien|sein|sind|war|wäre","word"
"w053","de.conjunction.und","and","und","","grammar word","s013","und","function"
"w054","de.noun.kopf","head","Kopf","der","","s013","Kopf","word"
"w055","de.prepositionparticle.auf","on/up","auf","","grammar word","s013","Auf|auf","function"
"w056","de.verb.bruellen","yell","brüllen","","","s013","brüllt","word"
"w057","de.verb.zeigen","show/point","zeigen","","","s013","zeigt","word"
"w058","de.noun.bein","leg","Bein","das","","s014","Bein|Beine","word"
"w059","de.noun.decke","blanket/ceiling","Decke","die","","s014","Decke","word"
"w060","de.preposition.unter","under/among","unter","","grammar word","s014","Unter|unter","function"
"w061","de.verb.suchen","search","suchen","","","s014","sucht","word"
"w062","de.adj.blutig","bloody","blutig","","","s015","blutig","word"
"w063","de.adj.nackt","naked","nackt","","","s015","nackt","word"
"w064","de.adj.nass","wet","nass","","","s015","nass","word"
"w065","de.adverb.mehr","more","mehr","","","s015","mehr","word"
"w066","de.conjunction.oder","or","oder","","grammar word","s015","oder","function"
"w067","de.particle.nicht","not","nicht","","grammar word","s015","nicht","function"
"w068","de.pronoun.sie","she/her/they/them","sie","","grammar word","s015","Sie|sie","function"
