"english","target","hint","level"
"Once upon a time there was a little girl.","Es war einmal ein kleines Mädchen.","'Es war einmal' — the classic fairy-tale opener.","A2"
"Her father and her mother had died.","Ihr Vater und ihre Mutter waren gestorben.","Perfect of sterben with sein: waren gestorben.","A2"
"The girl was so poor that she had no little room anymore.","Das Mädchen war so arm, dass es kein Kämmerchen mehr hatte.","so … dass: verb goes to the end of the dass-clause. Mädchen is das, so 'es'.","B1"
"She had only her clothes and a piece of bread.","Es hatte nur noch seine Kleider und ein Stück Brot.","nur noch = only … left.","A2"
"A kind person had given her the bread.","Ein guter Mensch hatte ihm das Brot geschenkt.","schenken = to give as a gift; dative ihm (das Mädchen).","A2"
"But the girl was good and devout.","Aber das Mädchen war gut und fromm.","fromm = devout, pious — a fairy-tale word.","A2"
"She went out into the open field.","Es ging hinaus auf das freie Feld.","Hook: field → Feld.","A2"
"There a poor man met her.","Da begegnete ihm ein armer Mann.","begegnen + dative: ihm, not ihn.","B1"
"The man said: I am so hungry.","Der Mann sagte: Ich habe so großen Hunger.","German 'has' hunger: Hunger haben. Hook: hunger → Hunger.","A2"
"The girl gave him the whole piece of bread.","Das Mädchen gab ihm das ganze Stück Brot.","gab: Präteritum of geben. Hook: give → geben.","A2"
"She said: May God bless it for you.","Es sagte: Gott segne es dir.","segne: Konjunktiv used for blessings.","B1"
"Then a child came and cried.","Dann kam ein Kind und weinte.","weinen = to cry (tears), not to shout.","A2"
"The child said: My head is so cold.","Das Kind sagte: Mein Kopf ist so kalt.","Hook: cold → kalt.","A2"
"So the girl gave it her cap.","Da gab das Mädchen ihm seine Mütze.","Da = so/then at sentence start; verb comes second.","A2"
"Another child had no jacket and was freezing.","Ein anderes Kind hatte keine Jacke und fror.","fror: Präteritum of frieren. Hook: freeze → frieren.","A2"
"She gave that child her jacket.","Diesem Kind gab es seine Jacke.","Fronted dative object; verb stays second.","B1"
"A third child asked for her skirt.","Ein drittes Kind bat um seinen Rock.","bitten um + accusative; bat is its Präteritum.","B1"
"She gave the skirt away too.","Auch den Rock gab es weg.","weggeben: separable verb — gab … weg.","A2"
"At last she came into a forest.","Endlich kam es in einen Wald.","in + accusative because of movement.","A2"
"It had already become dark.","Es war schon dunkel geworden.","werden in the perfect: ist/war geworden.","A2"
"One more child asked for a shirt.","Noch ein Kind bat um ein Hemdlein.","-lein makes things small: Hemd → Hemdlein.","A2"
"The good girl thought: The night is dark, nobody sees you.","Das fromme Mädchen dachte: Die Nacht ist dunkel, niemand sieht dich.","dachte: Präteritum of denken. Hook: night → Nacht.","A2"
"She gave away her shirt as well.","Es gab auch sein Hemd weg.","Same separable pattern: gab … weg.","A2"
"Now she had nothing at all anymore.","Nun hatte es gar nichts mehr.","gar nichts = nothing at all.","A2"
"Suddenly the stars fell from the sky.","Plötzlich fielen die Sterne vom Himmel.","fielen: Präteritum of fallen. Hooks: star → Stern, fall → fallen.","A2"
"The stars were nothing but hard, shiny talers.","Die Sterne waren lauter harte, blanke Taler.","lauter = nothing but. Taler: old coin — the word behind 'dollar'.","B1"
"And suddenly she was wearing a new shirt.","Und auf einmal hatte es ein neues Hemd an.","anhaben = to have on, to wear: hatte … an.","A2"
"The shirt was made of the finest linen.","Das Hemd war aus feinstem Leinen.","aus + material. Hook: linen → Leinen.","B1"
"She gathered the talers into it.","Es sammelte die Taler hinein.","hinein = into it (direction away from speaker).","A2"
"And she was rich for the rest of her life.","Und es war reich für sein ganzes Leben.","Hooks: rich → reich, life → Leben.","A2"
