"id","lexeme_id","english","target","article","hint","alternatives"
"w0001","de.lex.person","person","Person","die","",""
"w0002","de.lex.mann","man","Mann","der","",""
"w0003","de.lex.frau","woman","Frau","die","",""
"w0004","de.lex.kind","child","Kind","das","",""
"w0005","de.lex.freund","friend","Freund","der","",""
"w0006","de.lex.freundin.female-friend","female friend","Freundin","die","",""
"w0007","de.lex.familie","family","Familie","die","",""
"w0008","de.lex.haus","house","Haus","das","",""
"w0009","de.lex.wohnung","apartment","Wohnung","die","",""
"w0010","de.lex.zimmer","room","Zimmer","das","",""
"w0011","de.lex.tuer","door","Tür","die","",""
"w0012","de.lex.fenster","window","Fenster","das","",""
"w0013","de.lex.tisch","table","Tisch","der","",""
"w0014","de.lex.stuhl","chair","Stuhl","der","",""
"w0015","de.lex.bett","bed","Bett","das","",""
"w0016","de.lex.stadt","city","Stadt","die","",""
"w0017","de.lex.strasse.street","street","Straße","die","",""
"w0018","de.lex.bahnhof.station","station","Bahnhof","der","",""
"w0019","de.lex.flughafen","airport","Flughafen","der","",""
"w0020","de.lex.zug","train","Zug","der","",""
"w0021","de.lex.auto","car","Auto","das","",""
"w0022","de.lex.fahrrad.bike","bike","Fahrrad","das","",""
"w0023","de.lex.fahrkarte","ticket","Fahrkarte","die","",""
"w0024","de.lex.geld","money","Geld","das","",""
"w0025","de.lex.karte","card","Karte","die","",""
"w0026","de.lex.rechnung.bill","bill","Rechnung","die","",""
"w0027","de.lex.essen.food","food","Essen","das","",""
"w0028","de.lex.wasser","water","Wasser","das","",""
"w0029","de.lex.kaffee","coffee","Kaffee","der","",""
"w0030","de.lex.bier","beer","Bier","das","",""
"w0031","de.lex.wein","wine","Wein","der","",""
"w0032","de.lex.brot","bread","Brot","das","",""
"w0033","de.lex.fruehstueck","breakfast","Frühstück","das","",""
"w0034","de.lex.mittagessen","lunch","Mittagessen","das","",""
"w0035","de.lex.abendessen","dinner","Abendessen","das","",""
"w0036","de.lex.tag","day","Tag","der","",""
"w0037","de.lex.woche","week","Woche","die","",""
"w0038","de.lex.monat","month","Monat","der","",""
"w0039","de.lex.jahr","year","Jahr","das","",""
"w0040","de.lex.zeit","time","Zeit","die","",""
"w0041","de.lex.moment","moment","Moment","der","",""
"w0042","de.lex.frage","question","Frage","die","",""
"w0043","de.lex.antwort.answer","answer","Antwort","die","",""
"w0044","de.lex.problem","problem","Problem","das","",""
"w0045","de.lex.loesung","solution","Lösung","die","",""
"w0046","de.lex.idee","idea","Idee","die","",""
"w0047","de.lex.gedanke","thought","Gedanke","der","",""
"w0048","de.lex.gefuehl","feeling","Gefühl","das","",""
"w0049","de.lex.angst","fear","Angst","die","",""
"w0050","de.lex.liebe","love","Liebe","die","",""
"w0051","de.lex.vertrauen","trust","Vertrauen","das","",""
"w0052","de.lex.klarheit","clarity","Klarheit","die","",""
"w0053","de.lex.sicherheit","safety","Sicherheit","die","",""
"w0054","de.lex.grenze.boundary","boundary","Grenze","die","",""
"w0055","de.lex.entscheidung","decision","Entscheidung","die","",""
"w0056","de.lex.verantwortung","responsibility","Verantwortung","die","",""
"w0057","de.lex.wahrheit","truth","Wahrheit","die","",""
"w0058","de.lex.gespraech","conversation","Gespräch","das","",""
"w0059","de.lex.konflikt","conflict","Konflikt","der","",""
"w0060","de.lex.fehler.mistake","mistake","Fehler","der","",""
"w0061","de.lex.grund","reason","Grund","der","",""
"w0062","de.lex.situation","situation","Situation","die","",""
"w0063","de.lex.zustand","state / condition","Zustand","der","",""
"w0064","de.lex.richtung","direction","Richtung","die","",""
"w0065","de.lex.plan","plan","Plan","der","",""
"w0066","de.lex.arbeit","work","Arbeit","die","",""
"w0067","de.lex.aufgabe","task","Aufgabe","die","",""
"w0068","de.lex.projekt","project","Projekt","das","",""
"w0069","de.lex.modell","model","Modell","das","",""
