"lexeme_id","english","target","article","pos","sense","level","rank","tags"
"de.lex.3d-druck","3D printing","3D-Druck","der","noun","","","",""
"de.lex.abbestellen","to unsubscribe","abbestellen","","verb","","","",""
"de.lex.abbrechen","to break off","abbrechen","","verb","","","",""
"de.lex.abend","evening","Abend","der","noun","","","",""
"de.lex.abendessen","dinner","Abendessen","das","noun","","","",""
"de.lex.abendroutine","evening routine","Abendroutine","die","noun","","","",""
"de.lex.abends","in the evening","abends","","word","","","",""
"de.lex.abenteuer","the adventure","Abenteuer","das","noun","","","",""
"de.lex.aber","but","aber","","function","","","",""
"de.lex.abfahren","to depart","abfahren","","verb","","","",""
"de.lex.abgeben","to hand in","abgeben","","verb","","","",""
"de.lex.abgemacht","That's a deal.","Abgemacht!","","noun","","","",""
"de.lex.abgesagt-werden","to be cancelled","abgesagt werden","","phrase","","","",""
"de.lex.abholen","to pick up","abholen","","verb","","","",""
"de.lex.ablehnen.refuse","to refuse","ablehnen","","verb","refuse","","",""
"de.lex.ablehnen.reject","to reject","ablehnen","","verb","reject","","",""
"de.lex.abnehmen","to lose weight","abnehmen","","verb","","","",""
"de.lex.abonnement","subscription","Abonnement","das","noun","","","",""
"de.lex.abonnieren","to subscribe","abonnieren","","verb","","","",""
"de.lex.absagen-stornieren","to cancel","absagen / stornieren","","phrase","","","",""
"de.lex.absatz","paragraph","Absatz","der","noun","","","",""
"de.lex.abschliessend","To conclude...","Abschließend...","","noun","","","",""
"de.lex.abschluss","degree","Abschluss","der","noun","","","",""
"de.lex.abschlussarbeit","thesis","Abschlussarbeit","die","noun","","","",""
"de.lex.abschlussfeier","graduation ceremony","Abschlussfeier","die","noun","","","",""
"de.lex.abschnitt","the section","Abschnitt","der","noun","","","",""
"de.lex.absichtlich","on purpose","absichtlich","","word","","","",""
"de.lex.acht","eight","acht","","word","","","",""
"de.lex.achtzig","eighty","achtzig","","word","","","",""
"de.lex.adler","eagle","Adler","der","noun","","","",""
"de.lex.adresse","address","Adresse","die","noun","","","",""
"de.lex.aehnlichkeit","similarity","Ähnlichkeit","die","noun","","","",""
"de.lex.aendern","to change","ändern","","verb","","","",""
"de.lex.aenderung","change","Änderung","die","noun","","","",""
"de.lex.aengstlich","afraid / anxious","ängstlich","","word","","","",""
"de.lex.aerztin","doctor (f)","Ärztin","die","noun","","","",""
"de.lex.aeusserst","extremely","äußerst","","word","","","",""
"de.lex.affe","monkey","Affe","der","noun","","","",""
"de.lex.aktion","the action","Aktion","die","noun","","","",""
"de.lex.aktiv","active","aktiv","","word","","","",""
"de.lex.aktivitaet","the activity","Aktivität","die","noun","","","",""
"de.lex.aktualisieren","to update","aktualisieren","","verb","","","",""
"de.lex.aktualisierung","update","Aktualisierung","die","noun","","","",""
"de.lex.aktuell","current/topical","aktuell","","word","","","",""
"de.lex.akzeptieren-annehmen","to accept","akzeptieren / annehmen","","phrase","","","",""
"de.lex.algorithmus","algorithm","Algorithmus","der","noun","","","",""
"de.lex.alle-haende-voll-zu-tun-haben","to have one's hands full","alle Hände voll zu tun haben","","phrase","","","",""
"de.lex.alle-jubeljahre-einmal","once in a blue moon","alle Jubeljahre einmal","","phrase","","","",""
"de.lex.allein","alone","allein","","word","","","",""
"de.lex.allergie","allergy","Allergie","die","noun","","","",""
"de.lex.alles","everything","alles","","function","","","",""
"de.lex.alles-auf-eine-karte-setzen","to put all eggs in one basket","alles auf eine Karte setzen","","phrase","","","",""
"de.lex.alles-ausplaudern","to spill the beans","alles ausplaudern","","phrase","","","",""
"de.lex.alles-gute-zum-geburtstag","Happy birthday!","Alles Gute zum Geburtstag!","","phrase","","","",""
"de.lex.alles-in-allem","All things considered...","Alles in allem...","","phrase","","","",""
"de.lex.allmaehlich","gradually","allmählich","","word","","","",""
"de.lex.als","when (past)","als","","word","","","",""
"de.lex.als-ich-jung-war-spielte-ich-fussball","When I was young, I played football.","Als ich jung war, spielte ich Fußball.","","phrase","","","",""
"de.lex.also","so/therefore","also","","word","","","",""
"de.lex.alt","old","alt","","word","","","",""
"de.lex.alt-aelter-am-aeltesten","old – older – oldest","alt – älter – am ältesten","","phrase","","","",""
"de.lex.am-anfang","at the beginning","am Anfang","","phrase","","","",""
"de.lex.am-ende","at the end","am Ende","","phrase","","","",""
"de.lex.am-fluss","near the river","am Fluss","","phrase","","","",""
"de.lex.am-groessten","the biggest","am größten","","phrase","","","",""
"de.lex.am-meer","by the sea","am Meer","","phrase","","","",""
"de.lex.am-meisten","most of all","am meisten","","phrase","","","",""
"de.lex.am-montag","on Monday","am Montag","","phrase","","","",""
"de.lex.am-montag-haben-wir-unterricht","On Monday we have class.","Am Montag haben wir Unterricht.","","phrase","","","",""
"de.lex.am-wochenende","on the weekend","am Wochenende","","phrase","","","",""
"de.lex.ameise","ant","Ameise","die","noun","","","",""
"de.lex.ampel","traffic light","Ampel","die","noun","","","",""
"de.lex.an","at / on / to","an","","function","","","",""
