"english","target","article","hint","source"
"the bee","Biene","die","Hook: bee → Biene.","Maja is a young bee."
"the beehive","Bienenstock","der","Bienen + Stock (stick/stock): the bees' house.","She was born in a big beehive."
"to be born","geboren werden","","geboren: past participle of gebären; used with werden.","She was born in a big beehive."
"the unrest","Unruhe","die","un + Ruhe (rest, calm): the opposite of calm.","There was great unrest in the hive that day."
"the nation / people","Volk","das","Hook: folk → Volk.","Half the bee nation wanted to leave the city."
"to leave (a place)","verlassen","","No preposition: ich verlasse die Stadt.","Half the bee nation wanted to leave the city."
"to take care of","sich kümmern um","","Reflexive + um + accusative.","An old bee took care of little Maja."
"the (female) teacher","Lehrerin","die","Lehrer + in = female form. lehren = to teach.","Kassandra was Maja's first teacher."
"the world","Welt","die","Hook: world → Welt.","She showed Maja the world of the bees."
"the honey","Honig","der","Hook: honey → Honig.","A bee must collect honey and be diligent."
"diligent / hard-working","fleißig","","Der Fleiß = diligence; a classic German virtue word.","A bee must collect honey and be diligent."
"to fly","fliegen","","Hook: fly → fliegen. fliegt – flog – geflogen.","Maja learned to fly on the first morning."
"the wing","Flügel","der","From fliegen: the thing you fly with. A grand piano is also ein Flügel.","Her wings carried her into the warm air."
"the air","Luft","die","Lufthansa = air company.","Her wings carried her into the warm air."
"the sun","Sonne","die","Hook: sun → Sonne.","The sun was shining, and the world was wide."
"wide","weit","","Hook: wide → weit.","The sun was shining, and the world was wide."
"the flower","Blume","die","Hook: bloom → Blume.","Maja saw the flowers and the green meadows."
"the meadow","Wiese","die","","Maja saw the flowers and the green meadows."
"to smell","riechen","","riecht – roch – gerochen. Hook: reek (to smell strongly).","Everything smelled sweet and new."
"sweet","süß","","Hook: sweet → süß.","Everything smelled sweet and new."
"to warn","warnen","","Hook: warn → warnen. warnen vor + dative.","Kassandra warned her about the enemies of the bees."
"the enemy","Feind","der","Hook: fiend → Feind. Friend and fiend: one letter apart.","Kassandra warned her about the enemies of the bees."
"to fear","fürchten","","Hook: fright → Furcht.","Fear the hornets most of all, she said."
"the hornet","Hornisse","die","Hook: hornet → Hornisse.","Fear the hornets most of all, she said."
"the robber","Räuber","der","Hook: robber → Räuber.","The hornets are the strongest robbers."
"to listen","zuhören","","Separable: ich höre zu. Hook: hear → hören.","Maja listened, but her heart wanted something else."
"the heart","Herz","das","Hook: heart → Herz.","Maja listened, but her heart wanted something else."
"the freedom","Freiheit","die","Hook: free → frei; -heit makes it a noun.","Freedom made her happy and a little afraid."
"happy","glücklich","","Das Glück = luck AND happiness in one word.","Freedom made her happy and a little afraid."
"tired","müde","","","In the evening she was tired from flying."
"to sleep","schlafen","","Hook: sleep → schlafen. schläft – schlief – geschlafen.","She slept in a big blue flower."
"cool","kühl","","Hook: cool → kühl.","The night was cool, but the flower was soft."
"soft","weich","","","The night was cool, but the flower was soft."
"to wake (someone)","wecken","","Hook: wake → wecken. Der Wecker = alarm clock.","In the morning the sun woke her."
"the dew","Tau","der","Hook: dew → Tau (same short sound).","A drop of dew was hanging on a leaf."
"the leaf","Blatt","das","Also a sheet of paper: ein Blatt Papier.","A drop of dew was hanging on a leaf."
"the face","Gesicht","das","sehen → Sicht → Gesicht: the thing that sees.","Maja drank and washed her face."
"to know (facts)","wissen","","weiß – wusste – gewusst. Hook: wise → wissen.","I want to know everything, she said to herself."
"the adventure","Abenteuer","das","Hook: adventure → Abenteuer.","Every day brought a new adventure."
"the home / homeland","Heimat","die","Untranslatable German favourite; heim = home.","Home stays in the heart, even far away."
"brave","mutig","","Der Mut = courage. Hook: mood → Mut.","Maja was small, but she was brave."
"to begin","anfangen","","Separable: fängt an, fing an, hat angefangen.","Her story was only just beginning."
