word_id,english,target,article,plural,type,level,tags,hint
g001,to be allowed to / may,dürfen,,,modal infinitive,A1,modal;grammar,nicht dürfen = must not / not allowed to
g002,to be able to / can,können,,,modal infinitive,A1,modal;grammar,Modal verb in position 2; main verb at the end.
g003,to have to / must,müssen,,,modal infinitive,A1,modal;grammar,nicht müssen = do not have to.
g004,to want to,wollen,,,modal infinitive,A1,modal;grammar,ich will = I want to.
g005,to be supposed to / should,sollen,,,modal infinitive,A2,modal;grammar,soll ich...? = am I supposed to...?
g006,to like / may,mögen,,,modal infinitive,A2,modal;grammar,Also appears as möchten = would like.
g007,would like,möchten,,,modal form,A1,modal;polite,Polite wish form: ich möchte.
g008,I may / I am allowed to,ich darf,,,modal form,A1,modal;present,ich and er/sie/es have the same modal stem form.
g009,you may / you are allowed to,du darfst,,,modal form,A1,modal;present,du-form usually adds -st.
g010,he may / he is allowed to,er darf,,,modal form,A1,modal;present,Same form as ich: darf.
g011,we may / we are allowed to,wir dürfen,,,modal form,A1,modal;present,Plural form matches infinitive.
g012,I can,ich kann,,,modal form,A1,modal;present,können loses umlaut in ich/er form.
g013,you can,du kannst,,,modal form,A1,modal;present,du + kannst.
g014,he can,er kann,,,modal form,A1,modal;present,Same form as ich: kann.
g015,we can,wir können,,,modal form,A1,modal;present,Plural keeps können.
g016,I must / I have to,ich muss,,,modal form,A1,modal;present,müssen loses umlaut in ich/er form.
g017,you must / you have to,du musst,,,modal form,A1,modal;present,du + musst.
g018,we must / we have to,wir müssen,,,modal form,A1,modal;present,Plural keeps müssen.
g019,I want to,ich will,,,modal form,A1,modal;present,wollen is irregular: ich will.
g020,you want to,du willst,,,modal form,A1,modal;present,du + willst.
g021,we want to,wir wollen,,,modal form,A1,modal;present,Plural matches infinitive.
g022,I should / I am supposed to,ich soll,,,modal form,A2,modal;present,sollen: ich soll.
g023,you should / you are supposed to,du sollst,,,modal form,A2,modal;present,du + sollst.
g024,we should / we are supposed to,wir sollen,,,modal form,A2,modal;present,Plural matches infinitive.
g025,must not / not allowed to,nicht dürfen,,,modal phrase,A2,modal;negation,Prohibition: not allowed to.
g026,do not have to,nicht müssen,,,modal phrase,A2,modal;negation,No obligation: you do not have to.
g027,would be,wäre,,,konjunktiv ii form,A2,konjunktiv;conditional,Konjunktiv II of sein.
g028,you would be,wärst,,,konjunktiv ii form,A2,konjunktiv;conditional,du-form of wäre.
g029,we/they would be,wären,,,konjunktiv ii form,A2,konjunktiv;conditional,Plural form of wäre.
g030,would have,hätte,,,konjunktiv ii form,A2,konjunktiv;conditional,Konjunktiv II of haben.
g031,you would have,hättest,,,konjunktiv ii form,A2,konjunktiv;conditional,du-form of hätte.
g032,we/they would have,hätten,,,konjunktiv ii form,A2,konjunktiv;conditional,Plural form of hätte.
g033,would do / would,würde,,,konjunktiv ii form,A2,konjunktiv;conditional,würde + infinitive.
g034,you would,würdest,,,konjunktiv ii form,A2,konjunktiv;conditional,du-form of würde.
g035,we/they would,würden,,,konjunktiv ii form,A2,konjunktiv;conditional,Plural form of würde.
g036,could,könnte,,,konjunktiv ii modal,A2,konjunktiv;modal,Konjunktiv II of können.
g037,would have to,müsste,,,konjunktiv ii modal,A2,konjunktiv;modal,Konjunktiv II of müssen.
g038,should / was supposed to,sollte,,,konjunktiv ii modal,A2,konjunktiv;modal,Konjunktiv II / preterite-like form of sollen.
g039,would be allowed to,dürfte,,,konjunktiv ii modal,B1,konjunktiv;modal,Konjunktiv II of dürfen.
g040,would have had to,hätte müssen,,,konjunktiv ii pattern,B1,konjunktiv;past;modal,Unfulfilled past obligation.
g041,should not have been allowed to,hätte nicht dürfen,,,konjunktiv ii pattern,B1,konjunktiv;past;modal,Past regret/prohibition pattern.
g042,have + past participle,haben + Partizip II,,,grammar pattern,A2,perfekt;past,Most verbs use haben in Perfekt.
g043,be + past participle,sein + Partizip II,,,grammar pattern,A2,perfekt;past,Movement/change verbs often use sein.
g044,past participle,Partizip II,,,grammar term,A2,perfekt;past,The past participle goes to the end.
g045,regular participle pattern,ge + Stamm + t,,,grammar pattern,A2,perfekt;regular,sagen → gesagt.
