english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
trust,Vertrauen,das,,noun,neutral,relationship;noun,Usually singular,,true,A1,,
boundary,Grenze,die,Grenzen,noun,neutral,relationship;noun,,,true,A2,,
closeness,Nähe,die,,noun,neutral,relationship;noun,Usually singular,,true,A2,,
distance,Distanz,die,Distanzen,noun,neutral,relationship;noun,,Abstand,true,A2,,
fear,Angst,die,Ängste,noun,neutral,relationship;noun,,,true,A1,,
security / safety,Sicherheit,die,Sicherheiten,noun,neutral,relationship;noun,,,true,A1,,
responsibility,Verantwortung,die,Verantwortungen,noun,neutral,relationship;noun,,,true,A2,,
decision,Entscheidung,die,Entscheidungen,noun,neutral,relationship;noun,,,true,A2,,
clarity,Klarheit,die,,noun,neutral,relationship;noun,,,true,B1,,
honesty,Ehrlichkeit,die,,noun,neutral,relationship;noun,,,true,B1,,
attachment / bond,Bindung,die,Bindungen,noun,neutral,relationship;noun,,,true,B1,,
dynamic,Dynamik,die,Dynamiken,noun,neutral,relationship;noun,,,true,B1,,
pattern,Muster,das,Muster,noun,neutral,relationship;noun,,,true,A2,,
injury / wound,Verletzung,die,Verletzungen,noun,neutral,relationship;noun,,,true,B1,,
shame,Scham,die,,noun,neutral,relationship;noun,,,true,B1,,
to build trust,Vertrauen aufbauen,,,expression,neutral,relationship;verb,,,false,A2,,
to lose trust,Vertrauen verlieren,,,expression,neutral,relationship;verb,,,false,A2,,
to set a boundary,eine Grenze setzen,,,expression,neutral,relationship;boundary,,,false,A2,,
to respect a boundary,eine Grenze respektieren,,,expression,neutral,relationship;boundary,,,false,A2,,
to need space,Raum brauchen,,,expression,natural,relationship;boundary,,Abstand brauchen,false,B1,,
to come closer,näher kommen,,,expression,neutral,relationship;closeness,,,false,A2,,
to pull away,sich zurückziehen,,,expression,neutral,relationship;distance,,,false,B1,,
to shut down,zumachen,,,expression,colloquial,relationship;emotion,,sich verschließen,false,B1,,
to be overwhelmed,überfordert sein,,,expression,neutral,relationship;emotion,,,false,B1,,
to be hurt,verletzt sein,,,expression,neutral,relationship;emotion,,,false,A2,,
to feel safe,sich sicher fühlen,,,expression,neutral,relationship;emotion,,,false,A2,,
to take responsibility,Verantwortung übernehmen,,,expression,neutral,relationship;responsibility,,,false,B1,,
to avoid responsibility,Verantwortung vermeiden,,,expression,neutral,relationship;responsibility,,,false,B1,,
to talk calmly,in Ruhe sprechen,,,expression,neutral,relationship;communication,,,false,A2,,
to clarify something calmly,etwas in Ruhe klären,,,expression,neutral,relationship;communication,,,false,B1,,
I care about you.,Du bist mir wichtig.,,,sentence,natural,relationship;emotion,,,false,A2,,
I want to understand you.,Ich möchte dich verstehen.,,,sentence,neutral,relationship;communication,,,false,A1,,
I do not want to blame you.,Ich möchte dir keinen Vorwurf machen.,,,sentence,neutral,relationship;communication,,,false,A2,,
I need you to communicate with me.,"Ich brauche, dass du mit mir kommunizierst.",,,sentence,neutral,relationship;communication,,,false,B1,,
I cannot read your mind.,Ich kann deine Gedanken nicht lesen.,,,sentence,neutral,relationship;communication,,,false,B1,,
"If something is wrong, please tell me.","Wenn etwas nicht stimmt, sag es mir bitte.",,,sentence,neutral,relationship;communication,,,false,A2,,
"If you need space, say that clearly.","Wenn du Abstand brauchst, sag es klar.",,,sentence,neutral,relationship;boundary,,,false,B1,,
I can stay with you even if you cannot talk yet.,"Ich kann bei dir bleiben, auch wenn du noch nicht sprechen kannst.",,,sentence,neutral,relationship;support,,,false,B1,,
But I need at least a small signal.,Aber ich brauche zumindest ein kleines Signal.,,,sentence,neutral,relationship;boundary,,,false,B1,,
I do not want to be punished with silence.,Ich möchte nicht mit Schweigen bestraft werden.,,,sentence,neutral,relationship;boundary,,,false,B1,,
I am not your opponent.,Ich bin nicht dein Gegner.,,,sentence,neutral,relationship;conflict,,,false,A2,,
We are not on opposite sides.,Wir stehen nicht auf verschiedenen Seiten.,,,sentence,neutral,relationship;conflict,,,false,B1,,
I want us to be on the same side.,"Ich möchte, dass wir auf derselben Seite stehen.",,,sentence,neutral,relationship;conflict,,,false,B1,,
"I love you, but I also need safety.","Ich liebe dich, aber ich brauche auch Sicherheit.",,,sentence,neutral,relationship;boundary,,,false,A2,,
Love alone is not enough without a safe way to handle conflict.,Liebe allein reicht nicht ohne einen sicheren Umgang mit Konflikten.,,,sentence,neutral,relationship;conflict,,,false,B2,,
