"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","At three o'clock exactly I was in Baker Street, but Holmes had not yet returned.","Um Punkt drei Uhr war ich in der Baker Street, doch Holmes war noch nicht zurück.","","","Um Punkt drei Uhr war ich in der Baker Street,|doch Holmes war noch nicht zurück.","","Extended"
"s002","2","1","The landlady informed me that he had left the house shortly after eight that morning.","Die Hauswirtin informierte mich, daß er das Haus kurz nach acht Uhr morgens verlassen hatte.","","","Die Hauswirtin informierte mich,|daß er das Haus kurz nach acht Uhr morgens verlassen hatte.","","Extended"
"s003","3","1","I nevertheless sat down beside the fire, intending to wait for him however long it might take.","Ich setzte mich dennoch neben den Kamin, in der Absicht, auf ihn zu warten, wie lange es auch dauern würde.","","","Ich setzte mich dennoch neben den Kamin,|in der Absicht,|auf ihn zu warten,|wie lange es auch dauern würde.","","Extended"
"s004","4","1","My interest in his current investigation was already at its height, for although it lacked the grim and strange features of the two crimes I had already recorded, the nature of the case and the exalted position of his client gave it a character all its own.","Mein Interesse an seiner gegenwärtigen Ermittlung war schon aufs höchste geweckt, denn obwohl sie keine solch grausigen und seltsamen Merkmale aufwies wie die beiden Verbrechen, über die ich schon berichtet habe, gaben ihr die Art des Falles und die erlauchte Stellung seines Klienten doch einen ganz eigenen Charakter.","","","Mein Interesse an seiner gegenwärtigen Ermittlung war schon aufs höchste geweckt,|denn obwohl sie keine solch grausigen|und seltsamen Merkmale aufwies wie die beiden Verbrechen,|über die ich schon berichtet habe,|gaben ihr die Art des Falles|und die erlauchte Stellung seines Klienten|doch einen ganz eigenen Charakter.","","Extended"
"s005","5","1","And quite apart from the nature of the investigation in which my friend was engaged, there was something in his masterly grasp of a situation and his keen, penetrating reasoning that made it a pleasure for me to study his methods and follow the quick, subtle means by which he unravelled even the most obscure mysteries.","Und vom Wesen der Ermittlung, mit der mein Freund gerade beschäftigt war, einmal ganz abgesehen, war da etwas an seinem souveränen Erfassen einer Situation und seinem scharfsinnigen und alles durchdringenden Denken, das es mir zu einer Freude machte, seine Arbeitsweise zu studieren und die flinken, subtilen Methoden zu verfolgen, mit denen er selbst die undurchschaubarsten Rätsel entwirrte.","","","Und vom Wesen der Ermittlung,|mit der mein Freund gerade beschäftigt war,|einmal ganz abgesehen,|war da etwas an seinem souveränen Erfassen einer Situation|und seinem scharfsinnigen und alles durchdringenden Denken,|das es mir zu einer Freude machte,|seine Arbeitsweise zu studieren und die flinken,|subtilen Methoden zu verfolgen,|mit denen er selbst die undurchschaubarsten Rätsel entwirrte.","","Extended"
"s006","6","1","I had grown so accustomed to his inevitable success that the mere possibility of his failing no longer entered my mind.","Ich war derart an seinen unweigerlichen Erfolg gewöhnt, daß mir die bloße Möglichkeit seines Versagens schon gar nicht mehr in den Sinn kam.","","","Ich war derart an seinen unweigerlichen Erfolg gewöhnt,|daß mir die bloße Möglichkeit seines Versagens schon gar nicht|mehr in den Sinn kam.","","Extended"
"s007","7","1","It was close to four when the door opened and a drunken-looking groom with untidy side-whiskers, a red face, and shabby clothes entered the room.","Es war schon kurz vor vier, als die Tür aufging und ein betrunken wirkender Stallknecht mit ungepflegten Koteletten, gerötetem Gesicht und schäbiger Kleidung ins Zimmer kam.","","","Es war schon kurz vor vier,|als die Tür aufging und ein betrunken wirkender Stallknecht mit ungepflegten Koteletten,|gerötetem Gesicht und schäbiger Kleidung ins Zimmer kam.","de.subordinate.als","Extended"
"s008","8","1","Accustomed as I was to my friend's astonishing skill with disguises, I still had to look three times to convince myself that it was really he.","So sehr ich an die erstaunlichen Fähigkeiten meines Freundes im Gebrauch von Verkleidungen gewöhnt war, mußte ich doch dreimal hinschauen, um mich zu überzeugen, daß es wirklich er war.","","","So sehr ich an die erstaunlichen Fähigkeiten meines Freundes im|Gebrauch von Verkleidungen gewöhnt war,|mußte ich doch dreimal hinschauen,|um mich zu überzeugen,|daß es wirklich er war.","de.um-zu","Extended"
"s009","9","1","With a nod he vanished into the bedroom, from which he emerged five minutes later in a tweed suit, respectable as ever.","Mit einem Nicken verschwand er im Schlafzimmer, aus dem er fünf Minuten später im Tweedanzug und respektabel wie eh und je wieder erschien.","","","Mit einem Nicken verschwand er im Schlafzimmer,|aus dem er fünf Minuten später im Tweedanzug|und respektabel wie eh und je wieder erschien.","","Extended"
"s010","10","1","With his hands in his pockets, he stretched his legs out before the fire and laughed heartily for several minutes.","Die Hände in den Taschen, streckte er die Beine vor dem Feuer aus und lachte ein paar Minuten lang herzlich.","","","Die Hände in den Taschen,|streckte er die Beine vor dem Feuer aus|und lachte ein paar Minuten lang herzlich.","","Extended"
"s011","11","1","“Well, really!” he cried, then gasped and laughed again until at last he had to collapse limply and helplessly into the armchair.","»Also, so was!« rief er, dann keuchte und lachte er aufs neue, bis er sich schließlich schlaff und hilflos im Sessel zurücklegen mußte.","","","»Also,|so was!« rief er,|dann keuchte und lachte er aufs neue,|bis er sich schließlich schlaff|und hilflos im Sessel zurücklegen mußte.","","Extended"
"s012","12","1","“What is the matter?”","»Was ist denn los?«","","","»Was ist denn los?«","","Extended"
"s013","13","1","“It is simply too funny.","»Es ist einfach zu komisch.","","","»Es ist einfach zu komisch.","","Extended"
"s014","14","1","I am sure you could never guess how I spent my morning, or what I ended up doing.”","Ich bin sicher, Sie würden nie erraten, womit ich meinen Vormittag zugebracht habe, oder was ich schließlich getan habe.«","","","Ich bin sicher,|Sie würden nie erraten,|womit ich meinen Vormittag zugebracht habe,|oder was ich schließlich getan habe.«","","Extended"
"s015","15","1","“I have no idea.","»Ich habe keine Ahnung.","","","»Ich habe keine Ahnung.","","Extended"
"s016","16","1","I suppose you have been investigating the habits, and perhaps the house, of Miss Irene Adler.”","Ich nehme an, Sie haben die Gewohnheiten und vielleicht auch das Haus von Miß Irene Adler ausgekundschaftet.«","","","Ich nehme an,|Sie haben die Gewohnheiten und vielleicht auch das Haus von|Miß Irene Adler ausgekundschaftet.«","","Extended"
"s017","17","1","“Exactly; but what followed was rather unusual.","»Genau das; aber was danach kam, war ziemlich ungewöhnlich.","","","»Genau das;|aber was danach kam,|war ziemlich ungewöhnlich.","","Extended"
"s018","18","1","I shall tell you about it.","Ich will es Ihnen erzählen.","","","Ich will es Ihnen erzählen.","de.modal.infinitive-final","Extended"
"s019","19","1","I left the house shortly after eight this morning in the role of an unemployed groom.","Ich bin heute morgen kurz nach acht aus dem Haus, in der Rolle eines arbeitslosen Stallburschen.","","","Ich bin heute morgen kurz nach acht aus dem Haus,|in der Rolle eines arbeitslosen Stallburschen.","","Extended"
"s020","20","1","There is a wonderful fellowship and freemasonry among horsemen.","Es gibt eine wunderbare Kameradschaft und Freimaurerei unter den Pferdeleuten.","","","Es gibt eine wunderbare Kameradschaft und Freimaurerei unter den Pferdeleuten.","","Extended"
"s021","21","1","Be one of them and you will learn everything there is to know.","Seien Sie einer von ihnen, und Sie werden alles wissen, was es zu wissen gibt.","","","Seien Sie einer von ihnen,|und Sie werden alles wissen,|was es zu wissen gibt.","","Extended"
"s022","22","1","I soon found Briony Lodge.","Die Briony Lodge habe ich schnell gefunden.","","","Die Briony Lodge habe ich schnell gefunden.","","Extended"
"s023","23","1","It is a jewel of a villa with a garden behind it, but in front it comes right up to the street, two storeys high.","Es ist ein Schmuckstück von einer Villa mit einem Garten dahinter, aber vorne reicht sie bis ganz an die Straße, zwei Stockwerke.","","","Es ist ein Schmuckstück von einer Villa mit einem Garten dahinter,|aber vorne reicht sie bis ganz an die Straße, zwei Stockwerke.","","Extended"
"s024","24","1","A security lock on the door.","Sicherheitsschloß an der Tür.","","","Sicherheitsschloß an der Tür.","","Extended"
"s025","25","1","A large sitting room on the right, well furnished, with long windows almost to the floor and those ridiculous English window fasteners that a child could open.","Großes Wohnzimmer auf der rechten Seite, gut eingerichtet, mit langen Fenstern fast bis zum Boden und diesen lächerlichen englischen Fensterriegeln, die ein Kind aufbekommen würde.","","","Großes Wohnzimmer auf der rechten Seite, gut eingerichtet,|mit langen Fenstern fast bis zum Boden|und diesen lächerlichen englischen Fensterriegeln,|die ein Kind aufbekommen würde.","","Extended"
"s026","26","1","Inside there was nothing remarkable, except that the hall window could be reached from the roof of the coach-house.","Drinnen war nichts Bemerkenswertes, abgesehen davon, daß man vom Dach des Kutschenhauses aus das Flurfenster erreichen könnte.","","","Drinnen war nichts Bemerkenswertes, abgesehen davon,|daß man vom Dach des Kutschenhauses aus das Flurfenster erreichen könnte.","de.modal.infinitive-final","Extended"
"s027","27","1","I walked around and examined the house closely from every side, but without noticing anything else of interest.","Ich bin herumgegangen und habe mir das Haus von allen Seiten genau angesehen, aber ohne sonst noch etwas Interessantes zu bemerken.","","","Ich bin herumgegangen und habe mir das Haus von allen|Seiten genau angesehen,|aber ohne sonst noch etwas Interessantes zu bemerken.","","Extended"
"s028","28","2","Then I strolled down the street and discovered, as expected, that there was a stable in a lane running along one of the garden walls.","Dann bin ich die Straße entlanggeschlendert und habe entdeckt, daß sich wie erwartet in einer Gasse, die an einer der Gartenmauern entlangläuft, ein Stall befindet.","","","Dann bin ich die Straße entlanggeschlendert und habe entdeckt,|daß sich wie erwartet in einer Gasse,|die an einer der Gartenmauern entlangläuft,|ein Stall befindet.","","Extended"
"s029","29","2","I helped the grooms rub down their horses and in return received twopence, a glass of half-and-half, two fills of shag tobacco, and as much information about Miss Adler as I could wish for, not to mention half a dozen other people in the neighbourhood who did not interest me in the slightest but whose life stories I was nevertheless forced to hear.”","Ich habe den Stallknechten beim Striegeln ihrer Pferde geholfen und dafür zwei Pence, ein Glas Halb und Halb, zwei Füllungen Shag-Tabak und so viele Informationen über Miß Adler, wie ich mir nur wünschen konnte, erhalten, ganz zu schweigen von einem halben Dutzend anderer Leute aus der Nachbarschaft, die mich nicht im geringsten interessieren, aber deren Lebensgeschichten ich mir gezwungenermaßen trotzdem anhören mußte.«","","","Ich habe den Stallknechten beim Striegeln ihrer Pferde geholfen|und dafür zwei Pence,|ein Glas Halb und Halb,|zwei Füllungen Shag-Tabak und so viele Informationen über Miß Adler,|wie ich mir nur wünschen konnte, erhalten,|ganz zu schweigen von einem halben Dutzend anderer Leute aus der Nachbarschaft,|die mich nicht im geringsten interessieren,|aber deren Lebensgeschichten ich mir gezwungenermaßen trotzdem anhören mußte.«","de.modal.infinitive-final","Extended"
"s030","30","2","“And what is there to know about Irene Adler?” I asked.","»Und was gibt es über Irene Adler?« fragte ich.","","","»Und was gibt es über Irene Adler?« fragte ich.","","Extended"
"s031","31","2","“Oh, she has turned the heads of every man over there.","»Oh, sie hat sämtlichen Männern dort drüben den Kopf verdreht.","","","»Oh,|sie hat sämtlichen Männern dort drüben den Kopf verdreht.","","Extended"
"s032","32","2","She is the prettiest thing under a bonnet on this planet.","Sie ist das niedlichste Ding mit einer Haube auf diesem Planeten.","","","Sie ist das niedlichste Ding mit einer Haube auf diesem Planeten.","","Extended"
"s033","33","2","At least that is what the men at the Serpentine stables say.","Sagen jedenfalls die Männer in den Serpentine-Ställen.","","","Sagen jedenfalls die Männer in den Serpentine-Ställen.","","Extended"
"s034","34","2","She leads a quiet life, sings at concerts, drives out every day at five, and returns at exactly seven for dinner.","Sie führt ein ruhiges Leben, singt auf Konzerten, fährt jeden Tag um fünf spazieren und kommt um punkt sieben zum Abendessen zurück.","","","Sie führt ein ruhiges Leben,|singt auf Konzerten,|fährt jeden Tag um fünf spazieren|und kommt um punkt sieben zum Abendessen zurück.","","Extended"
