sentence_id,english,target,level,tags,hint
s001,The first thing there is the smell of blood and coffee.,Als Erstes ist da der Geruch von Blut und Kaffee.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s002,"The coffee machine is over there on the table, and the blood is in my shoes.","Die Kaffeemaschine steht drüben auf dem Tisch, und das Blut ist in meinen Schuhen.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s003,"To be honest, it is not only blood.","Um ehrlich zu sein, es ist nicht nur Blut.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s004,"When the older one said fourteen, I peed my pants.","Als der Ältere «vierzehn» gesagt hat, hab ich mir in die Hose gepisst.",B1,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s005,I had been hanging crookedly on the stool the whole time and had not moved.,Ich hab die ganze Zeit schräg auf dem Hocker gehangen und mich nicht gerührt.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s006,I felt dizzy.,Mir war schwindlig.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s007,"I tried to look the way I thought Tschick would probably look if someone said fourteen to him, and then I peed my pants from fear.","Ich hab versucht auszusehen, wie ich gedacht hab, dass Tschick wahrscheinlich aussieht, wenn einer «vierzehn» zu ihm sagt, und dann hab ich mir vor Angst in die Hose gepisst.",B2,literature;dialogue;colloquial,Quoted speech; watch colloquial contractions.
s008,"Maik Klingenberg, the hero.","Maik Klingenberg, der Held.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s009,"Besides, I really do not know why there is such a fuss now.","Dabei weiß ich gar nicht, warum jetzt die Aufregung.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s010,It was clear the whole time that it would end this way.,"War doch die ganze Zeit klar, dass es so endet.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s011,Tschick certainly did not pee his pants.,Tschick hat sich mit Sicherheit nicht in die Hose gepisst.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s012,Where is Tschick anyway?,Wo ist Tschick überhaupt?,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s013,"On the highway I still saw him hopping into the bushes on one leg, but I guess they got him too.","Auf der Autobahn hab ich ihn noch gesehen, wie er auf einem Bein ins Gebüsch gehüpft ist, aber ich schätze mal, sie haben ihn auch gekriegt.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s014,You do not get far with one leg.,Mit einem Bein kommt man nicht weit.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s015,Of course I cannot ask the police officers.,Fragen kann ich die Polizisten natürlich nicht.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s016,"Because if they have not seen him, it is logically better not to start with that at all.","Weil, wenn sie ihn nicht gesehen haben, ist es logisch besser, gar nicht damit anzufangen.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s017,Maybe they did not see him after all.,Vielleicht haben sie ihn ja nicht gesehen.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s018,And they certainly will not hear it from me.,Und von mir erfahren sie’s mit Sicherheit nicht.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s019,They can torture me for all I care.,Da können sie mich foltern.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s020,Although I think the German police are not allowed to torture anyone.,"Obwohl die deutsche Polizei, glaube ich, niemanden foltern darf.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s021,They are only allowed to do that on television and in Turkey.,Das dürfen die nur im Fernsehen und in der Türkei.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s022,"But sitting on the highway police station, soaked with pee and bloody, and answering questions about your parents is not exactly the greatest thing either.",Aber vollgeschifft und blutig auf der Station der Autobahnpolizei sitzen und Fragen nach den Eltern beantworten ist auch nicht gerade der ganz große Bringer.,B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s023,Maybe torture would even be quite pleasant; then at least I would have a reason for my agitation.,"Vielleicht wäre Foltern sogar ganz angenehm, dann hätte ich wenigstens einen Grund für meine Aufregung.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s024,"The best thing is to keep your mouth shut, Tschick said.","Das Beste ist Klappe halten, hat Tschick gesagt.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s025,And I see it exactly the same way.,Und das seh ich genauso.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s026,"Now, when everything does not matter anyway.","Jetzt, wo eh alles egal ist.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s027,And I do not care about anything.,Und mir ist alles egal.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s028,"Well, almost everything.","Na ja, fast alles.",A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s029,"Tatjana Cosic, for example, is of course not something I do not care about.",Tatjana Cosic zum Beispiel ist mir natürlich nicht egal.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s030,Although I have not thought about her for quite a long time now.,Obwohl ich jetzt schon ziemlich lange nicht mehr an sie gedacht habe.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s031,"But as I sit on this stool and outside the highway rushes past and the older police officer has been standing at the coffee machine over there for five minutes, filling water in and pouring it out again, pressing the switch and looking at the machine from underneath while any idiot can see that the extension-cord plug is not in, I have to think of Tatjana again.","Aber wo ich auf diesem Hocker sitze und draußen die Autobahn vorbeirauscht und der ältere Polizist steht seit fünf Minuten an der Kaffeemaschine dahinten und füllt Wasser ein und kippt es wieder aus, drückt auf den Schalter und schaut das Gerät von unten an, während jeder Depp sehen kann, dass der Stecker vom Verlängerungskabel nicht drin ist, da muss ich wieder an Tatjana denken.",C1,literature;narration;colloquial,Long sentence; identify the main verb first.
s032,"Because strictly speaking, I would not be here if Tatjana did not exist.","Denn genau genommen wäre ich nicht hier, wenn es Tatjana nicht gäbe.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s033,Although she has nothing to do with the whole thing.,Obwohl sie mit der ganzen Sache nichts zu tun hat.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s034,Is what I am saying unclear?,"Ist das unklar, was ich da rede?",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s035,"Yes, sorry.","Ja, tut mir leid.",A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s036,I will try it again later.,Ich versuch’s später nochmal.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s037,Tatjana does not appear in the whole story at all.,Tatjana kommt in der ganzen Geschichte überhaupt nicht vor.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s038,The most beautiful girl in the world does not appear.,Das schönste Mädchen der Welt kommt nicht vor.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s039,On the whole trip I always imagined that she could see us.,"Auf der ganzen Reise hab ich mir immer vorgestellt, dass sie uns sehen kann.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s040,How we peek out from the cornfield above.,Wie wir oben aus dem Kornfeld rausgucken.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s041,How we stand on the garbage hill with the bundle of hoses like total idiots . . .,Wie wir mit dem Bündel Schläuche auf dem Müllberg stehen wie die letzten Trottel . . .,B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s042,I always imagined Tatjana standing behind us and seeing what we see and being happy the way we are happy.,"Ich hab mir immer vorgestellt, Tatjana steht hinter uns und sieht, was wir sehen, und freut sich, wie wir uns freuen.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s043,But now I am glad that I only imagined it.,"Aber jetzt bin ich froh, dass ich mir das nur vorgestellt hab.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s044,The police officer pulls a green paper towel from a towel dispenser and gives it to me.,Der Polizist zieht ein grünes Papierhandtuch aus einem Handtuchspender und gibt es mir.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s045,What am I supposed to do with it?,Was soll ich damit?,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s046,Wipe the floor?,Den Boden aufwischen?,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s047,He touches his nose with two fingers and looks at me.,Er fasst mit zwei Fingern an seine Nase und sieht mich an.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s048,"Oh, I see.",Ach so.,A1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s049,Blow my nose.,Nase schnäuzen.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s050,"I blow my nose, and he smiles kindly.","Ich schnäuze mir die Nase, er lächelt freundlich.",A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s051,I can probably forget about the torture thing.,Das mit der Folter kann ich mir wohl abschminken.,B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s052,But where to put the tissue now?,Aber wohin jetzt mit dem Taschentuch?,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s053,I look around the floor searchingly.,Ich schaue suchend auf dem Boden herum.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s054,"The whole station is covered with gray linoleum, exactly the same as in the corridors to our gym.","Die ganze Station ist mit grauem Linoleum ausgelegt, genau das gleiche wie in den Gängen zu unserer Turnhalle.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s055,It smells a bit like that too.,Es riecht auch ein bisschen so.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s056,"Piss, sweat, and linoleum.","Pisse, Schweiß und Linoleum.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s057,"I see Wolkow, our sports teacher, springing through the corridors in a tracksuit, seventy years old, fit as a fiddle: Come on, boys! Hop, hop!","Ich sehe Wolkow, unseren Sportlehrer, im Trainingsanzug durch die Gänge federn, siebzig Jahre, durchtrainiert: Auf geht’s, Jungs! Hopp, hopp!",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s058,"The sound of his smacking steps on the floor, distant giggling from the girls’ changing room, and Wolkow’s glance over there.","Das Geräusch seiner schmatzenden Schritte auf dem Boden, fernes Gekicher aus der Mädchenumkleide und Wolkows Blick dorthin.",B2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s059,"I see the high windows, the benches, the rings on the ceiling that no one ever did gymnastics on.","Ich sehe die hohen Fenster, die Bänke, die Ringe an der Decke, an denen nie geturnt wurde.",B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s060,I see Natalie and Lena and Kimberley coming into the hall through the side entrance.,Ich sehe Natalie und Lena und Kimberley durch den Seiteneingang der Halle kommen.,B1,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
s061,And Tatjana in her green tracksuit.,Und Tatjana in ihrem grünen Trainingsanzug.,A2,literature;narration;colloquial,Spoken-style narrative; hab often stands for habe.
