"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","The man is called Mr Gray.","Der Mann heißt Herr Grau.","","","Der Mann|heißt|Herr Grau.","","A0.3"
"s002","2","1","He is the caretaker of number seventeen.","Er ist der Wächter von Nummer siebzehn.","","","Er|ist|der Wächter|von Nummer siebzehn.","","A0.3"
"s003","3","1","I wrote the letter, he says.","Ich habe den Brief geschrieben, sagt er.","","","Ich|habe|den Brief|geschrieben.","","A0.3"
"s004","4","1","Why is there no name on the letter? Emil asks.","Warum steht kein Name auf dem Brief? fragt Emil.","","","Warum|steht kein Name|auf dem Brief?|fragt Emil.","","A0.3"
"s005","5","1","Because someone could see the letter, says Mr Gray.","Weil jemand den Brief sehen kann, sagt Herr Grau.","After weil, the conjugated verb moves to the end.","","Weil|jemand den Brief|sehen kann,|sagt Herr Grau.","de.sub.weil","A0.3"
"s006","6","2","Mr Gray leads them into the courtyard.","Herr Grau führt sie in den Hof.","","","Herr Grau|führt sie|in den Hof.","","A0.3"
"s007","7","2","There is a small door there.","Dort ist eine kleine Tür.","","","Dort|ist|eine kleine Tür.","","A0.3"
"s008","8","2","The key fits.","Der Schlüssel passt.","","","Der Schlüssel|passt.","","A0.3"
"s009","9","2","Clara opens the door.","Clara öffnet die Tür.","","","Clara|öffnet|die Tür.","","A0.3"
"s010","10","2","Behind the door is an old storeroom.","Hinter der Tür ist ein altes Lager.","","","Hinter der Tür|ist|ein altes Lager.","de.wordorder.verb-second","A0.3"
"s011","11","3","A large box stands in the storeroom.","Im Lager steht eine große Kiste.","","","Im Lager|steht|eine große Kiste.","de.wordorder.verb-second","A0.3"
"s012","12","3","Three clocks lie in the box.","In der Kiste liegen drei Uhren.","","","In der Kiste|liegen|drei Uhren.","de.wordorder.verb-second","A0.3"
"s013","13","3","The clocks belong to the owner of the house.","Die Uhren gehören dem Besitzer des Hauses.","","","Die Uhren|gehören|dem Besitzer des Hauses.","","A0.3"
"s014","14","3","Someone wants to take them tonight.","Jemand will sie heute Nacht nehmen.","","","Jemand|will sie|heute Nacht|nehmen.","de.modal.infinitive-final","A0.3"
"s015","15","3","Mr Gray needs help.","Herr Grau braucht Hilfe.","","","Herr Grau|braucht|Hilfe.","","A0.3"
"s016","16","4","Emil makes a plan.","Emil macht einen Plan.","","","Emil|macht|einen Plan.","","A0.3"
"s017","17","4","Mr Gray closes the door.","Herr Grau schließt die Tür.","","","Herr Grau|schließt|die Tür.","","A0.3"
"s018","18","4","Clara stays in the house.","Clara bleibt im Haus.","","","Clara|bleibt|im Haus.","","A0.3"
"s019","19","4","Emil waits in the dark courtyard.","Emil wartet im dunklen Hof.","","","Emil|wartet|im dunklen Hof.","","A0.3"
"s020","20","4","The rain comes.","Der Regen kommt.","","","Der Regen|kommt.","","A0.3"
"s021","21","5","Shortly after eleven Emil hears footsteps.","Kurz nach elf hört Emil Schritte.","","","Kurz nach elf|hört Emil|Schritte.","de.wordorder.verb-second","A0.3"
"s022","22","5","A man walks quickly to the small door.","Ein Mann läuft zur kleinen Tür.","","","Ein Mann|läuft|zur kleinen Tür.","","A0.3"
"s023","23","5","He is wearing a wet shoe.","Er trägt einen nassen Schuh.","","","Er|trägt|einen nassen Schuh.","","A0.3"
"s024","24","5","A red thread is missing from his coat.","An seinem Mantel fehlt ein roter Faden.","","","An seinem Mantel|fehlt|ein roter Faden.","de.wordorder.verb-second","A0.3"
"s025","25","5","Emil calls Clara.","Emil ruft Clara.","","","Emil|ruft|Clara.","","A0.3"
"s026","26","6","Clara switches on the light.","Clara macht das Licht an.","","","Clara|macht|das Licht|an.","de.sep.prefix-split","A0.3"
"s027","27","6","The man is Clara’s new neighbour.","Der Mann ist Claras neuer Nachbar.","","","Der Mann|ist|Claras neuer Nachbar.","","A0.3"
"s028","28","6","He wanted to take the clocks.","Er wollte die Uhren nehmen.","","","Er|wollte|die Uhren|nehmen.","de.modal.infinitive-final","A0.3"
"s029","29","6","Mr Gray calls the police.","Herr Grau ruft die Polizei.","","","Herr Grau|ruft|die Polizei.","","A0.3"
"s030","30","6","Clara looks at Emil.","Clara sieht Emil an.","","","Clara|sieht|Emil|an.","de.sep.prefix-split","A0.3"
"s031","31","6","You really are a detective, she says.","Du bist wirklich ein Detektiv, sagt sie.","","","Du|bist wirklich|ein Detektiv,|sagt sie.","","A0.3"
"s032","32","6","Emil laughs.","Emil lacht.","","","Emil|lacht.","","A0.3"
"s033","33","6","That was only the first case.","Das war nur der erste Fall.","","","Das|war nur|der erste Fall.","","A0.3"
