"id","seq","scene","english","target","hint","explanation","chunks","pattern","level"
"s001","1","1","Maja is a young bee.","Maja ist eine junge Biene.","Hooks: young → jung, bee → Biene.","Adjective ending after an article: An adjective in front of a noun always takes an ending. After ein/eine the ending carries the gender information.","","de.adj.attributive-weak","A2"
"s002","2","1","She was born in a big beehive.","Sie wurde in einem großen Bienenstock geboren.","Passive with werden: wurde geboren = was born.","Passive with werden: werden is conjugated in second position, the past participle goes to the very end. Everything else sits between them.

Dative after a preposition: Some prepositions always take dative. The article changes, not the noun.","Sie wurde|in einem großen Bienenstock|geboren.","de.passive.werden|de.case.dat-after-prep","A2"
"s003","3","1","There was great unrest in the hive that day.","An diesem Tag herrschte große Unruhe im Stock.","herrschen = to reign/prevail; Unruhe = un + Ruhe (rest).","Verb in second position: When something other than the subject opens the sentence, the verb still comes second and the subject moves behind it.","An diesem Tag|herrschte|große Unruhe im Stock.","de.wordorder.verb-second","B1"
"s004","4","1","Half the bee nation wanted to leave the city.","Das halbe Bienenvolk wollte die Stadt verlassen.","verlassen = to leave (a place); no preposition.","Modal verb + infinitive at the end: The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","Das halbe Bienenvolk|wollte|die Stadt|verlassen.","de.modal.infinitive-final","B1"
"s005","5","1","An old bee took care of little Maja.","Eine alte Biene kümmerte sich um die kleine Maja.","sich kümmern um + accusative = to take care of.","Reflexive verb with accusative sich: The verb needs sich to be complete. It is not translated in English, and it is not optional.","","de.reflexive.accusative","B1"
"s006","6","1","Her name was Kassandra.","Sie hieß Kassandra.","heißen: hieß in the past.","","","","A2"
"s007","7","2","Kassandra was Maja's first teacher.","Kassandra war Majas erste Lehrerin.","Female teacher: Lehrer + in.","","","","A2"
"s008","8","2","She showed Maja the world of the bees.","Sie zeigte Maja die Welt der Bienen.","zeigen + dative person + accusative thing.","Genitive for possession: der/die/das becomes des/der, and masculine and neuter nouns add -s or -es.","","de.genitive.possession","A2"
"s009","9","2","A bee must collect honey and be diligent.","Eine Biene muss Honig sammeln und fleißig sein.","Hook: honey → Honig. Modal muss + infinitives at the end.","Modal verb + infinitive at the end: The modal takes the personal ending in second position; the main verb waits, unconjugated, at the end of the clause.","Eine Biene|muss|Honig sammeln und fleißig|sein.","de.modal.infinitive-final","A2"
"s010","10","2","Maja learned to fly on the first morning.","Maja lernte am ersten Morgen fliegen.","Hooks: morning → Morgen, fly → fliegen.","","","","A2"
