english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
That depends.,Das kommt darauf an.,,,phrase,natural,native;spoken,,,false,A2,,
Let’s see.,Mal sehen.,,,phrase,natural,native;spoken,,,false,A1,,
No idea.,Keine Ahnung.,,,phrase,natural,native;spoken,,,false,A1,,
That makes sense.,Das ergibt Sinn.,,,phrase,natural,native;spoken,,,false,A2,,
That does not make sense.,Das ergibt keinen Sinn.,,,phrase,natural,native;spoken,,,false,A2,,
I see what you mean.,"Ich verstehe, was du meinst.",,,sentence,natural,native;spoken,,,false,A2,,
I see it differently.,Ich sehe das anders.,,,sentence,natural,native;spoken,,,false,A2,,
That sounds good.,Das klingt gut.,,,sentence,natural,native;spoken,,,false,A1,,
That sounds difficult.,Das klingt schwierig.,,,sentence,natural,native;spoken,,,false,A2,,
Exactly.,Genau.,,,phrase,natural,native;spoken,,,false,A1,,
Not exactly.,Nicht ganz.,,,phrase,natural,native;spoken,,,false,A1,,
More or less.,Mehr oder weniger.,,,phrase,natural,native;spoken,,,false,A1,,
In any case.,Auf jeden Fall.,,,phrase,natural,native;spoken,,,false,A1,,
Anyway.,Jedenfalls.,,,phrase,natural,native;spoken,,,false,A2,,
By the way.,Übrigens.,,,phrase,natural,native;spoken,,,false,A2,,
Actually...,Eigentlich ...,,,phrase,natural,native;spoken,,,false,A1,,
To be honest...,Ehrlich gesagt ...,,,phrase,natural,native;spoken,,,false,A2,,
Honestly?,Ganz ehrlich?,,,phrase,natural,native;spoken,,,false,A2,,
I mean...,Ich meine ...,,,phrase,natural,native;spoken,,,false,A1,,
How should I put it?,Wie soll ich sagen?,,,phrase,natural,native;spoken,,,false,A2,,
It is hard to say.,Das ist schwer zu sagen.,,,sentence,natural,native;spoken,,,false,A2,,
It is not that simple.,So einfach ist das nicht.,,,sentence,natural,native;spoken,,,false,A2,,
That is the point.,Darum geht es.,,,sentence,natural,native;spoken,,,false,A2,,
That is not the point.,Darum geht es nicht.,,,sentence,natural,native;spoken,,,false,A2,,
That is the problem.,Das ist das Problem.,,,sentence,natural,native;spoken,,,false,A1,,
Not necessarily.,Nicht unbedingt.,,,phrase,natural,native;spoken,,,false,A2,,
Probably.,Wahrscheinlich.,,,word,neutral,native;spoken,,,false,A1,,
Apparently.,Anscheinend.,,,word,neutral,native;spoken,,,false,A2,,
Of course.,Natürlich.,,,word,neutral,native;spoken,,,false,A1,,
Unfortunately.,Leider.,,,word,neutral,native;spoken,,,false,A1,,
Luckily.,Zum Glück.,,,phrase,natural,native;spoken,,,false,A1,,
No worries.,Mach dir keine Sorgen.,,,sentence,natural,native;spoken,,,false,A2,,
Take your time.,Lass dir Zeit.,,,sentence,natural,native;spoken,,,false,A2,,
One moment.,Einen Moment.,,,phrase,natural,native;spoken,,,false,A1,,
Wait a second.,Warte kurz.,,,phrase,natural,native;spoken,,,false,A1,,
I will be right back.,Ich bin gleich zurück.,,,sentence,natural,native;spoken,,,false,A1,,
I do not want to overthink it.,Ich will mir da nicht zu viele Gedanken machen.,,,sentence,natural,native;thinking,,Ich möchte das nicht zerdenken.,false,B1,,
Do not get me wrong.,Versteh mich nicht falsch.,,,sentence,natural,native;communication,,,false,A2,,
That came across wrong.,Das kam falsch rüber.,,,sentence,natural,native;communication,,,false,B1,,
I did not mean it like that.,So habe ich das nicht gemeint.,,,sentence,natural,native;communication,,,false,A2,,
I need to think about it.,Ich muss darüber nachdenken.,,,sentence,natural,native;thinking,,,false,A2,,
Let us not make it too complicated.,Lass es uns nicht zu kompliziert machen.,,,sentence,natural,native;spoken,,,false,B1,,
It is fine for now.,Für den Moment ist es okay.,,,sentence,natural,native;spoken,,,false,A2,,
We will manage somehow.,Wir kriegen das schon hin.,,,sentence,colloquial,native;spoken,,Wir schaffen das schon.,false,B1,,
It will be alright.,Das wird schon.,,,phrase,natural,native;spoken,,,false,A2,,
I am not in the mood.,Ich habe gerade keine Lust.,,,sentence,natural,native;emotion,,,false,A2,,
I am tired.,Ich bin müde.,,,sentence,natural,native;state,,,false,A1,,
I am exhausted.,Ich bin erschöpft.,,,sentence,natural,native;state,,,false,A2,,
I need some air.,Ich brauche kurz frische Luft.,,,sentence,natural,native;state,,,false,A2,,
Let’s take a break.,Lass uns eine Pause machen.,,,sentence,natural,native;spoken,,,false,A1,,
