english,target,article,plural,type,register,tags,note,alternatives,article_prompt,level,example_en,example_target
I do not want to overthink this.,Ich will mir da nicht zu viele Gedanken machen.,,,sentence,natural,register;thinking,,Ich möchte das nicht überanalysieren.|Ich möchte mich da nicht reinsteigern.,false,B1,,
I do not want to force anything.,Ich möchte nichts erzwingen.,,,sentence,neutral,register;boundary,,Ich will nichts erzwingen.|Ich möchte da keinen Druck machen.,false,A2,,
That hurt me.,Das hat mich verletzt.,,,sentence,neutral,register;emotion,,Das hat mich getroffen.|Das tat mir weh.,false,A2,,
I need clarity.,Ich brauche Klarheit.,,,sentence,neutral,register;boundary,,"Ich brauche eine klare Aussage.|Ich muss wissen, woran ich bin.",false,B1,,
I am not blaming you.,Ich mache dir keinen Vorwurf.,,,sentence,neutral,register;communication,,Ich will dir nichts vorwerfen.|Das ist kein Vorwurf.,false,A2,,
Do not misunderstand me.,Versteh mich nicht falsch.,,,sentence,natural,register;communication,,Bitte missversteh mich nicht.|Das meine ich nicht böse.,false,A2,,
This came across wrong.,Das kam falsch rüber.,,,sentence,natural,register;communication,,"Das wurde falsch verstanden.|Das ist anders angekommen, als ich es gemeint habe.",false,B1,,
That does not work for me.,Das funktioniert für mich so nicht.,,,sentence,neutral,register;boundary,,So geht das für mich nicht.|Damit kann ich so nicht gut umgehen.,false,B1,,
I need a moment.,Ich brauche einen Moment.,,,sentence,neutral,register;self-regulation,,Gib mir bitte kurz Zeit.|Ich muss kurz sammeln.,false,A2,,
I am trying to stay calm.,"Ich versuche, ruhig zu bleiben.",,,sentence,neutral,register;self-regulation,,"Ich versuche, nicht aus der Emotion zu reagieren.|Ich will jetzt nicht impulsiv reagieren.",false,B1,,
Let us clarify this calmly.,Lass uns das in Ruhe klären.,,,sentence,natural,register;communication,,Wir sollten das sachlich klären.|Lass uns da später in Ruhe drüber sprechen.,false,B1,,
This is too much for me right now.,Das ist mir gerade zu viel.,,,sentence,natural,register;emotion,,Ich bin damit gerade überfordert.|Das überfordert mich gerade.,false,A2,,
I want to understand you.,Ich möchte dich verstehen.,,,sentence,neutral,register;relationship,,"Ich will nachvollziehen, was in dir passiert.|Ich möchte besser verstehen, was du meinst.",false,A2,,
I cannot read your mind.,Ich kann deine Gedanken nicht lesen.,,,sentence,neutral,register;relationship,,"Ich kann nicht erraten, was du brauchst.|Ich brauche, dass du es mir sagst.",false,B1,,
I do not want to chase.,Ich möchte nicht hinterherrennen.,,,sentence,natural,register;boundary,,Ich will niemandem hinterherlaufen.|Ich möchte nicht in eine Bittstellerrolle gehen.,false,B1,,
I care about you.,Du bist mir wichtig.,,,sentence,natural,register;relationship,,Ich habe dich sehr gern.|Du bedeutest mir viel.,false,A2,,
I want to be honest.,Ich möchte ehrlich sein.,,,sentence,neutral,register;communication,,Ich sage dir das ganz ehrlich.|Mir ist Ehrlichkeit wichtig.,false,A2,,
That depends.,Das kommt darauf an.,,,sentence,natural,register;thinking,,Das hängt davon ab.|Es kommt auf die Situation an.,false,A2,,
This is not about winning.,Es geht nicht ums Gewinnen.,,,sentence,neutral,register;conflict,,"Es geht mir nicht darum, recht zu haben.|Ich will keinen Kampf daraus machen.",false,B1,,
We are on the same side.,Wir stehen auf derselben Seite.,,,sentence,neutral,register;conflict,,"Wir sind nicht gegeneinander.|Ich will, dass wir zusammen daran arbeiten.",false,B1,,
I see this differently.,Ich sehe das anders.,,,sentence,natural,register;disagreement,,Ich habe da eine andere Sicht.|Aus meiner Sicht ist das anders.,false,A2,,
I partly agree.,Ich stimme dir teilweise zu.,,,sentence,neutral,register;disagreement,,Da bin ich teilweise bei dir.|Ein Stück weit verstehe ich das.,false,B1,,
I am not convinced yet.,Ich bin noch nicht überzeugt.,,,sentence,neutral,register;thinking,,Das überzeugt mich noch nicht ganz.|Ich bin da noch unsicher.,false,B1,,
This is probably the cleaner solution.,Das ist wahrscheinlich die sauberere Lösung.,,,sentence,technical,register;work,,Das ist vermutlich der robustere Weg.|Das wäre aus meiner Sicht die stabilere Lösung.,false,B1,,
Let us not overcomplicate it.,Lass es uns nicht verkomplizieren.,,,sentence,natural,register;work,,Lass uns das nicht unnötig kompliziert machen.|Wir sollten es einfach halten.,false,B1,,
This needs a robust solution.,Das braucht eine robuste Lösung.,,,sentence,technical,register;work,,Wir brauchen hier eine stabile Lösung.|Das sollte sauber gelöst werden.,false,B1,,
I would start with the structure.,Ich würde mit der Struktur anfangen.,,,sentence,technical,register;work,,Ich würde zuerst die Struktur klären.|Aus meiner Sicht sollten wir zuerst die Struktur definieren.,false,B1,,
That is not the root cause.,Das ist nicht die eigentliche Ursache.,,,sentence,technical,register;work,,Das ist wahrscheinlich nur ein Symptom.|Die Ursache liegt vermutlich woanders.,false,B2,,
This should not break the existing version.,Das sollte die bestehende Version nicht kaputtmachen.,,,sentence,technical,register;dev,,Das darf die bestehende Version nicht beschädigen.|Die bestehende Funktionalität muss erhalten bleiben.,false,B2,,
We should keep it backward-compatible.,Wir sollten es abwärtskompatibel halten.,,,sentence,technical,register;dev,,Die alte Struktur sollte weiterhin funktionieren.|Die bestehende CSV-Struktur muss weiterhin unterstützt werden.,false,B2,,
