"id","lexeme_id","english","target","article","hint","source_id","forms","kind"
"w001","de.lex.adler","eagle","Adler","der","","s001","Adler","word"
"w002","de.lex.der-bestimmte-artikel","the (definite article)","der bestimmte Artikel","","","s001","das|Das|dem|den|Der|der|des|Die|die|der bestimmte Artikel","function"
"w003","de.lex.frau","woman","Frau","die","","s001","Frau","word"
"w004","de.lex.fuer","for","für","","","s001","für|Für","function"
"w005","de.lex.holmes","Holmes","Holmes","","","s001","Holmes","name"
"w006","de.lex.immer","always","immer","","","s001","immer","word"
"w007","de.lex.irene","Irene","Irene","","","s001","Irene","name"
"w008","de.lex.sein","to be","sein","","","s001","ist|sein|sind|war|waren","word"
"w009","de.lex.sherlock","Sherlock","Sherlock","","","s001","Sherlock","name"
"w010","de.lex.alle","everyone","alle","","","s002","alle","function"
"w011","de.lex.als","when (past)","als","","","s002","als","word"
"w012","de.lex.ander","other / another","ander","","","s002","ander|anderen","word"
"w013","de.lex.er","he","er","","","s002","er|Er|ihn","word"
"w014","de.lex.klug","clever","klug","","","s002","klug|klüger","word"
"w015","de.lex.doktor","doctor (title)","Doktor","der","","s003","Doktor","word"
"w016","de.lex.haben","to have","haben","","","s003","haben|hat","word"
"w017","de.lex.lange","long / for a long time","lange","","","s003","lange","word"
"w018","de.lex.nicht","not","nicht","","","s003","nicht","function"
"w019","de.lex.sehen","to see","sehen","","","s003","gesehen|sehen|sieht","word"
"w020","de.lex.watson","Watson","Watson","","","s003","Watson|Watsons","name"
"w021","de.lex.eigen","own","eigen","","","s004","eigen|eigenen","word"
"w022","de.lex.haus","house","Haus","das","","s004","Haus","word"
"w023","de.lex.heiraten","to marry","heiraten","","","s004","heiraten|verheiratet","word"
"w024","de.lex.in","in / into","in","","","s004","in","function"
"w025","de.lex.jetzt","now","jetzt","","","s004","jetzt","word"
"w026","de.lex.leben.life","life","Leben","das","","s004","Leben|lebt","word"
"w027","de.lex.sein-possessivartikel","his / her / its","sein Possessivartikel","","","s004","seine|seinem|sein Possessivartikel","function"
"w028","de.lex.und","and","und","","","s004","und|Und","function"
"w029","de.lex.abends","in the evening","abends","","","s005","abends|Abends","word"
"w030","de.lex.baker","Baker","Baker","","","s005","Baker","name"
"w031","de.lex.durch","through","durch","","","s005","durch","word"
"w032","de.lex.ein","a / an; one","ein","","","s005","Ein|ein|eine|Eine|einem|einen|Eines","function"
"w033","de.lex.gehen.go","to go","gehen","","","s005","gehen|geht","word"
"w034","de.lex.street","Street","Street","","","s005","Street","name"
"w035","de.lex.221b","221b","221b","","","s006","221b|221B","word"
"w036","de.lex.erleuchtet","lit","erleuchtet","","","s006","erleuchtet","word"
"w037","de.lex.fenster","window","Fenster","das","","s006","Fenster","word"
"w038","de.lex.hell","bright","hell","","","s006","hell","word"
"w039","de.lex.nummer.number","the number","Nummer","die","","s006","Nummer","word"
"w040","de.lex.von","from (Dativ)","von","","","s006","von","word"
"w041","de.lex.her","here","her","","","s007","her","word"
"w042","de.lex.hin","there","hin","","","s007","hin","word"
"w043","de.lex.im","in the","im","","","s007","Im|im","word"
"w044","de.lex.schnell.fast","fast","schnell","","","s007","schnell","word"
"w045","de.lex.zimmer","room","Zimmer","das","","s007","Zimmer","word"
"w046","de.lex.alt","old","alt","","","s008","alt|alte","word"
"w047","de.lex.dass","that (subordinating conjunction)","dass","","","s008","dass","function"
"w048","de.lex.fall","the case","Fall","der","","s008","Fall","word"
"w049","de.lex.freund","friend","Freund","der","","s008","Freund","word"
"w050","de.lex.neu","new","neu","","","s008","neu|neuen","word"
"w051","de.lex.wissen.know","to know","wissen","","","s008","weiß|wissen","word"
"w052","de.lex.klingeln","to ring","klingeln","","","s009","klingeln|klingelt","word"
"w053","de.lex.nach","after / to (Dativ)","nach","","","s009","nach","word"
"w054","de.lex.oben","upstairs","oben","","","s009","oben","word"
"w055","de.lex.sich","oneself / himself / herself","sich","","","s010","sich","function"
"w056","de.lex.sich-freuen","to be glad","sich freuen","","","s010","freut|sich freuen","word"
"w057","de.lex.zu.at","to / at","zu","","","s010","zu","function"
"w058","de.lex.aber","but","aber","","","s011","Aber|aber","function"
"w059","de.lex.bevor","before","bevor","","","s011","bevor","function"
"w060","de.lex.sagen","to say","sagen","","","s011","sagen|sagt","word"
"w061","de.lex.untersuchen","to investigate","untersuchen","","","s011","untersuchen|untersucht","word"
"w062","de.lex.viel","much","viel","","","s011","viel|viele","function"
"w063","de.lex.arbeiten","to work","arbeiten","","","s012","arbeiten|arbeitet","word"
"w064","de.lex.arzt","doctor","Arzt","der","","s012","Arzt","word"
"w065","de.lex.sie.her","she / they / her (depending on context)","sie","","","s012","ihnen|Sie|sie","function"
"w066","de.lex.wieder","again","wieder","","","s012","wieder","word"
"w067","de.lex.bei","at / by (Dativ)","bei","","","s013","bei","word"
"w068","de.lex.draussen","outside","draußen","","","s013","draußen","word"
"w069","de.lex.schlecht","bad","schlecht","","","s013","schlecht|schlechtem","word"
"w070","de.lex.wetter","weather","Wetter","das","","s013","Wetter","word"
"w071","de.lex.ueberrascht","surprised","überrascht","","","s014","überrascht","word"
"w072","de.lex.an","at / on / to","an","","","s015","an","function"
"w073","de.lex.auf.into","on / onto / into","auf","","","s015","auf","function"
"w074","de.lex.klein","small / little","klein","","","s015","klein|kleine","word"
"w075","de.lex.schuh","shoe","Schuh","der","","s015","Schuh|Schuhen","word"
"w076","de.lex.spur","clue / trace","Spur","die","","s015","Spur|Spuren","word"
"w077","de.lex.zeigen","to show","zeigen","","","s015","zeigen|zeigt","word"
"w078","de.lex.dienerin","female servant","Dienerin","die","","s016","Dienerin","word"
"w079","de.lex.entfernen","to remove","entfernen","","","s016","entfernen|entfernt","word"
"w080","de.lex.schmutz","dirt / mud","Schmutz","der","","s016","Schmutz","word"
