english,target,article
I,ich,
you (singular informal),du,
he,er,
she,sie,
it,es,
we,wir,
you (plural informal),ihr,
they,sie,
you (formal),Sie,
me (accusative),mich,
"you (accusative, sg.)",dich,
him (accusative),ihn,
her (accusative),sie,
us (accusative),uns,
"you (accusative, pl.)",euch,
them (accusative),sie,
to me (dative),mir,
"to you (dative, sg.)",dir,
to him (dative),ihm,
to her (dative),ihr,
to us (dative),uns,
"to you (dative, pl.)",euch,
to them (dative),ihnen,
myself,mich selbst,
yourself,dich selbst,
himself / herself / itself,sich selbst,
ourselves,uns selbst,
yourselves,euch selbst,
themselves,sich selbst,
someone,jemand,
nobody,niemand,
something,etwas,
nothing,nichts,
everyone,jeder / alle,
everything,alles,
both,beide,
each other,einander,
zero,null,
one,eins,
two,zwei,
three,drei,
four,vier,
five,fünf,
six,sechs,
seven,sieben,
eight,acht,
nine,neun,
ten,zehn,
eleven,elf,
twelve,zwölf,
thirteen,dreizehn,
fourteen,vierzehn,
fifteen,fünfzehn,
twenty,zwanzig,
thirty,dreißig,
forty,vierzig,
fifty,fünfzig,
sixty,sechzig,
seventy,siebzig,
eighty,achtzig,
ninety,neunzig,
hundred,hundert,
thousand,tausend,
million,eine Million,
first,erst-,
second,zweit-,
third,dritt-,
fourth,viert-,
fifth,fünft-,
once,einmal,
twice,zweimal,
half,halb,
a quarter,ein Viertel,
a third,ein Drittel,
man,Mann,der
woman,Frau,die
child,Kind,das
boy,Junge,der
girl,Mädchen,das
baby,Baby,das
person,Person,die
adult,Erwachsene,der/die
teenager,Teenager,der
father,Vater,der
mother,Mutter,die
son,Sohn,der
daughter,Tochter,die
brother,Bruder,der
sister,Schwester,die
husband,Ehemann,der
wife,Ehefrau,die
grandfather,Großvater,der
grandmother,Großmutter,die
grandson,Enkel,der
granddaughter,Enkelin,die
uncle,Onkel,der
aunt,Tante,die
cousin (m),Cousin,der
cousin (f),Cousine,die
nephew,Neffe,der
niece,Nichte,die
friend (m),Freund,der
friend (f),Freundin,die
neighbor (m),Nachbar,der
neighbor (f),Nachbarin,die
colleague (m),Kollege,der
colleague (f),Kollegin,die
partner,Partner,der
guest,Gast,der
stranger,Fremde,der/die
parents,Eltern,die
twins,Zwillinge,die
stepfather,Stiefvater,der
stepmother,Stiefmutter,die
doctor (m),Arzt,der
doctor (f),Ärztin,die
nurse (m),Krankenpfleger,der
nurse (f),Krankenschwester,die
teacher (m),Lehrer,der
teacher (f),Lehrerin,die
student (m),Student,der
student (f),Studentin,die
pupil,Schüler,der
professor,Professor,der
lawyer (m),Anwalt,der
lawyer (f),Anwältin,die
judge,Richter,der
engineer,Ingenieur,der
architect,Architekt,der
scientist,Wissenschaftler,der
programmer,Programmierer,der
designer,Designer,der
artist,Künstler,der
writer,Schriftsteller,der
journalist,Journalist,der
photographer,Fotograf,der
musician,Musiker,der
singer,Sänger,der
actor,Schauspieler,der
director,Regisseur,der
painter,Maler,der
chef,Küchenchef,der
cook,Koch,der
waiter (m),Kellner,der
waiter (f),Kellnerin,die
baker,Bäcker,der
butcher,Metzger,der
farmer,Bauer,der
driver,Fahrer,der
pilot,Pilot,der
soldier,Soldat,der
police officer,Polizist,der
firefighter,Feuerwehrmann,der
electrician,Elektriker,der
mechanic,Mechaniker,der
accountant,Buchhalter,der
manager,Manager,der
boss,Chef,der
employee,Angestellte,der/die
dentist,Zahnarzt,der
pharmacist,Apotheker,der
psychologist,Psychologe,der
politician,Politiker,der
priest,Priester,der
veterinarian,Tierarzt,der
head,Kopf,der
face,Gesicht,das
eye,Auge,das
ear,Ohr,das
nose,Nase,die
mouth,Mund,der
tooth,Zahn,der
tongue,Zunge,die
lip,Lippe,die
chin,Kinn,das
cheek,Wange,die
forehead,Stirn,die
hair,Haar,das
neck,Hals,der
shoulder,Schulter,die
arm,Arm,der
elbow,Ellbogen,der
wrist,Handgelenk,das
hand,Hand,die
finger,Finger,der
thumb,Daumen,der
nail,Nagel,der
chest,Brust,die
back,Rücken,der
stomach,Bauch,der
hip,Hüfte,die
leg,Bein,das
knee,Knie,das
ankle,Knöchel,der
foot,Fuß,der
toe,Zeh,der
heart,Herz,das
lung,Lunge,die
liver,Leber,die
kidney,Niere,die
brain,Gehirn,das
bone,Knochen,der
muscle,Muskel,der
skin,Haut,die
blood,Blut,das
bread,Brot,das
roll,Brötchen,das
butter,Butter,die
milk,Milch,die
egg,Ei,das
cheese,Käse,der
meat,Fleisch,das
chicken,Hähnchen,das
beef,Rindfleisch,das
pork,Schweinefleisch,das
fish,Fisch,der
sausage,Wurst,die
ham,Schinken,der
soup,Suppe,die
salad,Salat,der
pasta,Nudeln,die
